Question	Compared to other stars in our galaxy, which is the best description of our Sun?	question
Answer	average size, average temperature	answer
0	the sun is average in temperature  for a star in our galaxy	gold
1	the sun is average in size for a star in our galaxy	gold
2	temperature is a measure of heat energy	nongold
3	average is similar to usual	nongold
4	a star is a kind of celestial object; celestial body	gold
5	a galaxy is a kind of celestial body; celestial object	nongold
6	smaller means less; lower in size	nongold
7	the Sun is a kind of star	nongold
8	larger means greater; higher; more; increase in size	nongold
9	a galaxy is a kind of celestial body	nongold
10	a galaxy is made of stars	nongold
11	as the temperature of an object increases , the size of that object will increase	nongold
12	the properties of something are used for describing that something	nongold
13	larger; bigger is the opposite of smaller	nongold
14	heat means temperature increases	nongold
15	comparing requires measuring	nongold
16	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
17	an part of an object is smaller than the entire object	nongold
18	the Sun has average brightness compared to other stars	nongold
19	measuring is used for describing an object	nongold
20	high is similar to increase	nongold
21	a star is usually larger than a planet	nongold
22	heat means heat energy	nongold
23	small is the opposite of large	nongold
24	stars can be classified by temperature; color; chemical composition; brightness	nongold
25	a galaxy is a kind of very large system of stars	nongold
26	the sun is a kind of yellow dwarf	nongold
27	an increase is a kind of change	nongold
28	comparing requires observing that something	nongold
29	an increase is the opposite of a decrease	nongold
30	a planet is a kind of celestial object; body	nongold
31	a moon is a kind of celestial object; body	nongold
32	a star is very hot in temperature	nongold
33	our Sun is located at the center of our solar system	nongold
34	a description sometimes provides information	nongold
35	a decrease is a kind of change	nongold
36	yellow dwarf is a kind of small star	nongold
37	increase means more	nongold
38	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	gold
39	best means most positive	nongold
40	a living thing is a kind of object	nongold
41	warm up means increase temperature	nongold
42	a white dwarf is a kind of star	nongold
43	as amount; size of something increases , the intensive properties of that something will not change	nongold
44	a galaxy contains dust; stars; planets	nongold
45	classifying requires comparing	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	a type is synonymous with a kind	nongold
48	the average temperature in South Pole is between -52.2 to -45.8 C	nongold
49	blue stars have the hottest temperature	nongold
50	adding heat means increasing temperature	nongold
51	to lower means to decrease	nongold
52	the sun is  the largest celestial body in our solar system	nongold
53	medium is similar to average	nongold
54	variable means able to change	nongold
55	a yellow dwarf is a kind of main-sequence star	nongold
56	warm means medium heat energy; temperature	nongold
57	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
58	length is a part of size	nongold
59	sunlight is a kind of light	nongold
60	temperature is an intensive property	nongold
61	affected means changed	nongold
62	less is similar to decrease	nongold
63	colder; cooler means lower in temperature	nongold
64	as the sun sets , the temperature will decrease	nongold
65	the sun is a source of light; light energy called sunlight	nongold
66	low is similar to decrease	nongold
67	two objects are usually different in size	nongold
68	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
69	warmer means greater; higher in temperature; warmth	nongold
70	a star produces light and heat	nongold
71	as the amount; size of something increases , the extensive properties of that something will increase	nongold
72	Mars is a kind of planet	nongold
73	classifying is when one sorts something by kind; type	nongold
74	temperature is a kind of condition	nongold
75	temperature  rise means temperature increase	nongold
76	to reduce means to decrease	nongold
77	warm means warm temperature	nongold
78	a galaxy is made of a group of objects in space	nongold
79	greatest means largest; highest; most amount of something	nongold
80	sunlight produces heat	nongold
81	heating means adding heat	nongold
82	a star's type is determined by the star's mass	nongold
83	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
84	extreme means very high in value	nongold
85	astronomy is the study of celestial (objects, bodies)	nongold
86	hot means high in heat energy; temperature	nongold
87	a planet's  moon is smaller than that planet	nongold
88	worldwide temperature means atmospheric temperature	nongold
89	the sun is a source of radiation; heat called sunlight	nongold
90	to add means to increase	nongold
91	stars are some of the hottest objects	nongold
92	a type of something is a kind of property of that something	nongold
93	can be means able to be	nongold
94	a planet is exposed to the heat of the star around which it revolves	nongold
95	a kind of something is an example of that something	nongold
96	a star is a source of light; light energy through nuclear reactions	nongold
97	a typical galaxy contains billions of stars	nongold
98	decreasing is similar to becoming smaller	nongold
99	warm is the opposite of cool	nongold
