Question	A recent study concluded that about 90% of all large predatory fish such as tuna have disappeared from the world's oceans in the past 50 years. Which of these is most likely the direct cause of this loss?	question
Answer	Commercial harvesting from the ocean	answer
0	commercial harvesting from the ocean has caused populations of large predatory fish to decrease	gold
1	tuna is a kind of fish	nongold
2	ocean is a source of wild fish for human populations	nongold
3	tuna eat fish	nongold
4	an ocean is a kind of body of water	nongold
5	aquatic animal means water animal	nongold
6	a fish is a kind of aquatic animal	nongold
7	predators; carnivores; omnivores eat other animals	nongold
8	an aquatic animal is a kind of animal	nongold
9	disappearing is similar to decreasing	gold
10	a fish is a kind of animal	nongold
11	disappeared is similar to gone	nongold
12	a fish lives in water	nongold
13	a fish is a kind of predator	nongold
14	harvesting is a kind of using	nongold
15	killing means harming something causing death	nongold
16	harming an animal species causes that animal's population to decrease	nongold
17	carnivores; omnivores are predators	nongold
18	predators eat prey	nongold
19	a body of water is a source of water	nongold
20	an ocean is a kind of habitat	nongold
21	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
22	a predator is a kind of animal	nongold
23	prey is a kind of food for predators	nongold
24	aquatic animals; plants live in bodies of water	nongold
25	prey  is a kind of animal	nongold
26	most means over 50% of something	nongold
27	harming something has a  negative impact on; effect on that something	nongold
28	if a body of water loses all water then that body of water does not exist any more	nongold
29	where something  comes from is a source of that something	nongold
30	a predator eats other animals for food	nongold
31	fishing is when a human kills; catches fish for food	nongold
32	fishing has a negative impact on ecosystems	nongold
33	a predator usually kills its prey to eat it	nongold
34	sea means ocean	nongold
35	the ocean contains large amounts of salt water	nongold
36	loss means reduction	nongold
37	as  population of prey decreases , the population of predators will  decrease	nongold
38	if something transports something else then that something removes that something else from a place	nongold
39	an animal; living thing requires nutrients for survival	nongold
40	ocean animal is similar to water animal	nongold
41	loss is similar to removal	nongold
42	to be a source of something means to cause that something	nongold
43	killing means changing a living thing from alive to dead by harming	nongold
44	death means to die	nongold
45	if an organism eats something then that something is a source of frood to that organism	nongold
46	an object; material; substance comes from that object or material's source	nongold
47	an animal is a kind of living thing	nongold
48	an organism is a living thing	nongold
49	fish eat insects	nongold
50	harming an animal species has a  negative impact on the population size of that species	nongold
51	destruction means loss	nongold
52	if something comes from something else then that something else is a source of that something	nongold
53	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
54	harming an organism can cause that organism to die	nongold
55	an animal is a kind of organism	nongold
56	oceans are located on Earth	nongold
57	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
58	living things eat their food source	nongold
59	as population of predators increases , the population of prey will decrease in an environment	nongold
60	loss of resources has a negative impact on  the organisms in an area	nongold
61	if there is a loss of something then that something decreases	gold
62	animals; living things require water for survival	nongold
63	extinction has a negative  impact on an ecosystem	nongold
64	if a living thing dies then that living thing is dead	nongold
65	most predators live in; live near the same environment as their prey	nongold
66	an animal is a member of an animal species	nongold
67	a cause of something is a reason for that something	nongold
68	oceans contains most of  earth's water	nongold
69	if a species existed for a relatively short time then that species is now extinct	nongold
70	fish is a kind of meat	nongold
71	a shark is a kind of fish	nongold
72	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
73	eating prey requires catching prey	nongold
74	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
75	a body of water is a kind of environment	nongold
76	killing a living thing decreases the number; population size of that living thing	nongold
77	if something causes a process then that something is required for that process	nongold
78	oceans cover 70% of the surface of the earth	nongold
79	a disruption  of an ecosystem can cause an extinction	nongold
80	removing dead organisms from an ecosystem causes available nutrients to be removed from that ecosystem	nongold
81	if an organism dies then the population of that organism will decrease	nongold
82	often is similar to likely	nongold
83	if something gains something from something else then that something else is a source of that something	nongold
84	a process is a kind of event	nongold
85	an organism becoming extinct causes a change in the organism's food web	nongold
86	if a living thing is destroyed then the resources used by that living thing will become available	nongold
87	something being destroyed means that something no longer exists	nongold
88	carnivores only eat animals	nongold
89	if a new predator begins eating prey then the population of that prey will decrease	nongold
90	losing something decreases the amount of that something	nongold
91	a fish is a kind of scaled animal	nongold
92	scavengers eat dead organisms	nongold
93	if a population decreases to zero then that organism is extinct	nongold
94	to eat means to consume food	nongold
95	a food contains nutrients for living things	nongold
96	missing is similar to less	nongold
97	as population of predators decreases , the population of prey will increase in an environment	nongold
98	life means living things	nongold
99	continuation of a species means survival of that species	nongold
