Question	The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins. During digestion, proteins undergo	question
Answer	chemical changes.	answer
0	to digest means to break down food	nongold
1	chemical reactions cause chemical change	nongold
2	to break down means to break into smaller pieces	nongold
3	substances are made of molecules	nongold
4	digestion is when stomach acid breaks down food	gold
5	if an object undergoes chemical change then that object will have new chemical properties	nongold
6	decomposition is when a decomposer breaks down dead organisms	nongold
7	to split means to break down	nongold
8	digestion of proteins occurs in the stomach; small intestine	nongold
9	proteins are made of a chain of 20 amino acids	nongold
10	chemical change is a kind of chemical reaction	nongold
11	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
12	if something is made of something else then that something can be broken down into that something else	nongold
13	digestion is a kind of bodily process	nongold
14	a molecule is exceptionally small in size	nongold
15	break down means change from a whole into pieces	nongold
16	decomposition is a kind of process	nongold
17	change is a kind of process	nongold
18	digestion is when food is absorbed into the blood stream	nongold
19	a molecule is the smallest particle; unit that has the properties of a compound	nongold
20	a decomposer is a kind of living thing	nongold
21	a process usually requires all of the stages in that process	nongold
22	a part of a process means a stage in a process	nongold
23	a chemical reaction is a kind of process	nongold
24	if something causes a process then that something is required for that process	nongold
25	break apart means break down	nongold
26	decreasing is similar to becoming smaller	nongold
27	variable means able to change	nongold
28	to happen means to occur	nongold
29	to be used for something means to be required by that something	nongold
30	to convert means to change	nongold
31	an increase is a kind of change	nongold
32	the formation of something is a kind of process	nongold
33	affected means changed	nongold
34	a molecule is a kind of object	nongold
35	a molecule is a kind of particle	nongold
36	a molecule is made of atoms chemically combined; bonded	nongold
37	separate is similar to break down	nongold
38	to change means to cause a change	nongold
39	living things are made of organic molecules	nongold
40	a reaction is a kind of process	nongold
41	larger means greater; higher; more; increase in size	nongold
42	a process is a kind of event	nongold
43	chemical reaction means chemical bonds change	nongold
44	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
45	small is the opposite of large	nongold
46	a step in a process means a stage in a process	nongold
47	an organism is a living thing	nongold
48	larger; bigger is the opposite of smaller	nongold
49	a food contains nutrients for living things	nongold
50	substances have chemical properties	nongold
51	breaking down is a kind of function	nongold
52	living things perform biological processes	nongold
53	cellular respiration is cellular digestion	nongold
54	to be made of something means to be formed of that something	nongold
55	to add means to increase	nongold
56	to decompose means to decay	nongold
57	matter is made of molecules	nongold
58	photosynthesis is a kind of chemical  process	nongold
59	chemical reactions cause new substances; different substances to form	nongold
60	metabolism is the sum of all chemical reactions in an animal's body	nongold
61	high is similar to increase	nongold
62	dead organisms are the source of nutrients for decomposers	nongold
63	a change is a kind of event	nongold
64	something that happens is a kind of event	nongold
65	the function of something is what that something  is used to do	nongold
66	a decrease is a kind of change	nongold
67	breaking down is a kind of forming	nongold
68	smaller means less; lower in size	nongold
69	forming something is a kind of change	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	chemical reactions do not cause the total number of atoms to change	nongold
72	food contains carbohydrates	nongold
73	food is a kind of chemical energy	nongold
74	conversion is a kind of process	nongold
75	An example of a chemical change is acid breaking down substances	gold
76	break down is the opposite of put together	nongold
77	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
78	deplete is similar to decrease	nongold
79	an part of an object is smaller than the entire object	nongold
80	DNA is a kind of molecule	nongold
81	events occur at a specific place; at a specific time; with a specific frequency	nongold
82	ability to undergo a phase change is a property of a substance; material	nongold
83	activator is a kind of  protein	nongold
84	atom cannot be divided into smaller substances	nongold
85	most chemical reactions release or absorb heat energy	nongold
86	a microorganism is a kind of decomposer	nongold
87	if something breaks , then that something cannot be used	nongold
88	conduction is a kind of process	nongold
89	an animal is a kind of living thing	nongold
90	formation of a state of matter is a kind of process	nongold
91	if something causes an increase in something else then that something produces that something else	nongold
92	unchanged means not changed	nongold
93	an event is a kind of action	nongold
94	metamorphosis is a kind of process	nongold
95	take apart means break down	nongold
96	dissolving is similar to breaking down	nongold
97	a protein is a kind of nutrient	gold
98	if an event occurs by adding something then that event requires that something	nongold
99	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
