Question	Which element is necessary for the formation of coal?	question
Answer	decaying vegetation	answer
0	to be required means to be necessary	gold
1	essential means required	nongold
2	forming coal; fossil fuels requires decaying vegetation	gold
3	requiring something means needing that something	nongold
4	if something causes a process then that something is required for that process	nongold
5	to depend on; to rely on; to need means to require	nongold
6	to decompose means to decay	nongold
7	requiring is similar to needing help	nongold
8	to be used for something means to be required by that something	nongold
9	dead organisms decay	nongold
10	if something is required for a process then that something positively impacts that process	nongold
11	if something is a raw material in a process then that something is required for that process	nongold
12	if something is made of something else then the formation of that something requires that something else	nongold
13	helping something has a  positive impact on that something	nongold
14	to make possible means to be required	nongold
15	if an event is required for a process then that event must occur before that process can occur	nongold
16	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
17	to cause the formation of means to form	nongold
18	the formation of something is a kind of process	nongold
19	if something is required then that something must be provided	nongold
20	decay has a negative impact on a thing	nongold
21	fossil fuels; fossils are formed from dead organisms over time	nongold
22	must have means require	nongold
23	vegetation means plants	nongold
24	to be made of something means to be formed of that something	nongold
25	a plant is a kind of living thing	nongold
26	remains mean parts of a dead organism	nongold
27	dead organisms rot	nongold
28	a plant is a kind of organism	nongold
29	being buried under soil and mud changes dead vegetation; dead plant matter into peat through extreme heat and pressure in a swamp over a long period of time	nongold
30	if something required for a process is not produced then that process is prevented from occurring; cannot occur	nongold
31	an organism is a living thing	nongold
32	a plant; living thing requires food for survival	nongold
33	a decomposer is a kind of living thing	nongold
34	to be formed by is similar to being produced by	nongold
35	dead plants means dead plant material	nongold
36	an animal is a kind of living thing	nongold
37	a plant requires soil for survival; to grow	nongold
38	a forest is a kind of ecosystem	nongold
39	plants are a part of the environment	nongold
40	an element is a kind of material	nongold
41	an ecosystem contains a large community of; large numbers of living organisms	nongold
42	a forest contains  lots of plants; trees	nongold
43	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
44	plants can be fossilized	nongold
45	decomposition is when a decomposer breaks down dead organisms	nongold
46	needing something means depending on that something	nongold
47	products are formed; are produced; are created	nongold
48	peat is made of decaying vegetation compacted by soil in a swamp over a long period of time	nongold
49	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
50	a forest is a kind of environment	nongold
51	coal is a kind of fossil fuel	nongold
52	metamorphosis is a kind of process	nongold
53	if something requires something else then that something requires a source of that something else	nongold
54	the formation of rock is a kind of process	nongold
55	breaking down is a kind of forming	nongold
56	coal is a nonrenewable resource	nongold
57	a plant; living thing requires nutrients to grow	nongold
58	a plants; living things require water for survival; to grow	nongold
59	coal is a kind of rock	nongold
60	a part of a process means a stage in a process	nongold
61	an element is a kind of  substance	nongold
62	no longer means used to be	nongold
63	an environment is similar to an ecosystem	nongold
64	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
65	a process is a kind of event	nongold
66	if something required by something else is in a place then that something else may be in that place	nongold
67	decomposition is a kind of process	nongold
68	green plants are a kind of producer	nongold
69	if a living thing requires something then that something has a positive impact on that living thing	nongold
70	an animal; living thing requires nutrients for survival	nongold
71	mining changes an ecosystem	nongold
72	substances are made of elements	nongold
73	ecological succession means entire communities in an ecosystem change over time	nongold
74	dead organisms are the source of nutrients for decomposers	nongold
75	forming is a kind of replenishing	nongold
76	all living and nonliving materials are made of elements	nongold
77	a producer is a kind of living thing	nongold
78	a step in a process means a stage in a process	nongold
79	remains is similar to dead organisms	nongold
80	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
81	all elements are a kind of pure substance	nongold
82	organisms are a part of an environment	nongold
83	if something requires something else then that something else is important to that something	nongold
84	if something required by an organism is depleted then that organism must replenish that something	nongold
85	an ecosystem is a kind of habitat	nongold
86	a tree is a kind of living thing	nongold
87	a plant requires a habitat for survival	nongold
88	soil is formed by weathering	nongold
89	a leaf is a part of a  green plant	nongold
90	to form means to create	nongold
91	dead organisms are a kind of waste	nongold
92	plants are a kind of resource	nongold
93	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
94	an event is a kind of action	nongold
95	An example of an environment is a forest; a river; a grassland; an ocean	nongold
96	weathering is a kind of process	nongold
97	something is used for that something's purpose	nongold
98	if a substance is made of one element , then the substance is called an element	nongold
99	something being destroyed means that something no longer exists	nongold
