Question	There are MORE hours of sunlight in the Northern Hemisphere during which season?	question
Answer	summer	answer
0	summer is a kind of season	gold
1	summer has the most sunlight	gold
2	summer is when a hemisphere is tilted towards the sun	nongold
3	every summer  is a kind of period of time	nongold
4	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
5	the Northern Hemisphere is a kind of hemisphere of Earth	nongold
6	hours are a kind of unit for measuring time	nongold
7	daylight hours means time during which there is daylight	gold
8	each season occurs once per year	nongold
9	the Southern Hemisphere is a kind of hemisphere of Earth	nongold
10	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
11	the amount of daylight is greatest in the summer	nongold
12	summer follows spring	nongold
13	a hemisphere is a part of Earth	nongold
14	spring is a kind of season	nongold
15	different seasons occur during different times of the year	nongold
16	winter is a kind of season	nongold
17	the amount of daylight is greatest on the summer solstice	nongold
18	annual means once per year	nongold
19	Autumn is a kind of season	nongold
20	when the season changes , the amount of daylight will change	nongold
21	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
22	winter is when a hemisphere is tilted away from the sun	nongold
23	the Eastern Hemisphere is a kind of hemisphere of Earth	nongold
24	Earth orbiting the Sun causes seasons to change	nongold
25	increase means more	nongold
26	sunlight is a kind of light	nongold
27	June is during the summer in the northern hemisphere	nongold
28	the summer solstice is on June 21st in the northern hemisphere	nongold
29	the Western Hemisphere is a kind of hemisphere of Earth	nongold
30	sunlight means solar energy	nongold
31	summer has hot temperatures; weather	nongold
32	the sun is a source of light; light energy called sunlight	nongold
33	a hemisphere is a kind of place	nongold
34	December is during the summer in the southern hemisphere	nongold
35	spring has warm temperatures; weather	nongold
36	days are a kind of unit for measuring time	nongold
37	the sun is the source of solar energy called sunlight	nongold
38	the amount of daylight is least in the winter	nongold
39	sunlight is a kind of solar energy	nongold
40	the amount of daylight is least on the winter solstice	nongold
41	an increase is the opposite of a decrease	nongold
42	period of daylight is synonymous with amount of daylight	nongold
43	spring follows winter	nongold
44	winter is the opposite of summer	nongold
45	August is during the winter in the southern hemisphere	nongold
46	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
47	period is similar to amount of time	nongold
48	sunshine means sunlight	nongold
49	high is similar to increase	nongold
50	less is similar to decrease	nongold
51	greatest means largest; highest; most amount of something	nongold
52	seasons cause change to the environment	nongold
53	the sunlight occurs during the day	nongold
54	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
55	December is during the winter in the northern hemisphere	nongold
56	the winter solstice is on June 21st in the southern hemisphere	nongold
57	the winter solstice is on December 21st in the northern hemisphere	nongold
58	June is during the winter in the southern hemisphere	nongold
59	the sun is a source of radiation; heat called sunlight	nongold
60	yearly means every year	nongold
61	the Sun is a kind of star	nongold
62	less is the opposite of more	nongold
63	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
64	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
65	the southern United States receives a lot of sunlight	nongold
66	winter is a part of the year	nongold
67	to add means to increase	nongold
68	a new season occurs four times per year	nongold
69	an increase is a kind of change	nongold
70	a source of something increases the amount of that something	nongold
71	1 day is equal to 24 hours	nongold
72	as the distance of a location from the North Pole becomes smaller; closer , the  amount of daylight received by that location will increase during the summer	nongold
73	all the time means at day and at night	nongold
74	less means a reduced amount	nongold
75	January is during the winter in the northern hemisphere	nongold
76	a decrease is a kind of change	nongold
77	areas on the equator have a consistent number of daylight hours	nongold
78	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
79	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
80	when the seasons change from the summer to the fall , the amount of daylight will decrease	nongold
81	sunlight produces heat	nongold
82	toward is the opposite of away	nongold
83	answering questions requires information	nongold
84	years are a kind of unit for measuring time	nongold
85	a half of Earth is a hemisphere of Earth	nongold
86	a new season occurs once per 3.0 months	nongold
87	spring increases the amount of available food in an environment	nongold
88	months are a kind of unit for measuring time	nongold
89	most means over 50% of something	nongold
90	minutes are a kind of unit for measuring time	nongold
91	light year is a measure of the distance light travels in one year	nongold
92	solar energy is a kind of light	nongold
93	usually means most of the time	nongold
94	the number of parts of something is a property of that something	nongold
95	once per means every	nongold
96	how long something takes is a kind of measurement of time	nongold
97	amount is similar to number	nongold
98	intensity of sunlight is similar to amount of sunlight	nongold
99	to lower means to decrease	nongold
