Question	Which of the following best explains why the Sun appears to move across the sky every day?	question
Answer	Earth rotates on its axis.	answer
0	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	gold
1	the Earth rotates on its axis	gold
2	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
3	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
4	rotate means turn	nongold
5	rotating is similar to moving	nongold
6	the Earth revolves around the sun	nongold
7	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	gold
8	rotation is a kind of motion	nongold
9	a planet rotating causes cycles of day and night on that planet	nongold
10	Earth rotating on its axis occurs once per day	nongold
11	some celestial bodies rotate in space	nongold
12	motion; movement means moving; to move	nongold
13	shift means move	nongold
14	Earth is a kind of planet	gold
15	a star is a kind of celestial object; celestial body	gold
16	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
17	motion is when moves an object; something to a direction	nongold
18	to rotate means to complete a rotation	nongold
19	a rotation is a kind of movement	nongold
20	rotation  is  the  circular movement of an object around a center; axis	nongold
21	revolving is a kind of motion	nongold
22	a planet is a kind of celestial object; body	nongold
23	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
24	if something is caused by something else , then that something can be explained by that something else	nongold
25	rotate is similar to revolve	nongold
26	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
27	how something  appears is how that something  looks	nongold
28	daily means every day; once per day	nongold
29	moving changes position	nongold
30	the Sun is a kind of star	gold
31	Celestial bodies move in orbits in space around other celestial bodies	nongold
32	astronomy is the study of celestial (objects, bodies)	nongold
33	the moon rotates on its axis	nongold
34	revolving  around something means orbiting that something	nongold
35	Earth's rotation causes time zones	nongold
36	occur is similar to appear	nongold
37	spin means rotate	nongold
38	moving in a circle means moving in a circular motion	nongold
39	once per means every	nongold
40	can be means able to be	nongold
41	to turn means to change	nongold
42	variable means able to change	nongold
43	the day time is part of one day	nongold
44	to change means to cause a change	nongold
45	events occur at a specific place; at a specific time; with a specific frequency	nongold
46	affected means changed	nongold
47	cycles of day and night occur once per day	nongold
48	phase means state	nongold
49	best means most positive	nongold
50	appearing is similar to seeming	nongold
51	the sky is similar to space	nongold
52	form means kind	nongold
53	Earth's angle of tilt causes the length of day and night to vary	nongold
54	days are a kind of unit for measuring time	nongold
55	to add means to increase	nongold
56	appear is similar to apparent	nongold
57	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
58	move around means revolve	nongold
59	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
60	a cycle happens; occurs repeatedly	nongold
61	the sun is a source of light; light energy called sunlight	nongold
62	high is similar to increase	nongold
63	moving; mobile is the opposite of stationary; unmoving	nongold
64	moving is similar to travelling	nongold
65	to convert means to change	nongold
66	approximately means about	nongold
67	the sun rising; setting occurs once per day	nongold
68	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
69	north is the opposite of south	nongold
70	the properties of something are used for describing that something	nongold
71	the Sun is the  star that is closest to Earth	nongold
72	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
73	distance is a property of space and includes ordered values of close; far	nongold
74	causing means influencing	nongold
75	constant means not changing	nongold
76	the sun rising and setting causes cycles of day and night	nongold
77	an increase is a kind of change	nongold
78	a motion is a kind of event; action	nongold
79	a type is synonymous with a kind	nongold
80	setting is a kind of motion	gold
81	to transform means to convert	nongold
82	the sun is not a star in the night sky	nongold
83	distance moved; distance travelled is a measure of how far an object moves	nongold
84	to slow; to slow down decreases speed	nongold
85	Earth is a planet that is closer to the  Sun than Jupiter	nongold
86	turning is a kind of motion	nongold
87	to modify means to change	nongold
88	not is similar to the opposite of	nongold
89	planets have cleared their orbits	nongold
90	celestial bodies; celestial objects are found in space	nongold
91	definite is the opposite of variable	nongold
92	fixed is similar to definite	nongold
93	movement is a kind of change	nongold
94	the sun  is the source of energy for physical cycles on Earth	nongold
95	yearly means every year	nongold
96	if something moves then that something is in a different location	nongold
97	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
98	astronomical unit is a measure of distance between Earth and the Sun	nongold
99	composed of means made of	nongold
