Question	Natural processes shape the surface of Earth. Most canyons are formed by ___.	question
Answer	moving water	answer
0	most canyons are formed by flowing rivers through erosion over long periods of time	gold
1	a canyon is made of rock	gold
2	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
3	a canyon is a very deep valley	nongold
4	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	gold
5	a canyon is a kind of place	nongold
6	a canyon is a kind of landform	nongold
7	soil erosion is a kind of slow; natural process	nongold
8	a river is a kind of flowing body of water	gold
9	erosion is a kind of process	nongold
10	a canyon is a very big crack in the ground	nongold
11	flowing is a kind of motion	gold
12	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
13	erosion; storms can cause a landslide	nongold
14	the Grand Canyon is a kind of canyon	nongold
15	weathering is a kind of erosion	gold
16	sinkholes; caves are formed by precipitation; infiltration	nongold
17	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
18	breaking down is a kind of forming	gold
19	a canyon forming occurs over a period of millions of years	nongold
20	a valley is formed by a river flowing	nongold
21	weathering is a kind of process	gold
22	erosion causes a river to become deeper and wider	nongold
23	the formation of something is a kind of process	nongold
24	a landslide is a kind of natural event	nongold
25	motion; movement means moving; to move	nongold
26	weathering occurs at the surface of the Earth	nongold
27	erosion is a kind of change	nongold
28	to cause the formation of means to form	nongold
29	a stream is a kind of body of water	nongold
30	soil erosion is a kind of event	nongold
31	sinking means moving down	nongold
32	natural events usually cause changes to Earth's surface	nongold
33	to form means to create	nongold
34	water causes the most soil and rock erosion	nongold
35	wind causes erosion	nongold
36	wind and rain; storms cause erosion	nongold
37	soil erosion means soil loss through wind;water; animals	nongold
38	weathering; erosion usually occurs over a period of many years	nongold
39	sediment is formed by weathering	nongold
40	form means kind	nongold
41	an earthquake is a kind of natural; geological event	nongold
42	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
43	to wash away is a kind of movement by moving water	nongold
44	mechanical weathering is a kind of weathering	nongold
45	water  flows down a slope	nongold
46	the formation of rock is a kind of process	nongold
47	to change into means to form	nongold
48	mechanical weathering is when rocks are broken down by mechanical means	nongold
49	erosion causes deposition	nongold
50	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
51	a riverbed is a part of a river	nongold
52	rain causes erosion	nongold
53	to be made of something means to be formed of that something	nongold
54	when a river floods , that river deposits soil; sediment in flood plains	nongold
55	deposition is a kind of natural process	nongold
56	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
57	the Grand Canyon was formed by the Colorado River flowing over long periods of time	nongold
58	break down means change from a whole into pieces	nongold
59	landslides often occur on mountains	nongold
60	erosion of soil has a  negative impact on the environment; soil quality	nongold
61	to be formed by is similar to being produced by	nongold
62	a river is a kind of channel for water	nongold
63	to make means to form	nongold
64	breaking down into pieces is a kind of change in shape	nongold
65	Earth's surface is made of rock	nongold
66	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
67	valley is a kind of location	nongold
68	sediment falls to the bottom of bodies of water	nongold
69	Earth is made of rock	nongold
70	forming something is a kind of change	nongold
71	a process is a kind of event	nongold
72	to break down means to break into smaller pieces	nongold
73	dissolving is similar to breaking down	nongold
74	washing out means being moved from  by water	nongold
75	low means down	nongold
76	the slope of the land causes a river to flow in a particular direction	nongold
77	the ground means Earth's surface	nongold
78	valley is located between mountains; hills	nongold
79	a body of water is a kind of environment	nongold
80	to be formed by is to be the result of	nongold
81	soil is formed by rocks eroding	nongold
82	motion is when moves an object; something to a direction	nongold
83	downhill means down	nongold
84	bodies of water are located on Earth's surface	nongold
85	to cause means to make	nongold
86	the rock cycle is a cyclical process, with stages of formation, weathering	nongold
87	ground water is a kind of water	nongold
88	An example of movement is washing away	nongold
89	the ground is part of the Earth	nongold
90	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
91	a landform is a kind of natural formation	nongold
92	creating is similar to causing	nongold
93	soil is formed by weathering	nongold
94	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
95	precipitation is a kind of  natural process	nongold
96	a body of water contains water	nongold
97	composed of means made of	nongold
98	pushing something can cause that something  to move	nongold
99	upwelling is when the water from deep ocean; the ocean floor rises to the ocean's surface	nongold
