Question	A student is trying to identify a mineral that has a nonmetallic luster and is black. It can also be scratched with a fingernail. According to the mineral reference sheet, the unidentified mineral is most likely	question
Answer	mica.	answer
0	mica is a kind of mineral	gold
1	mica is  black in color	gold
2	if a mineral can be scratched by a fingernail then that mineral is soft	gold
3	mica has a nonmetallic luster	gold
4	nonmetallic is a kind of luster	gold
5	luster is a property of  an object; a material and includes ordered values of dull; shiny	gold
6	mica is  soft	gold
7	a nail is a kind of object	nongold
8	a mineral is a kind of object	gold
9	the luster of an object can be determined by looking at that object	nongold
10	if one mineral can scratch another mineral then that other mineral is softer than that one mineral	nongold
11	a student is a kind of human	nongold
12	black is a kind of color	gold
13	a mineral is a kind of solid; natural material	nongold
14	to scrape means to scratch	nongold
15	nonmetal means not metal	nongold
16	black is dark in color	nongold
17	if an object is black then that object absorbs all visible light; heat	nongold
18	the properties of something can be used to identify; used to describe that something	gold
19	color is a property of  an object; a material	gold
20	nonmetal means nonmetals	nongold
21	measuring the hardness of minerals requires  scratching those materials	nongold
22	the composition of something can be used to identify that something	nongold
23	scraping an object may cause small particles to break off of that object	nongold
24	often is similar to likely	nongold
25	identifying sometimes requires examining	nongold
26	a finger is a part of a hand	nongold
27	colorless means no color	nongold
28	hardness is a measure of a mineral's ability to resist scratching	nongold
29	the color of an object can be discovered by looking at that object	nongold
30	a sheet of is similar to a piece of	nongold
31	a surface is a part of an object	nongold
32	a surface is a part of a material	nongold
33	coloration means a thing's color	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	dark means dark in color	nongold
36	identifying is similar to determining	nongold
37	according to is similar to be determined by	nongold
38	if a material scratches easily then that material has low hardness	nongold
39	a type is synonymous with a kind	nongold
40	form means kind	nongold
41	objects are made of materials; substances; matter	nongold
42	classifying means grouping objects; materials by their properties	nongold
43	gypsum is a kind of mineral	nongold
44	a rock is a kind of object	nongold
45	material means substance	nongold
46	a sheet of paper is a kind of object	nongold
47	to identify means to discover	nongold
48	can be means able to be	nongold
49	an object has properties	nongold
50	a nonmetal is a kind of element	nongold
51	something's function can be used to describe; identify that something	nongold
52	composition is a property of an object; matter	nongold
53	answering questions requires information	nongold
54	a scratch is a kind of wound	nongold
55	rock is a kind of material	nongold
56	to be believed to be is similar to maybe	nongold
57	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
58	if an object is made of a material then that object has the properties of that material	nongold
59	a surface is a kind of object	nongold
60	talc is a kind of mineral	nongold
61	composed of means made of	nongold
62	color is a kind of physical; visual property	nongold
63	a mineral usually has a crystal structure	nongold
64	a living thing is a kind of object	nongold
65	metal is a kind of material	nongold
66	high is similar to increase	nongold
67	low is similar to decrease	nongold
68	a tool is a kind of object	nongold
69	certain is similar to specific	nongold
70	metal is a kind of substance	nongold
71	composition means the (materials, substances) of which something is composed	nongold
72	an object is an item	nongold
73	an part of an object is smaller than the entire object	nongold
74	affected means changed	nongold
75	no longer means used to be	nongold
76	structure is a property of an object; a material; a substance	nongold
77	to be formed by is similar to being produced by	nongold
78	materials are made of matter	nongold
79	if the surface of an object contains something then that object is covered with that something	nongold
80	color is an intensive property	nongold
81	white is a kind of color	nongold
82	metallic is similar to shiny	nongold
83	except means not	nongold
84	to try means to make an effort	nongold
85	lowest means least in value; amount; number	nongold
86	extreme means very high in value	nongold
87	gas is a kind of nonmetal	nongold
88	substances are made of matter	nongold
89	seeking something means trying to find; searching for something	nongold
90	streak is a measure of the color of a mineral below the surface or as a powder	nongold
91	made of is similar to contains	nongold
92	coloration means a pattern of colors	nongold
93	typically means usually	nongold
94	smaller means less; lower in size	nongold
95	to slow; to slow down decreases speed	nongold
96	to be made of something means to be formed of that something	nongold
97	if rocks in an area have many scratches then that area was once covered by glaciers	nongold
98	if there is none of a thing then that thing does not exist	nongold
99	variable means able to change	nongold
