Question	How long does it take for the Moon to rotate on its axis?	question
Answer	one month	answer
0	months are a kind of unit for measuring time	nongold
1	a rotation of the moon takes 1; one month	gold
2	the moon rotates on its axis	nongold
3	how long something takes is a kind of measurement of time	gold
4	a revolution of the moon around the Earth takes 1; one month	nongold
5	month is a kind of period of time	nongold
6	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
7	to rotate means to complete a rotation	nongold
8	rotation is a kind of motion	nongold
9	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
10	the moon orbiting the Earth occurs once per month	nongold
11	rotate means turn	nongold
12	a moon is a kind of celestial object; body	nongold
13	1 month is equal to 28-31 days	nongold
14	each of the moon's phases occurs once per month	nongold
15	a rotation is a kind of movement	nongold
16	length of time means period of time	nongold
17	rotating is similar to moving	nongold
18	the moon orbits the Earth	nongold
19	1 year is equal to 12 months	nongold
20	revolving  around something means orbiting that something	nongold
21	days are a kind of unit for measuring time	nongold
22	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
23	a measure of time is a length of time	nongold
24	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	gold
25	monthly means once per month	nongold
26	moons are large; solid; spherical	nongold
27	years are a kind of unit for measuring time	nongold
28	the Moon is Earth's moon	nongold
29	the Earth rotates on its axis	nongold
30	period is similar to amount of time	nongold
31	a motion is a kind of event; action	nongold
32	rotate is similar to revolve	nongold
33	type of moon; kind of moon means moon phase	nongold
34	revolving is a kind of motion	nongold
35	Earth rotating on its axis occurs once per day	nongold
36	a full moon is a kind of phase of the moon	nongold
37	a planet rotating causes cycles of day and night on that planet	nongold
38	long means great in length	nongold
39	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
40	a moon phase occurs 28 days after the last time it occurred	nongold
41	setting is a kind of motion	nongold
42	to add means to increase	nongold
43	the Moon completes a lunar cycle over a period of 29 days	nongold
44	spin means rotate	nongold
45	a planet is a kind of celestial object; body	nongold
46	high is similar to increase	nongold
47	an increase is a kind of change	nongold
48	annual means once per year	nongold
49	variable means able to change	nongold
50	a change is a kind of event	nongold
51	moons orbit planets	nongold
52	motion is when moves an object; something to a direction	nongold
53	a full moon occurs after a waxing gibbous moon	nongold
54	instantaneously means short in time	nongold
55	motion; movement means moving; to move	nongold
56	an event is a kind of action	nongold
57	the day time is part of one day	nongold
58	a new moon is a kind of phase of the moon	nongold
59	a new moon occurs 14 days after a full moon	nongold
60	something that happens is a kind of event	nongold
61	affected means changed	nongold
62	the Earth revolves around the sun	nongold
63	the moon orbiting the Earth occurs approximately 13 times per year	nongold
64	the moon's orbit is elliptical	nongold
65	events occur at a specific place; at a specific time; with a specific frequency	nongold
66	take place means happen	nongold
67	constant means not changing	nongold
68	a revolution occurs when something revolves around something else	nongold
69	a phase of the moon is a kind of state	nongold
70	to happen means to occur	nongold
71	the first quarter phase of the moon occurs after the new moon	nongold
72	a process is a kind of event	nongold
73	lunar phase is synonymous with moon phase	nongold
74	orbiting is a kind of action	nongold
75	movement is a kind of change	nongold
76	1 year is equal to 365 days	nongold
77	a moon phase is a kind of natural event	nongold
78	a star is a kind of celestial object; celestial body	nongold
79	increase means more	nongold
80	the new moon is when the lighted half of the moon faces the Sun	nongold
81	the moon rising occurs once per day	nongold
82	Earth is a kind of planet	nongold
83	phase means state	nongold
84	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
85	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
86	to a human a time period of 1000 years or more years is considered very long	nongold
87	shift means move	nongold
88	August is a kind of month	nongold
89	movements of celestial bodies are a kind of event	nongold
90	once means one time	nongold
91	some celestial bodies rotate in space	nongold
92	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
93	answering questions requires information	nongold
94	a waning gibbous is a kind of phase of the moon	nongold
95	rising is a kind of motion	nongold
96	rotation  is  the  circular movement of an object around a center; axis	nongold
97	the new moon is when the dark half of the moon faces the Earth	nongold
98	the Sun is a kind of star	nongold
99	speed is a measure of how fast an object is moving	nongold
