Question	Some animals, such as squirrels, may bury acorns. Which of the following is most likely to happen to the acorns after they have been buried?	question
Answer	The acorns will have a chance to sprout.	answer
0	an acorn is a kind of seed	gold
1	seeds may sprout when buried in soil	gold
2	may happen means having a chance of happening	gold
3	seeds sprouting causes plants to grow	nongold
4	sprouting means germinating	nongold
5	a squirrel is a kind of animal	nongold
6	a chipmunk eats acorns	nongold
7	if a plant sprouts from a seed then that plant is born	nongold
8	a squirrel is a kind of herbivore	nongold
9	squirrels eat edible plants; fruit	nongold
10	In the tree reproduction process a squirrel has the role of  seed disperser	nongold
11	a fruit is a kind of object	nongold
12	an animal is a kind of living thing	nongold
13	a plant; living thing requires nutrients to grow	nongold
14	a plant is a kind of living thing	nongold
15	squirrels live in forests	nongold
16	all living things grow	nongold
17	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
18	nuts are a kind of fruit	nongold
19	a mammal is a kind of animal	nongold
20	a seed is a kind of young plant	nongold
21	a living thing is a kind of object	nongold
22	a plant; living thing requires food for survival	nongold
23	a seed is a part of a plant	nongold
24	chance means likelihood	nongold
25	a tree is a kind of living thing	nongold
26	if a living thing requires something then that something has a positive impact on that living thing	nongold
27	having a positive impact on reproduction increases the chance of reproduction	nongold
28	a plant is a kind of organism	nongold
29	an animal; living thing requires nutrients for survival	nongold
30	fruit contains seeds	nongold
31	some flowers become fruits	nongold
32	a leaf is a part of a  green plant	nongold
33	a tree is a kind of plant	nongold
34	an organism is a living thing	nongold
35	a leaf is a part of a tree	nongold
36	plants are the source of fruit	nongold
37	an animal is a kind of organism	nongold
38	plant reproduction; seed production requires pollination	nongold
39	a seed is a kind of food for birds	nongold
40	a plant requires photosynthesis to grow; survive	nongold
41	a berry is a kind of fruit	nongold
42	a leaf is a kind of plant	nongold
43	fruit is a part of a plant; tree	nongold
44	to happen means to occur	nongold
45	a fungus is a kind of living thing	nongold
46	an insect is a kind of animal	nongold
47	a mushroom is a kind of living thing	nongold
48	eating an animal; a plant means killing that animal; that plant	nongold
49	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
50	fruit is a kind of food	nongold
51	plant requires seed dispersal for reproduction	nongold
52	the sprouts of seeds grow opposite the direction of the pull of gravity	nongold
53	a plant requires soil for survival; to grow	nongold
54	pollination requires pollinators; pollinating animals	nongold
55	a plants; living things require water for survival; to grow	nongold
56	a seed is used for storing food for a new plant	nongold
57	high is similar to increase	nongold
58	if a living thing dies then that living thing is dead	nongold
59	a flower produces pollen and seeds	nongold
60	growth means size;number;value;strength increases	nongold
61	squirrels gather nuts in the autumn to  eat during the winter	nongold
62	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
63	fruit is  usually a solid	nongold
64	a gourd is a kind of fruit	nongold
65	a leaf is a kind of object	nongold
66	a berry contains seeds	nongold
67	helping something has a  positive impact on that something	nongold
68	as the number of pollinators attracted to a flower; a plant increases , the ability of that flower; of that plant to reproduce will increase	nongold
69	a flower is a kind of plant	nongold
70	a seedling is a kind of young plant	nongold
71	developing means growing	nongold
72	a flower is a kind of object	nongold
73	death means to die	nongold
74	a fungus is a kind of organism	nongold
75	seed dispersal is when the seeds of a plant are moved; are carried; are spread; are dropped; from the parent plant to another area	nongold
76	killing means harming something causing death	nongold
77	remains mean parts of a dead organism	nongold
78	mammals birth; give birth to live young	nongold
79	killing means changing a living thing from alive to dead by harming	nongold
80	an event is a kind of action	nongold
81	burying is a kind of hiding	nongold
82	reproduction ensures the continuation of a plant or animal species	nongold
83	survive means live	nongold
84	survive means live	nongold
85	a bird is a kind of living thing	nongold
86	an animal needs to eat food for nutrients	nongold
87	can means having the ability to	nongold
88	living things can all reproduce	nongold
89	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
90	dying is the opposite of living; surviving	nongold
91	a shrub is a kind of plant	nongold
92	a fern is a kind of plant	nongold
93	if living things with one trait outnumber those living things with a different trait in a population then the living things with that one trait probably have a better chance of surviving and reproducing	nongold
94	a daisy is a kind of flower	nongold
95	harming something has a  negative impact on; effect on that something	nongold
96	seed dispersal is when the seeds of a plant are moved from the plant to  a new environment	nongold
97	if seeds stick to the fur of an animal then that seed will be transported by the animal	nongold
98	An insect is a pollinating animal	nongold
99	roots are a part of a plant; tree	nongold
