Question	An ice cube is placed in a pan. The pan is placed over an open flame. Which change will most likely happen over time?	question
Answer	The ice changes to a liquid then to a gas.	answer
0	being  on something; placed in something; placed over something means touching  that something	nongold
1	an ice cube is a kind of solid	nongold
2	an ice cube is a kind of object	nongold
3	ice cube is made of ice	nongold
4	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
5	a cube is a kind of object	nongold
6	if something is places over a heat source then that something is exposed to that heat source	gold
7	a pan;frying pan is a kind of container for cooking; food	gold
8	pot;pan;frying pan is made of metal for cooking	gold
9	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
10	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
11	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
12	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
13	a pan is a kind of object	nongold
14	ice is a kind of solid	gold
15	if one surface; one substance; one object touches something then one is exposed to that something	gold
16	fire gives off light; heat; smoke	gold
17	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
18	being in something means touching that something	nongold
19	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
20	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
21	air is usually a thermal; thermal energy insulator	nongold
22	if  something is placed in warm air then that something will become warm	nongold
23	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
24	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
25	if a container contains something then that container touches that something	gold
26	to combust means to catch fire	nongold
27	ice is a kind of water phase	nongold
28	fire causes burning	nongold
29	combustion is a kind of chemical change	nongold
30	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
31	when a cooler object touches a warmer object , thermal conduction occurs	nongold
32	ice is a kind of food	gold
33	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
34	a fire requires  oxygen to burn	nongold
35	water is an thermal; thermal energy conductor	gold
36	more burning causes fire to be hotter	nongold
37	if an object is put inside; poured into another object , then two objects are touching	nongold
38	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
39	a flame are a part of a fire	gold
40	fire transfers heat through waves	nongold
41	to give off means to be the source of	gold
42	ice is a kind of object	nongold
43	gas is a kind of substance	nongold
44	water is a kind of liquid at room temperature	nongold
45	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
46	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
47	vapor is synonymous with gas	nongold
48	gas is a kind of material	nongold
49	a container contains objects; material; substances	gold
50	combustion means fire converts chemical energy into light energy and heat energy	nongold
51	as the oxygen a fire is exposed to increases the longer that fire will burn	nongold
52	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
53	an increase is a kind of change	nongold
54	if an object is held under a substance then that object is touching that substance	nongold
55	the heat energy in the cooler object increases in thermal conduction	nongold
56	if something is in something , then something is exposed to something	nongold
57	a burner is a kind of object; surface	nongold
58	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
59	to exhale means to release	nongold
60	to add means to increase	gold
61	ice is cold in temperature	nongold
62	metal is a thermal; thermal energy conductor	gold
63	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
64	boiling is a kind of phase change	nongold
65	if heat is conducted to an object then that object will become hot	nongold
66	placing is a kind of action	nongold
67	adding heat means increasing temperature	nongold
68	if too much heat is transferred to an object then that object may burn	nongold
69	freezing is a kind of phase change	nongold
70	air temperature is a kind of temperature	nongold
71	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
72	melting is a kind of phase change	nongold
73	gas is a kind of state of matter	nongold
74	a container is a kind of object	nongold
75	ice is colder than water in temperature	nongold
76	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
77	temperature is a measure of heat energy	nongold
78	thermal conduction is when heat flows from warmer object to cooler object	nongold
79	heat means temperature increases	nongold
80	a liquid is a kind of fluid	nongold
81	evaporating is a kind of phase change	nongold
82	to happen means to occur	nongold
83	water is a kind of substance	nongold
84	boiling is when liquids are heated above their boiling point	nongold
85	Matter in the gas phase has variable volume	nongold
86	air is a kind of gas	nongold
87	a burner is a part of a  stove	nongold
88	heat energy is synonymous with thermal energy	gold
89	absorbing energy causes objects; materials; substances to heat	nongold
90	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
91	fire is a kind of chemical reaction	nongold
92	cooling means temperature decreases	nongold
93	if heat is added to a substance then that substance absorbs that heat	nongold
94	boiling means the volume of a liquid decreases	nongold
95	hot means high in heat energy; temperature	gold
96	to place in is similar to to move to	nongold
97	if heat is transferred to the air , then the temperature of the air will increase	nongold
98	heating means adding heat	nongold
99	gas is a kind of object	nongold
