Question	A push or a pull on an object is an example of	question
Answer	force.	answer
0	a force is a kind of push or pull on an object	nongold
1	push is a kind of force; application of force	gold
2	pushing an object requires force	nongold
3	pushing is a kind of motion	nongold
4	a pull is a kind of force	gold
5	a kind of something is an example of that something	gold
6	pushing something can cause that something  to move	nongold
7	mechanical energy exerted by an object can be used to push or pull another object	nongold
8	muscles push; pull bones to move the bones	nongold
9	push out means expel	nongold
10	pulling is a kind of motion	nongold
11	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
12	objects are made of materials; substances; matter	nongold
13	An example of exerting force on an object is lifting an object	nongold
14	counter means reduce; stop; resist	nongold
15	exerting force on an object means a force acts on an object	nongold
16	a kick is a kind of push	nongold
17	friction is a kind of force	nongold
18	when a force is applied to an object , that force is acting on that object	nongold
19	flowing liquid can push objects	nongold
20	gravity is a kind of force	nongold
21	friction exerts force on moving objects	nongold
22	strong means high in strength	nongold
23	a surface is a part of an object	nongold
24	tension is a kind of force	nongold
25	a living thing is a kind of object	nongold
26	pull is similar to attract	nongold
27	extreme means very high in value	nongold
28	high is similar to increase	nongold
29	affected means changed	nongold
30	a surface is a kind of object	nongold
31	a surface is a part of a material	nongold
32	materials are made of matter	nongold
33	as the mass of an object increases , the force required to push that object will increase	nongold
34	intense means extreme	nongold
35	person is synonymous with human	nongold
36	strength is a property of an object; a material	nongold
37	an animal is a kind of living thing	nongold
38	substances are made of matter	nongold
39	a motion is a kind of event; action	nongold
40	to reduce means to decrease	nongold
41	An example of a physical change is breaking an object	nongold
42	additional force is similar to outside force	nongold
43	motion; movement means moving; to move	nongold
44	hitting is a kind of motion	nongold
45	material means substance	nongold
46	force causes the speed of an object to increase; to decrease	nongold
47	matter; materials; substances are made of atoms; particles	nongold
48	both means two	nongold
49	weak means low in strength	nongold
50	an event is a kind of action	nongold
51	a rock is a kind of object	nongold
52	mechanical force is a kind of mechanical energy	nongold
53	to slow; to slow down decreases speed	nongold
54	if an object is kicked then force is exerted on that object	nongold
55	answering questions requires information	nongold
56	an increase is the opposite of a decrease	nongold
57	to add means to increase	nongold
58	friction occurs when two object's surfaces move against each other	nongold
59	a human is a kind of animal	nongold
60	low is similar to decrease	nongold
61	squeezing is a kind of action	nongold
62	a  solution  is a kind of object	nongold
63	an object exerts an upward force objects that sit on that object	nongold
64	an object has properties	nongold
65	a lever can be used to hit an object	nongold
66	particles in objects are a kind of matter	nongold
67	a body part is a kind of object	nongold
68	an part of an object is smaller than the entire object	nongold
69	an object being pushed across another object causes their surfaces to move against each other	nongold
70	Weight is  the  force of gravity acting on an object	nongold
71	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
72	pressure is a kind of condition	nongold
73	shaking is a kind of motion	nongold
74	rock is a kind of material	nongold
75	to cause is similar to bring	nongold
76	an increase is a kind of change	nongold
77	definite is the opposite of variable	nongold
78	variable means able to change	nongold
79	compression is a kind of stress	nongold
80	motion is when moves an object; something to a direction	nongold
81	gravity accelerates an object while that object falls by pulling on it	nongold
82	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
83	a particle is a kind of object	nongold
84	to impact means to affect	nongold
85	an object is made of its parts	nongold
86	converting is similar to releasing	nongold
87	weight means the force of gravity acting on an object	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	the mass of a planet causes the pull of gravity on that planet	nongold
90	water is a kind of matter	nongold
91	contracting is a kind of movement	nongold
92	low means down	nongold
93	action can cause change	nongold
94	cutting an object requires mechanical force	nongold
95	to give is similar to to cause	nongold
96	if an object is made of a material then that object has the properties of that material	nongold
97	to raise means to add	nongold
98	a pulley is a kind of simple machine	nongold
99	air is a kind of matter	nongold
