Question	Solids that are combined together and maintain their physical properties are best labeled as a	question
Answer	mixture.	answer
0	mixture means solids combined together that maintain their physical properties	nongold
1	an mixture is formed by two or more substances combined together physically	gold
2	a mixture usually is made of objects with different physical properties	nongold
3	if solids are combined physically , then the physical properties of the solids will stay the same	gold
4	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
5	when two substances together form a compound then those substances cannot be physically separated	nongold
6	physical state means state of matter	nongold
7	to be a combination of means to be made of	nongold
8	a physical property is a kind of property	nongold
9	a chemical property is the opposite of a physical property	nongold
10	to add means to combine	nongold
11	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
12	classifying means grouping objects; materials by their properties	nongold
13	if something undergoes a physical change then the physical properties of that something will change	nongold
14	a compound is made of two or more elements that have been chemically combined	nongold
15	a solid is a kind of substance	nongold
16	state of matter at room temperature is a kind of physical property	nongold
17	state of matter means physical state	nongold
18	combining; mixing two substances chemically causes chemical reactions	nongold
19	a mixture is a kind of substance	nongold
20	state of matter is a kind of physical property	nongold
21	solid is a kind of state of matter	nongold
22	to maintain means to not change	gold
23	a solution is a kind of mixture	nongold
24	a mixture of solids can be easily separated	nongold
25	chemical change is the opposite of physical change	nongold
26	a phase change is a kind of physical change	nongold
27	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
28	liquid is a kind of state of matter	nongold
29	a compound is a kind of substance	nongold
30	a compound is a kind of material	nongold
31	classifying is when one sorts something by kind; type	nongold
32	substances are made of matter	nongold
33	materials are made of matter	nongold
34	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
35	if a substance is mixed with another substance then those substances will undergo physical change	nongold
36	matter; materials; substances are made of atoms; particles	nongold
37	mass is a kind of physical property	nongold
38	plus means to combine	nongold
39	conductivity is a kind of physical property	nongold
40	a molecule is made of atoms chemically combined; bonded	nongold
41	An example of combining two substances is pouring one substance into the other substance	nongold
42	all elements are a kind of pure substance	nongold
43	pair is a kind of combination	nongold
44	a pure substance is made of only one kind of atom; molecule	nongold
45	Matter in the solid phase has definite shape	nongold
46	a compound can be chemically separated into the elements that it is made of	nongold
47	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
48	dissolving is a kind of  mixing	nongold
49	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
50	substances are made of molecules	nongold
51	a liquid is a kind of substance	nongold
52	matter is made of molecules	nongold
53	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
54	substances have chemical properties	nongold
55	An example of a chemical property is the elements a compound is made of	nongold
56	state means form	nongold
57	alloy is a kind of mixture	nongold
58	melting is a kind of phase change	nongold
59	water is a kind of compound	nongold
60	a solution is made of one substance dissolved in another substance	nongold
61	solution is a kind of liquid	nongold
62	to convert means to change	nongold
63	heat means heat energy	nongold
64	compound is a kind of chemical	nongold
65	substances are made of elements	nongold
66	melting is when solids are heated above their melting point	nongold
67	Matter in the liquid phase has variable shape	nongold
68	a metal is usually a solid at room temperature	nongold
69	freezing causes a solid to form	nongold
70	variability of shape; variability of volume is a kind of physical property	nongold
71	Matter in the solid phase has definite volume	nongold
72	liquid; solid means nongaseous	nongold
73	a kind of something is classified as that something	nongold
74	a solution is formed by one substance being dissolved in another substance	nongold
75	material means substance	nongold
76	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
77	a powder mix is a kind of substance	nongold
78	composed of means made of	nongold
79	form means kind	nongold
80	forming is similar to converting	nongold
81	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
82	material composition is a kind of chemical property	nongold
83	a physical reaction is a kind of process	nongold
84	the chemistry of something is similar to what that something is made of	nongold
85	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
86	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
87	a chemical compound is a kind of compound	nongold
88	aluminum is a kind of matter	nongold
89	chemical composition is a kind of property	nongold
90	objects are made of materials; substances; matter	nongold
91	different materials usually have different properties	nongold
92	an element is a kind of material	nongold
93	different types of matter have different chemical properties	nongold
94	An example of a mixture is sand; clay; soil mixed together	nongold
95	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
96	shape is a kind of physical property	nongold
97	gas is a kind of state of matter	nongold
98	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
99	if something is made of something else , then that something else will be the component of that something	nongold
