Question	Which characteristic can a puppy inherit from its parents?	question
Answer	spotted fur	answer
0	a baby is the offspring of a parent	gold
1	a baby is the offspring of a parent	nongold
2	a puppy is a young; baby dog	gold
3	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
4	the color of; coloration of fur is an inherited characteristic	gold
5	feature is synonymous with characteristic	nongold
6	an inherited characteristic is a kind of characteristic	nongold
7	a dog is a kind of animal	gold
8	trait is synonymous with characteristic	nongold
9	an animal is a kind of living thing	gold
10	if an animal's fur is a color then that animal is that color	nongold
11	a father is a kind of male parent	nongold
12	parents produce offspring	nongold
13	spotted is a kind of color pattern	gold
14	children; young is synonymous with offspring	nongold
15	a baby is a kind of young animal	nongold
16	a child is a kind of young human	nongold
17	coat means fur coat	nongold
18	characteristic means property	nongold
19	coloration is a kind of adaptation for hiding;camouflage	nongold
20	living things can all reproduce	nongold
21	a part of something means a characteristic of something	nongold
22	a living thing is a kind of object	nongold
23	the colors of parts of an organism are inherited characteristics	gold
24	to reproduce means to have; to produce offspring	nongold
25	fur is often part of an animal	gold
26	reproduction produces; produce offspring	nongold
27	offspring are a part of a generation	nongold
28	fur is usually part of a mammal	nongold
29	trait means property	nongold
30	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
31	An example of camouflage is when something is; has the same color as its environment	nongold
32	coloration means a thing's color	nongold
33	species is an inherited characteristic	nongold
34	parents are a part of a generation	nongold
35	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
36	an animal is a kind of organism	nongold
37	inherited characteristics can change over several generations	nongold
38	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
39	a mother is a kind of female parent	nongold
40	if an organism passes on its traits then future generations will have those traits	nongold
41	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
42	eye color is an inherited characteristic	nongold
43	an adaptation is a kind of characteristic	nongold
44	can means having the ability to	nongold
45	a property of something is a feature of that something	nongold
46	camouflage is a kind of adaptation for hiding in an environment	nongold
47	identical twins have all of the same inherited characteristics	nongold
48	the shape of body parts is an inherited characteristic	nongold
49	a structure is a kind of feature	nongold
50	a son is a kind of male offspring	nongold
51	genes are able to determine the inherited characteristics of a living thing	nongold
52	white fur is a recessive trait in guinea pig	nongold
53	a mother births offspring	nongold
54	a learned characteristic is a kind of acquired characteristic	nongold
55	color is a property of  an object; a material	nongold
56	Camouflage is synonymous with visual disguise	nongold
57	a part of a living thing is a natural structure	nongold
58	a kitten is a young; baby cat	nongold
59	coloration means a pattern of colors	gold
60	An example of camouflage is when an organism looks like its environment	nongold
61	a structure of something is synonymous with a part of that something	nongold
62	brown is a kind of color	nongold
63	newborn is similar to baby	nongold
64	natural selection occurs over a period of 1 to many generations; centuries which is considered a  very long time to a human	nongold
65	genetic variation is similar to trait variation	nongold
66	a human is a kind of animal	nongold
67	a cat is a kind of animal	nongold
68	white fur is white in color	nongold
69	a type is synonymous with a kind	nongold
70	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
71	blood type is an inherited characteristic	nongold
72	offspring receives half of the genes from each parent	nongold
73	brown fur is a recessive trait in mouse	nongold
74	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
75	newborn means just born	nongold
76	sister means one of the offspring	nongold
77	a cat is a kind of mammal	nongold
78	an organism is a living thing	gold
79	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
80	white fur is a recessive trait in mouse	nongold
81	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
82	baby animals become adult animals	nongold
83	brown is dark in color	nongold
84	a mammal is a kind of animal	nongold
85	if something gains something from something else then that something else is a source of that something	nongold
86	a face is often a part of an animal	nongold
87	appearance is a property of objects; materials	nongold
88	if something comes from something else then that something else is a source of that something	nongold
89	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
90	adaptations are used for survival	nongold
91	ability is a kind of characteristic	nongold
92	unique  is the opposite of diverse	nongold
93	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
94	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
95	an animal; living thing requires nutrients for survival	nongold
96	height is an inherited characteristic	nongold
97	intelligence is an acquired characteristic	nongold
98	white is a kind of color	nongold
99	hair is similar to fur	nongold
