Question	Which of the following is an example of a chemical change?	question
Answer	a candle burning	answer
0	An example of combustion is explosion	nongold
1	combustion is a kind of chemical change	nongold
2	lighting a candle causes that candle to burn	nongold
3	a lit candle converts chemical energy into light energy; heat energy	nongold
4	combustion means fire converts chemical energy into light energy and heat energy	nongold
5	chemical reactions cause chemical change	gold
6	to combust means to catch fire	nongold
7	a kind of something is an example of that something	nongold
8	fire causes burning	gold
9	a candle is a source of light when it is burned	nongold
10	a candle is a kind of object	nongold
11	chemical change is a kind of chemical reaction	nongold
12	fire is a kind of chemical reaction	gold
13	a flame are a part of a fire	nongold
14	a candle is made of wax	nongold
15	chemicals means substances	nongold
16	acid can cause chemical change	nongold
17	combustion is a kind of exergonic reaction	nongold
18	a fire requires  oxygen to burn	nongold
19	wood burns	nongold
20	gas is a kind of state of matter	nongold
21	An example of a chemical property is how a material reacts chemically	nongold
22	gas is a kind of substance	nongold
23	fire gives off light; heat; smoke	nongold
24	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
25	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
26	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
27	substances are made of matter	nongold
28	carbon dioxide is a kind of gas	nongold
29	chemical reactions cause new substances; different substances to form	nongold
30	a  gas is a kind of  element	nongold
31	burning is a kind of action	nongold
32	vapor is synonymous with gas	nongold
33	compound is a kind of chemical	nongold
34	substances have chemical properties	nongold
35	oxygen is a kind of gas at room temperature	nongold
36	to give off means to be the source of	nongold
37	most chemical reactions release or absorb heat energy	nongold
38	a chemical compound is a kind of compound	nongold
39	a change is a kind of event	nongold
40	An example of a chemical change is acid breaking down substances	nongold
41	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
42	chemical reaction means chemical bonds change	nongold
43	chlorine is a kind of element	nongold
44	adding heat to an object sometimes causes chemical reactions	nongold
45	chemical change is the opposite of physical change	nongold
46	if an object undergoes chemical change then that object will have new chemical properties	nongold
47	materials are made of matter	nongold
48	gas is a kind of nonmetal	nongold
49	a chemical reaction is a kind of process	nongold
50	smoke is similar to dust; ash	nongold
51	gas is a kind of material	nongold
52	combining; mixing two substances chemically causes chemical reactions	nongold
53	to convert means to change	nongold
54	carbon is a kind of element	nongold
55	liquid is a kind of state of matter	nongold
56	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
57	a compound can be chemically separated into the elements that it is made of	nongold
58	combustion is a kind of activity	nongold
59	a compound is made of two or more elements that have been chemically combined	nongold
60	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
61	objects are made of materials; substances; matter	nongold
62	combustibility means the ability of combustion	nongold
63	An example of a chemical property is the elements a compound is made of	nongold
64	chemical compounds contain chemical bonds between atoms; between elements	nongold
65	an increase is a kind of change	nongold
66	hydrogen is a kind of gas at room temperature	nongold
67	combustibility is a kind of  chemical property	nongold
68	sulfur dioxide is formed by the combustion of fossil fuels	nongold
69	paper burns	nongold
70	oxygen  is a kind of element	nongold
71	sulfur is a kind of element	nongold
72	wood is a kind of nonmetal	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	boiling is a kind of phase change	nongold
75	an event is a kind of action	nongold
76	reaction to light is a kind of chemical property	nongold
77	nitrogen is a kind of gas	nongold
78	matter; materials; substances are made of atoms; particles	nongold
79	heat means heat energy	nongold
80	a phase change is a kind of physical change	nongold
81	reducing is a kind of change	nongold
82	adding something is a kind of change	nongold
83	putting out a fire stops the burning of that fire	nongold
84	hydrogen is a kind of element	nongold
85	rust forming is a kind of chemical change	nongold
86	heat energy can change the state of matter	nongold
87	combustion is a kind of exothermic reaction	nongold
88	to change means to cause a change	nongold
89	An example of a chemical change is electrical energy breaking down a compound	nongold
90	high temperatures can cause an object to combust	nongold
91	a  chemical property is a kind of  property	nongold
92	to add means to increase	nongold
93	objects contain chemical energy	nongold
94	oxygen gas is made of only  oxygen element	nongold
95	Matter in the gas phase has variable shape	nongold
96	emit means produce	nongold
97	gas is a kind of object	nongold
98	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
99	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
