Question	Annette is using many tools to build a doghouse. For which of the following would Annette most likely use a tape measure while building the doghouse?	question
Answer	determining where to cut the wood into pieces	answer
0	a tape measure is a kind of tool for measuring distance; measuring length	gold
1	a  tape measure is used to measure length; distance	gold
2	a dog is a kind of animal	nongold
3	measuring sometimes requires  recording; learning an amount	nongold
4	determining often requires measuring; observing	gold
5	cutting a material usually requires measuring length	gold
6	cutting means changing the object from a whole into smaller pieces	nongold
7	building something often requires measuring the materials	gold
8	a piece of something is a kind of object	nongold
9	a piece is a part of a whole	nongold
10	to break down means to break into smaller pieces	nongold
11	wood is a kind of object	nongold
12	plastic tape is made of plastic	nongold
13	an animal is a kind of living thing	nongold
14	instrument means tool	nongold
15	a living thing is a kind of object	nongold
16	building a tool requires knowing about the parts of that tool	nongold
17	measuring requires reading a measurement	nongold
18	a tool is a kind of object	nongold
19	a piece of an object is smaller in size than the whole object	nongold
20	a house is a kind of building	nongold
21	cutting requires rigid tools	nongold
22	an object is made of its parts	nongold
23	a meter stick is used to measure distance; height; length	nongold
24	break down means change from a whole into pieces	nongold
25	a human is a kind of animal	nongold
26	an instrument is a piece of equipment	nongold
27	wood is a kind of natural material	gold
28	building usually requires cutting down trees	nongold
29	construction means building	nongold
30	a meter stick is a kind of tool for measuring length; measuring distance	nongold
31	an animal is a kind of organism	nongold
32	cutting an object requires mechanical force	nongold
33	objects are made of materials; substances; matter	nongold
34	wood is a strong material	nongold
35	a dog weighs, on average 32 kg	nongold
36	determine is similar to cause	nongold
37	to make means to build	nongold
38	device means tool	nongold
39	property is similar to measurement	nongold
40	recording is similar to measuring	nongold
41	instrument means device	nongold
42	length is a part of size	nongold
43	thickness is  a measure of how thick an object  is	nongold
44	a meter is a kind of unit for measuring distance; measuring length	nongold
45	an part of an object is smaller than the entire object	nongold
46	calculation means measurement	nongold
47	if an object is made of something then the parts of that object are made of that something	nongold
48	wood has a smooth surface	nongold
49	tearing means changing a whole into pieces	nongold
50	construction of a building usually requires clearing the land as the first step; beforehand	nongold
51	a measurement is a kind of data	nongold
52	a device is a kind of object	nongold
53	process is similar to method	nongold
54	if a living thing requires something then that something has a positive impact on that living thing	nongold
55	determining is similar to controlling	nongold
56	if an object is made of a material then that object has the properties of that material	nongold
57	measuring is used for describing an object	nongold
58	wood is always nonmagnetic	nongold
59	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
60	person is synonymous with human	nongold
61	breaking down into pieces is a kind of change in shape	nongold
62	a process is a kind of event	nongold
63	using an object often requires creating that object	nongold
64	length is a measure of distance from one end of an object to the other end of that object	nongold
65	a part of a living thing is a natural structure	nongold
66	an event is a kind of action	nongold
67	work is a measure of the product of force and distance	nongold
68	a surface is a part of an object	nongold
69	to be used for something means to be required by that something	nongold
70	a type is synonymous with a kind	nongold
71	a structure of something is synonymous with a part of that something	nongold
72	to create means to make	nongold
73	composed of means made of	nongold
74	to use means to utilize	nongold
75	wood is usually sturdy	nongold
76	some dogs are trained to bark; to scratch at the door when they want to go outside	nongold
77	identifying is similar to determining	nongold
78	a saw can be used to cut objects	nongold
79	materials are made of matter	nongold
80	a surface is a part of a material	nongold
81	requiring is similar to needing help	nongold
82	a measure of time is a length of time	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	answering questions requires information	nongold
85	determining is similar to learning	nongold
86	wood is an thermal; thermal energy insulator	nongold
87	if something performs a task then that task is that something's function	nongold
88	determining the type of an organism requires having information about that organism	nongold
89	a process usually requires all of the stages in that process	nongold
90	the function of something is what that something  is used to do	nongold
91	heat means heat energy	nongold
92	a paper clip is a kind of object	nongold
93	wood is a thermal; thermal energy insulator	nongold
94	wood is a light material	nongold
95	form means kind	nongold
96	a wire is a kind of object	nongold
97	distance moved; distance travelled is a measure of how far an object moves	nongold
98	a part of a process means a stage in a process	nongold
99	made of is similar to is built from	nongold
