Question	Which of the following is a characteristic of all chemical changes?	question
Answer	A new material is formed.	answer
0	characteristic means property	gold
1	chemical reactions cause new substances; different substances to form	gold
2	forming something is a kind of change	nongold
3	form means kind	nongold
4	to be made of something means to be formed of that something	nongold
5	a part of something means a characteristic of something	nongold
6	products are formed; are produced; are created	nongold
7	chemical reactions cause chemical change	gold
8	new means different from the former one	nongold
9	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
10	acid can cause chemical change	nongold
11	to cause the formation of means to form	nongold
12	state means form	nongold
13	chemicals means substances	nongold
14	material means substance	gold
15	combustion is a kind of chemical change	nongold
16	materials are made of matter	nongold
17	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
18	feature is synonymous with characteristic	nongold
19	an element is a kind of material	nongold
20	to make means to form	nongold
21	to change into means to form	nongold
22	what an object is made of is a kind of characteristic	nongold
23	substances are made of matter	nongold
24	matter; materials; substances are made of atoms; particles	nongold
25	a compound is a kind of material	nongold
26	chemical change is the opposite of physical change	nongold
27	chemical change is a kind of chemical reaction	nongold
28	if an object undergoes chemical change then that object will have new chemical properties	nongold
29	carbon is a kind of element	nongold
30	all elements are a kind of pure substance	nongold
31	to be formed by is similar to being produced by	nongold
32	objects are made of materials; substances; matter	nongold
33	forming is similar to converting	nongold
34	compound is a kind of chemical	nongold
35	substances are made of elements	nongold
36	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
37	metal is a kind of material	nongold
38	substances have chemical properties	nongold
39	nitrogen is a kind of element	nongold
40	oxygen  is a kind of element	nongold
41	a structure is a kind of feature	nongold
42	a compound is made of two or more elements that have been chemically combined	nongold
43	to form means to create	nongold
44	rust forming is a kind of chemical change	nongold
45	composed of means made of	nongold
46	a compound can be chemically separated into the elements that it is made of	nongold
47	to be formed by is to be the result of	nongold
48	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
49	an  element is a kind of atom	nongold
50	to convert means to change	nongold
51	An example of a chemical change is acid breaking down substances	nongold
52	chlorine is a kind of element	nongold
53	chemical compounds contain chemical bonds between atoms; between elements	nongold
54	hydrogen is a kind of element	nongold
55	sulfur is a kind of element	nongold
56	gas is a kind of material	nongold
57	combining; mixing two substances chemically causes chemical reactions	nongold
58	nitrogen is a kind of gas	nongold
59	boiling is a kind of phase change	nongold
60	the chemistry of something is similar to what that something is made of	nongold
61	An example of a chemical property is the elements a compound is made of	nongold
62	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
63	reducing is a kind of change	nongold
64	a chemical compound is a kind of compound	nongold
65	structure is a property of an object; a material; a substance	nongold
66	material composition is a kind of chemical property	nongold
67	an element is made of one kind of atoms	nongold
68	synthesis means to make	nongold
69	an element is a kind of  substance	nongold
70	An example of a chemical property is how a material reacts chemically	nongold
71	melting is a kind of phase change	nongold
72	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
73	liquid is a kind of state of matter	nongold
74	composition is a property of an object; matter	nongold
75	substances are made of molecules	nongold
76	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
77	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
78	a metal is a kind of element	nongold
79	chemical weathering causes iron in rock to oxidize	nongold
80	a molecule is made of atoms chemically combined; bonded	nongold
81	gas is a kind of state of matter	nongold
82	plant and animal matter means organic matter	nongold
83	old is the opposite of new	nongold
84	a  chemical property is a kind of  property	nongold
85	shape is a kind of characteristic	nongold
86	a pure substance is made of only one kind of atom; molecule	nongold
87	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
88	to be formed means to be originated	nongold
89	a compound is a kind of substance	nongold
90	sulfur dioxide is formed by the combustion of fossil fuels	nongold
91	matter is made of molecules	nongold
92	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
93	hydrochloric acid is a kind of acid	nongold
94	freezing is a kind of phase change	nongold
95	alteration means change	nongold
96	composition means the (materials, substances) of which something is composed	nongold
97	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
98	a  gas is a kind of  element	nongold
99	oxygen gas is made of only  oxygen element	nongold
