Question	What are the two main jobs of the skeletal system?	question
Answer	support and protect the body	answer
0	a skeletal system is a part of an animal for providing support; providing shape; providing protection	gold
1	the skeletal system protects internal organs	gold
2	skeletal system is made of bones	nongold
3	a skeletal system is a part of an animal	nongold
4	the skeleton is a part of the skeletal system	nongold
5	to protect means to defend	nongold
6	the skeletal system is a kind of body system	nongold
7	the skeletal system gives structure to the body in animals	nongold
8	a bone is a part of a body	nongold
9	function means job	gold
10	the muscular system is a kind of body; organ system	nongold
11	protecting is a kind of function	gold
12	helping something has a  positive impact on that something	nongold
13	to do a job means to perform a job	nongold
14	a body system is a part of the body; an animal	nongold
15	an animal is a kind of organism	nongold
16	something hard; something strong can be used for protection	nongold
17	both means two	nongold
18	the body is a part of an organism	nongold
19	a bone is a part of some animals	nongold
20	protecting something means preventing harm to that something	nongold
21	protection means resistance to damage increases	nongold
22	the muscular system contains muscles	nongold
23	to help; to benefit means to be of use	nongold
24	helping bodily processes has a positive impact on an animal; an animal's health	nongold
25	harm means injury	nongold
26	damage means harm	nongold
27	system is similar to structure	nongold
28	an animal is a kind of living thing	nongold
29	a human is a kind of animal	nongold
30	to help means to aid	nongold
31	a body system is a kind of object	nongold
32	to protect means to make safe	nongold
33	a limb often contains bones	nongold
34	providing support is a kind of function	nongold
35	system means a set of objects	nongold
36	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
37	muscles push; pull bones to move the bones	nongold
38	the function of something is what that something  is used to do	nongold
39	a living thing is a kind of object	nongold
40	to have a function is similar to to be responsible for	nongold
41	a body part is a kind of object	nongold
42	broken bones require healing	nongold
43	an organism is a living thing	nongold
44	to anchor means to provide support	nongold
45	to hurt means to harm	nongold
46	a structure of something is synonymous with a part of that something	nongold
47	limbs are part of an animal	nongold
48	human is a kind of organism	nongold
49	bone is hard	nongold
50	to be used  for something means to help to do that something	nongold
51	helping means to assist in a change	nongold
52	harming something has a  negative impact on; effect on that something	nongold
53	requiring is similar to needing help	nongold
54	muscle tissue is a kind of tissue	nongold
55	breaking a part of the body means breaking a bone in that part of the body	nongold
56	answering questions requires information	nongold
57	covering something is a kind of protection	nongold
58	death means to die	nongold
59	life means living things	nongold
60	good means positive	nongold
61	to depend on; to rely on; to need means to require	nongold
62	to enable is to help	nongold
63	to cause means to be responsible for	nongold
64	an event is a kind of action	nongold
65	an arm is a kind of limb	nongold
66	strong means high in strength	nongold
67	dead means not alive	nongold
68	role means function	nongold
69	to work means to function	nongold
70	material means substance	nongold
71	internal organs are a part of the body	gold
72	a component means a part of	nongold
73	a component of something means a part of that something	nongold
74	something is used for that something's purpose	nongold
75	organ system means body system	nongold
76	having a job has a positive impact on a human	nongold
77	something harmful can cause harm	nongold
78	if something performs a task then that task is that something's function	nongold
79	an invertebrate organism does not have an internal skeleton	nongold
80	killing means harming something causing death	nongold
81	to be a vehicle for is a kind of function	nongold
82	a structure is a kind of feature	nongold
83	helping means something can be done; completed more easily; better	nongold
84	structure is a property of an object; a material; a substance	nongold
85	the integumentary system is a kind of body; organ system	nongold
86	a mechanism is a kind of system that performs a function	nongold
87	a spine is a kind of object	nongold
88	an object is made of its parts	nongold
89	breaking down is a kind of function	nongold
90	best means most positive	nongold
91	a type is synonymous with a kind	nongold
92	the esophagus is a part of the body	nongold
93	function is similar to purpose	nongold
94	negative impact is the opposite of positive impact	nongold
95	high is similar to increase	nongold
96	can be means able to be	nongold
97	a function is a kind of characteristic	nongold
98	form means kind	nongold
99	help means advantage	nongold
