Question	Most of Earth's surface is covered by	question
Answer	water	answer
0	under water means covered by water; in water	nongold
1	if the surface of an object contains something then that object is covered with that something	nongold
2	a covering is a kind of object	nongold
3	Earth's surface is made of rock	nongold
4	bodies of water are located on Earth's surface	nongold
5	water is a kind of substance	nongold
6	most means over 50% of something	gold
7	the ground means Earth's surface	nongold
8	water is a kind of liquid at room temperature	nongold
9	oceans cover 70% of the surface of the earth	gold
10	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
11	a surface is a part of an object	nongold
12	Earth is a kind of planet	nongold
13	oceans contains most of  earth's water	nongold
14	the ground is part of the Earth	nongold
15	water is a part of an environment	nongold
16	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
17	organisms are located on Earth's surface	nongold
18	ground water is a kind of water	nongold
19	Earth contains water; ice; (steam, water vapor)	nongold
20	a surface is a part of a material	nongold
21	if something exists on a surface then that surface contains that something	nongold
22	water is a kind of matter	nongold
23	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
24	a body of water contains water	nongold
25	a surface is a kind of object	nongold
26	the surface of the Earth is made of 70% ocean	nongold
27	a body of water is a kind of environment	nongold
28	water is a kind of object	nongold
29	usually means most of the time	nongold
30	covering something is a kind of protection	nongold
31	temperature is a measure of heat energy	nongold
32	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
33	mostly means being the most	nongold
34	something that contains water is similar to a body of water	nongold
35	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
36	a liquid is a kind of substance	nongold
37	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
38	Earth is made of rock	nongold
39	hydrosphere is a thin layer of water covering the Earth's surface	nongold
40	an environment means an area	nongold
41	animals; living things require water for survival	nongold
42	greatest means largest; highest; most amount of something	nongold
43	moisture means liquid; liquid water	nongold
44	answering questions requires information	nongold
45	if one surface; one substance; one object touches something then one is exposed to that something	nongold
46	landform means surface feature; physical feature; land feature	nongold
47	wrapping is similar to covering	nongold
48	largest amount means most	nongold
49	a body of water is a source of water	nongold
50	an ocean is a kind of body of water	gold
51	water exists in three states on Earth	nongold
52	furthest; farthest means greatest; most; highest in distance	nongold
53	snow is a covering found on the surface of an arctic environment	nongold
54	hydrosphere covers the surface of the earth with a thin layer of water	nongold
55	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
56	rainwater is a kind of water	nongold
57	Earth's mantle has properties of both liquids and solids	nongold
58	water is a kind of water phase	nongold
59	a plants; living things require water for survival; to grow	nongold
60	storms;rain cause bodies of water to increase amount of water they contain	nongold
61	natural events usually cause changes to Earth's surface	nongold
62	to add means to increase	nongold
63	all the other means the rest of	nongold
64	harming something has a  negative impact on; effect on that something	nongold
65	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
66	affected means changed	nongold
67	no longer means used to be	nongold
68	to lower means to decrease	nongold
69	high is similar to increase	nongold
70	low is similar to decrease	nongold
71	organisms lived in the water when they first appeared on Earth	nongold
72	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
73	dry means low in amount of water; wetness; moisture	nongold
74	rain is a kind of water	nongold
75	extreme means very high in value	nongold
76	water is a kind of natural resource	nongold
77	water is a kind of natural resource	nongold
78	a type is synonymous with a kind	nongold
79	organisms are a part of an environment	nongold
80	colder; cooler means lower in temperature	nongold
81	freezing means cold temperatures	nongold
82	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
83	H2O means water	nongold
84	to reduce means to decrease	nongold
85	water is when humans pollute the environment with pollutants	nongold
86	cold means low in temperature	nongold
87	a wall is a kind of surface	nongold
88	soil contains water; humus; weathered rocks; organic matter	nongold
89	sea means ocean	nongold
90	soil is found on the surface of the Earth	nongold
91	the distance between the Sun and Earth causes liquid water to be able to exist on Earth	nongold
92	water is a kind of nonliving thing	nongold
93	objects are made of materials; substances; matter	nongold
94	material means substance	nongold
95	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
96	gas is a kind of substance	nongold
97	sinkholes; caves are formed by precipitation; infiltration	nongold
98	person is synonymous with human	nongold
99	water causes the most soil and rock erosion	nongold
