Question	High-altitude cirrus clouds are primarily formed from which substance?	question
Answer	solid ice crystals	answer
0	ice crystals means  ice	gold
1	cirrus clouds are made of ice crystals	gold
2	ice is a kind of solid	nongold
3	cirrus clouds are found in high-altitude area	gold
4	sometimes ice crystals are found in the atmosphere	nongold
5	crystal is a kind of  solid	nongold
6	mostly means being the most	nongold
7	ice is a kind of object	nongold
8	a cloud is a kind of object	nongold
9	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
10	an object; material; substance comes from that object or material's source	nongold
11	material means substance	nongold
12	matter; materials; substances are made of atoms; particles	nongold
13	clouds are usually found in the sky	nongold
14	low means low in elevation; height; altitude	nongold
15	snow is a kind of ice	nongold
16	clouds are made of water vapor; rain droplets	nongold
17	to be made of something means to be formed of that something	gold
18	substances are made of matter	nongold
19	freezing causes a solid to form	nongold
20	high means great in altitude	nongold
21	a solid is a kind of substance	nongold
22	objects are made of materials; substances; matter	nongold
23	clouds are located in the atmosphere	nongold
24	a cloud is a kind of weather	nongold
25	being made of crystals is synonymous with having a crystal structure	nongold
26	ice is a kind of food	nongold
27	answering questions requires information	nongold
28	ice is a kind of water phase	nongold
29	high is similar to increase	nongold
30	solid is a kind of state of matter	nongold
31	where something  comes from is a source of that something	nongold
32	if something comes from something else then that something else is a source of that something	nongold
33	a liquid is a kind of substance	nongold
34	clouds produce precipitation	nongold
35	frozen means solid	nongold
36	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
37	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
38	composed of means made of	nongold
39	an ice cube is a kind of solid	nongold
40	a living thing is a kind of object	nongold
41	to be formed means to be originated	nongold
42	rising means height; altitude increases	nongold
43	water is a kind of substance	gold
44	altitude is the distance from the ground to an object in the sky	nongold
45	to be formed by is similar to being produced by	nongold
46	form means kind	nongold
47	snow is a kind of precipitation	nongold
48	gas is a kind of substance	nongold
49	ice is cold in temperature	nongold
50	particles in objects are a kind of matter	nongold
51	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
52	cloudy means the presence  of clouds in the sky	nongold
53	to make means to form	nongold
54	extreme means very high in value	nongold
55	freezing means cold temperatures	nongold
56	low means down	nongold
57	freezing is a kind of phase change	nongold
58	high means a lot of something	nongold
59	to form means to create	nongold
60	thermosphere contains high-energy particles	nongold
61	a component means a part of	nongold
62	ice is colder than water in temperature	nongold
63	a component of something means a part of that something	nongold
64	if something is made of something; a material then that something contains that something; that material	nongold
65	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
66	substances are made of elements	nongold
67	made up of means contains; made of	nongold
68	made of is similar to contains	nongold
69	a type is synonymous with a kind	nongold
70	ice wedging is a kind of mechanical weathering	nongold
71	an event is a kind of action	nongold
72	an element is a kind of  substance	nongold
73	typically means usually	nongold
74	state means form	nongold
75	can be means able to be	nongold
76	liquid is a kind of state of matter	nongold
77	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
78	to cause the formation of means to form	nongold
79	phase means state	nongold
80	Mars contains ice	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	snow is a kind of object	nongold
83	intense means extreme	nongold
84	breaking down is a kind of forming	nongold
85	denser means more dense	nongold
86	a particle is a kind of object	nongold
87	frost is a kind of solid water	nongold
88	emit means produce	nongold
89	if two things are made from the same objects; material then those two things are similar	nongold
90	if something transfers something else then that something is a source of something else	nongold
91	materials are made of matter	nongold
92	temperature is a measure of heat energy	nongold
93	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
94	if something releases something else then that something is the source of that something else	nongold
95	a process is a kind of event	nongold
96	water is a kind of liquid at room temperature	nongold
97	gas is a kind of material	nongold
98	to increase is similar to to create	nongold
99	a mountain is high in altitude	nongold
