Question	Which object refracts light?	question
Answer	glass prism	answer
0	a prism refracts light	gold
1	a prism is used for refracting light	nongold
2	a prism is a kind of tool for refracting light	nongold
3	a prism is made of glass	gold
4	a prism is a kind of object	gold
5	glass; objects made of glass cause refraction of light	nongold
6	glass is a kind of object	nongold
7	water causes refraction of light	nongold
8	refraction is when light passes from one medium to another medium	nongold
9	glass is a kind of solid at room temperature	nongold
10	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
11	glass is a kind of material	nongold
12	refraction is when light bends	nongold
13	refracting sunlight; light causes sunlight; light to split into different colors	nongold
14	sunlight is a kind of light	nongold
15	objects are made of materials; substances; matter	nongold
16	refraction is a property of light	nongold
17	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
18	materials are made of matter	nongold
19	glass is a kind of medium	nongold
20	glass is a kind of open container	nongold
21	to illuminate means to light up	nongold
22	refraction causes something to appear; to look different	nongold
23	refraction is a kind of process	nongold
24	a tool is a kind of object	nongold
25	refraction of light can split light into lights of different color	nongold
26	substances are made of matter	nongold
27	refractions of light can be used to help a person see	nongold
28	glass is recyclable	nongold
29	if an object is made of a material then that object has the properties of that material	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	matter; materials; substances are made of atoms; particles	nongold
32	a glass contains water	nongold
33	glass is a kind of product	nongold
34	an object; material; substance comes from that object or material's source	nongold
35	instrument means tool	nongold
36	light means light energy	nongold
37	UV light is a kind of light	nongold
38	can be means able to be	nongold
39	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
40	a device is a kind of object	nongold
41	an object is made of its parts	nongold
42	to convert means to change	nongold
43	to create means to make	nongold
44	a type is synonymous with a kind	nongold
45	the ability to refract is a property of waves	nongold
46	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
47	refraction changes the length and the direction of light	nongold
48	answering questions requires information	nongold
49	an animal is a kind of living thing	nongold
50	light is a kind of wave	nongold
51	visible light is a kind of  light	nongold
52	composed of means made of	nongold
53	a  solution  is a kind of object	nongold
54	emit means produce	nongold
55	to produce means to create	nongold
56	matter is made of molecules	nongold
57	a living thing is a kind of object	nongold
58	to shine means to emit light	nongold
59	form means kind	nongold
60	to give off means to be the source of	nongold
61	liquid is a kind of state of matter	nongold
62	the function of something is what that something  is used to do	nongold
63	a component means a part of	nongold
64	a human is a kind of animal	nongold
65	to make means to form	nongold
66	a molecule is a kind of object	nongold
67	structure is a property of an object; a material; a substance	nongold
68	to form means to create	nongold
69	solid is a kind of state of matter	nongold
70	converting is similar to producing	nongold
71	a process is a kind of event	nongold
72	to generate means to create	nongold
73	instrument means device	nongold
74	to add means to increase	nongold
75	an event is a kind of action	nongold
76	an object has properties	nongold
77	if something transfers something else then that something is a source of something else	nongold
78	particles in objects are a kind of matter	nongold
79	to be formed by is similar to being produced by	nongold
80	clear glass is transparent	nongold
81	forming is similar to converting	nongold
82	an increase is a kind of change	nongold
83	to generate means to form	nongold
84	if something is made of something else then that something can be broken down into that something else	nongold
85	to turn means to convert	nongold
86	creating means making	nongold
87	high is similar to increase	nongold
88	state of matter means physical state	nongold
89	a flashlight emits light	nongold
90	light is made of photons	nongold
91	generate means produce	nongold
92	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	nongold
93	glass can be reused many times	nongold
94	reflecting light; sound is the opposite of absorbing light; sound	nongold
95	if an object is made of something then the parts of that object are made of that something	nongold
96	where something  comes from is a source of that something	nongold
97	to be made of something means to be formed of that something	nongold
98	metal is a kind of material	nongold
99	formation of a state of matter is a kind of process	nongold
