Question	A robin catches and eats a cricket. Which statement best describes the roles of each animal?	question
Answer	The robin is the predator and the cricket is the prey.	answer
0	a robin is a kind of bird	gold
1	a cricket is a kind of insect	gold
2	role means function	nongold
3	purpose means role	nongold
4	an animal is a kind of living thing	nongold
5	eating prey requires catching prey	nongold
6	predators eat prey	gold
7	a bird is a kind of living thing	nongold
8	role is similar to importance	nongold
9	part means role	nongold
10	an animal is a kind of organism	nongold
11	a predator is a kind of animal	nongold
12	a predator eats other animals for food	nongold
13	role means niche	nongold
14	a bird is a kind of animal	gold
15	a living thing is a kind of object	nongold
16	prey  is a kind of animal	nongold
17	food is what an animal eats	nongold
18	if an animal eats another animal then that animal is a carnivore or omnivore or predator	gold
19	prey is a kind of food for predators	nongold
20	eating an animal; a plant means killing that animal; that plant	nongold
21	an organism is a living thing	nongold
22	to prey on an animal means to eat that animal	nongold
23	an animal; living thing requires nutrients for survival	nongold
24	some crickets live in forests	nongold
25	diet means what an animal eats	nongold
26	a plant; living thing requires food for survival	nongold
27	to eat means to consume food	nongold
28	an insect is a kind of prey	nongold
29	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
30	some birds are predators	gold
31	an animal needs to eat food for nutrients	nongold
32	best means most positive	nongold
33	a role in the ecosystem is a role in the food chain process	nongold
34	producer is a kind of role in the food chain process; in an ecosystem	nongold
35	attracting is a kind of function; activity	nongold
36	become prey means get eaten	nongold
37	a predator usually kills its prey to eat it	nongold
38	to be involved in something means to have a role in something	nongold
39	both means two	nongold
40	if an organism eats something then that something is a source of frood to that organism	nongold
41	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
42	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
43	a plant is a kind of organism	nongold
44	an insect is a kind of animal	gold
45	each is similar to individual	nongold
46	an organism eating is a kind of action	nongold
47	food is a kind of object	nongold
48	a plant is a kind of living thing	nongold
49	predators; carnivores; omnivores eat other animals	nongold
50	birds sometimes eat insects	nongold
51	a human is a kind of animal	nongold
52	an animal is a member of an animal species	nongold
53	some predators move  quickly to  catch prey	gold
54	a function is a kind of characteristic	nongold
55	a mammal is a kind of animal	nongold
56	if a living thing requires something then that something has a positive impact on that living thing	nongold
57	to be a vehicle for is a kind of function	nongold
58	an event is a kind of action	nongold
59	function is similar to purpose	nongold
60	survive means live	nongold
61	survive means live	nongold
62	catching something is synonymous with obtaining that something	nongold
63	a motion is a kind of event; action	nongold
64	the function of something is what that something  is used to do	nongold
65	killing means harming something causing death	nongold
66	animal instinct means instinctive behavior	nongold
67	species means a group of like organisms	nongold
68	trait is synonymous with characteristic	nongold
69	a bird is warm-blooded	nongold
70	most predators live in; live near the same environment as their prey	nongold
71	In the food chain process a  green plant has the role of  producer	nongold
72	a type is synonymous with a kind	nongold
73	opposite is a kind of different	nongold
74	a food contains nutrients for living things	nongold
75	nonliving; non-living; die is the opposite of living; alive; live	nongold
76	if two animals eat the same prey then those animals compete for that prey	nongold
77	killing means changing a living thing from alive to dead by harming	nongold
78	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
79	function means job	nongold
80	an animal is a kind of consumer	nongold
81	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
82	a predator is a kind of enemy to its prey	nongold
83	a function is an activity	nongold
84	producing is a kind of function	nongold
85	answering questions requires information	nongold
86	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
87	to depend on; to rely on; to need means to require	nongold
88	better means good	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	death means to die	nongold
91	high is similar to increase	nongold
92	trait means property	nongold
93	moving something is a kind of function	nongold
94	life means living things	nongold
95	an insect has three body parts	nongold
96	can be means able to be	nongold
97	pollinating is a kind of function	nongold
98	form means kind	nongold
99	to have a function is similar to to be responsible for	nongold
