Question	Compared to the amount of hereditary information in a human body cell, how much hereditary information is contained in a human sex cell?	question
Answer	one-half the amount	answer
0	to be found in means to be contained in	nongold
1	a human cell is a kind of cell	nongold
2	a sperm cell is a kind of  sex cell	nongold
3	a human is a kind of animal	nongold
4	inherited characteristics are a kind of hereditary information	nongold
5	an animal cell is a kind of cell	nongold
6	a body cell means a somatic cell	nongold
7	if something is a part of something else then that something else contains that something	nongold
8	contains means located in	nongold
9	trait is a kind of genetic information	nongold
10	made of is similar to contains	nongold
11	contain is similar to store	nongold
12	if something absorbs something else then that something will contain that something else	nongold
13	an animal is a kind of organism	nongold
14	a gene is a kind of unit of hereditary information	nongold
15	data means information	nongold
16	a property is a kind of information	nongold
17	human is a kind of organism	nongold
18	made up of means contains; made of	nongold
19	an egg cell is a kind of sex cell	nongold
20	a sex cell of a human contains 23 chromosomes	gold
21	one in  two means half; 50%	nongold
22	a human is a kind of mammal	nongold
23	to be filled with means to contain	nongold
24	an animal is a kind of living thing	nongold
25	genes contains genetic information	nongold
26	to contain means to have inside	nongold
27	including means containing	nongold
28	to contain something means to have that something	nongold
29	if something is made of something; a material then that something contains that something; that material	nongold
30	reproduction is when an organism passes genetic information from itself to its offspring	nongold
31	genetic information is encoded in genetic code	nongold
32	an organism is a living thing	nongold
33	if something is a source of something else then that something usually contains that something else	nongold
34	genetic; hereditary means of genes; heredity	nongold
35	to carry something means to contain something	nongold
36	composition is a kind of information	nongold
37	answering questions requires information	nongold
38	comparing requires measuring	nongold
39	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
40	a living thing is made of cells	nongold
41	gamete means sex cell	nongold
42	comparing requires observing that something	nongold
43	a plant cell is a kind of cell	nongold
44	genetic information can be used for making proteins	nongold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	a mammal is a kind of animal	nongold
47	if something is a part of something then that something can be found in that something	nongold
48	learning; studying information causes one to know that information	nongold
49	person is synonymous with human	nongold
50	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	trait means property	nongold
53	if something contains something , then something is able to provide something	nongold
54	knowing the properties of something means knowing information about that something	nongold
55	can be means able to be	nongold
56	to be made of means to consist of	nongold
57	a cell is a kind of object	nongold
58	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
59	genetic segregation is when each sex cell receives one copy of each chromosome	nongold
60	information is used to describe something	nongold
61	genetic information can be used for repairing damage by proteins	nongold
62	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
63	a living thing is a kind of object	nongold
64	identical means copy	nongold
65	heredity is when genetic information is passed from one generation to the next	nongold
66	offspring receives half of the genes from each parent	nongold
67	all living things are made of cells according to the cell theory	nongold
68	quantity means amount	nongold
69	genes is a vehicle for passing genetic information from one generation to  the next	nongold
70	classifying is when one sorts something by kind; type	nongold
71	the parent cell is the original cell	nongold
72	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
73	not is similar to the opposite of	nongold
74	inherited characteristics can change over several generations	nongold
75	making proteins requires genetic information	nongold
76	the nucleus contains genetic material for reproduction	nongold
77	classifying requires comparing	nongold
78	human is similar to individual	nongold
79	concentration means amount	nongold
80	affected means changed	nongold
81	a single-celled organism is a kind of living thing	nongold
82	the sequence of nucleotides contains genetic information for the organism	nongold
83	typically means usually	nongold
84	genes are able to determine the inherited characteristics of a living thing	nongold
85	a body system is a part of the body; an animal	nongold
86	an event is a kind of action	nongold
87	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
88	a cell nucleus is a part of a cell	nongold
89	composed of means made of	nongold
90	a cell is very small	nongold
91	a somatic cell of a human contains 23 pairs of; 46  chromosomes	nongold
92	a type is synonymous with a kind	nongold
93	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
94	a mutation in the sex cells of a parent can cause a new trait to appear in the parent's offspring	nongold
95	sexual reproduction is a kind of reproduction	nongold
96	the reproductive system is a kind of body system	nongold
97	if something does not contain something else then that something lacks that something else	nongold
98	cells are a part of the body	nongold
99	location is a kind of information	nongold
