Question	Aluminum is an element. Which of the following best describes the smallest particle of aluminum that retains all the properties of aluminum?	question
Answer	an atom	answer
0	an atom is the smallest particle; unit that has the properties of an element	gold
1	aluminum is a kind of element	gold
2	aluminum is a kind of matter	nongold
3	aluminum is a kind of metal	nongold
4	a molecule is the smallest particle; unit that has the properties of a compound	nongold
5	atoms are made of particles	nongold
6	matter; materials; substances are made of atoms; particles	nongold
7	an atom is exceptionally small in size	nongold
8	a particle is a kind of object	nongold
9	an  element is a kind of atom	nongold
10	metal is a kind of substance	nongold
11	an atom is a kind of object	nongold
12	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
13	a metal is a kind of element	nongold
14	an element is a kind of material	nongold
15	shortest means least; smallest in length	nongold
16	particles in objects are a kind of matter	nongold
17	to retain means to have	gold
18	to retain means to remain	nongold
19	an element is a kind of  substance	nongold
20	structure is a property of an object; a material; a substance	nongold
21	metal is a kind of material	nongold
22	the properties of something are used for describing that something	nongold
23	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
24	an element is made of one kind of atoms	nongold
25	a molecule is a kind of particle	nongold
26	greatest means largest; highest; most amount of something	nongold
27	largest means greatest in size	nongold
28	to retain means to not change	nongold
29	all elements are a kind of pure substance	nongold
30	metals are made of metal	nongold
31	a pure substance is made of only one kind of atom; molecule	nongold
32	mass; weight is a property of matter; objects; materials	nongold
33	substances are made of elements	nongold
34	smaller means less; lower in size	nongold
35	an atom is made of protons; neutrons; electrons	nongold
36	aluminum is always nonmagnetic	nongold
37	material means substance	nongold
38	aluminum is recyclable	nongold
39	materials are made of matter	nongold
40	highest means largest; greatest; most in height	nongold
41	steel is a kind of metal	nongold
42	objects are made of materials; substances; matter	nongold
43	atom cannot be divided into smaller substances	nongold
44	a type of something is a kind of property of that something	nongold
45	larger; bigger is the opposite of smaller	nongold
46	mass; weight is an extensive property	nongold
47	the basic unit of matter is atom	nongold
48	can be means able to be	nongold
49	an object has properties	nongold
50	if an object is made of a material then that object has the properties of that material	nongold
51	substances are made of matter	nongold
52	iron is a kind of metal	nongold
53	size is an extensive property	nongold
54	iron is a kind of element	nongold
55	an electron is a kind of charged particle	nongold
56	if a substance is made of one element , then the substance is called an element	nongold
57	a molecule is exceptionally small in size	nongold
58	as amount; size of something increases , the intensive properties of that something will not change	nongold
59	small is the opposite of large	nongold
60	a metal is usually a solid at room temperature	nongold
61	best means most positive	nongold
62	the properties of something can be used to identify; used to describe that something	nongold
63	form means kind	nongold
64	a molecule is made of atoms chemically combined; bonded	nongold
65	zinc is a kind of metal	nongold
66	measuring is used for describing an object	nongold
67	charged particles are a kind of high-energy particles	nongold
68	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
69	composed of means made of	nongold
70	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
71	iron is a kind of solid	nongold
72	mass is a property of objects; matter	nongold
73	a description sometimes provides information	nongold
74	particles in a solid are closer together than particles in a liquid	nongold
75	size; amount of space means volume	nongold
76	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
77	an alkaline earth metal is a kind of element	nongold
78	a nonmetal is a kind of element	nongold
79	electron configuration is a property of elements	nongold
80	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
81	length is a part of size	nongold
82	if two metals have similar size of atoms , then the two metals will have similar melting point	nongold
83	a  chemical property is a kind of  property	nongold
84	to break down means to break into smaller pieces	nongold
85	weight is a property of objects; matter	nongold
86	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
87	nonmetal means not metal	nongold
88	hydrogen is a kind of element	nongold
89	carbon is a kind of element	nongold
90	mass is similar to size	nongold
91	a photon is a kind of  particles	nongold
92	largest amount means most	nongold
93	larger means greater; higher; more; increase in size	nongold
94	a type is synonymous with a kind	nongold
95	to be formed by is similar to being produced by	nongold
96	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
97	composition is a property of an object; matter	nongold
98	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
99	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
