Question	Which adaptation will warn predators not to eat an animal?	question
Answer	bright colors	answer
0	bright means bright; light in color	nongold
1	bright colors warn predators to not eat an organism	gold
2	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
3	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
4	coloration is a kind of adaptation for hiding;camouflage	nongold
5	predators eat prey	nongold
6	camouflage is a kind of protection against predators; from predators; against consumers	nongold
7	bright means a lot of light	nongold
8	sensing a warning means receiving a warning	nongold
9	eating prey requires catching prey	nongold
10	prey is a kind of food for predators	nongold
11	camouflage can be used for hunting for prey; food	nongold
12	an adaptation is a kind of characteristic	nongold
13	a predator is a kind of animal	nongold
14	prey  is a kind of animal	nongold
15	if an organism eats something then that something is a source of frood to that organism	nongold
16	to eat means to consume food	nongold
17	color is a property of  an object; a material	nongold
18	to prey on an animal means to eat that animal	nongold
19	a predator eats other animals for food	gold
20	an animal; living thing requires nutrients for survival	nongold
21	food is what an animal eats	nongold
22	coloration means a thing's color	nongold
23	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
24	adaptations are used for survival	nongold
25	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
26	the colors of parts of an organism are inherited characteristics	nongold
27	diet means what an animal eats	nongold
28	an organism is a living thing	nongold
29	killing means harming something causing death	gold
30	eating an animal; a plant means killing that animal; that plant	gold
31	an animal is a kind of living thing	nongold
32	harming something has a  negative impact on; effect on that something	gold
33	An example of camouflage is when something is; has the same color as its environment	nongold
34	an animal is a kind of organism	gold
35	coloration means a pattern of colors	nongold
36	a living thing is a kind of object	nongold
37	trait is synonymous with characteristic	nongold
38	a plant; living thing requires food for survival	nongold
39	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
40	protecting something means preventing harm to that something	nongold
41	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
42	An example of camouflage is when an organism looks like its environment	nongold
43	an adaptation is an adaptive feature	nongold
44	a predator usually kills its prey to eat it	nongold
45	dimmer is the opposite of brighter	nongold
46	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
47	sunlight is a kind of light	nongold
48	dimmer means less bright	nongold
49	the color of an environment means the color of the things that environment contains	nongold
50	dark is the opposite of light	nongold
51	dark means dark in color	nongold
52	looking at bright objects has a negative impact on the eyes	nongold
53	harm means danger	nongold
54	food is a kind of object	nongold
55	killing means changing a living thing from alive to dead by harming	nongold
56	if an object reflects a light of a certain color then the object appears to be that color	nongold
57	living things eat their food source	nongold
58	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
59	camouflage is a kind of adaptation for hiding in an environment	nongold
60	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
61	avoiding  predators is synonymous with avoiding being eaten	nongold
62	an adaptation is a kind of change	nongold
63	an animal is a member of an animal species	nongold
64	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal	nongold
65	blue is a kind of color	nongold
66	a food contains nutrients for living things	nongold
67	adaptation is when an organism develops a trait over time for survival	nongold
68	eye color is an inherited characteristic	nongold
69	danger has a negative impact on a thing	nongold
70	harming an animal species has a  negative impact on the population size of that species	nongold
71	an animal needs to eat food for nutrients	nongold
72	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
73	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
74	a predator avoiding some types of prey is a learned behavior	nongold
75	a part of something means a characteristic of something	nongold
76	become prey means get eaten	nongold
77	most predators live in; live near the same environment as their prey	nongold
78	a behavior is a kind of characteristic	nongold
79	An example of camouflage is an organism looking like leaves	nongold
80	eating something that contains pollutants has a negative impact on an organism's survival; health; ability to reproduce	nongold
81	green is a kind of color	nongold
82	sensing food has a positive impact on finding food	nongold
83	an part of an object is smaller than the entire object	nongold
84	high is similar to increase	nongold
85	brighter means higher; greater in brightness	nongold
86	colorless means no color	nongold
87	the color of; coloration of fur is an inherited characteristic	nongold
88	color is a kind of physical; visual property	nongold
89	the  diet of an animal is an inherited characteristic	nongold
90	Camouflage is synonymous with visual disguise	nongold
91	well-suited is similar to adapted	nongold
92	animal instinct means instinctive behavior	nongold
93	spectrum means a range of colors	nongold
94	coloration is used to find a mate by some animals	nongold
95	a predator is a kind of enemy to its prey	nongold
96	as the light reflected off of an object increases , the object will appear to be brighter	nongold
97	as a source of light becomes closer , that source will appear brighter	nongold
98	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
99	some predators move  quickly to  catch prey	nongold
