Question	What type of galaxy is the Milky Way?	question
Answer	spiral	answer
0	the Milky Way is a kind of spiral galaxy	gold
1	the Milky Way is a kind of galaxy	nongold
2	a spiral galaxy is a kind of galaxy	gold
3	the Milky Way galaxy appears as a glowing band across the night sky	nongold
4	a type is synonymous with a kind	gold
5	Earth is located in the Milky Way Galaxy	nongold
6	spiral is a kind of shape	nongold
7	a galaxy is a kind of celestial body; celestial object	nongold
8	a galaxy is made of stars	nongold
9	the Sun is located near the edge of the Milky Way Galaxy	nongold
10	a galaxy is a kind of very large system of stars	nongold
11	milk is a kind of liquid at room temperature	nongold
12	a galaxy is held together by gravity	nongold
13	a galaxy contains dust; stars; planets	nongold
14	a galaxy is a kind of structure	nongold
15	a galaxy is a kind of celestial body	nongold
16	a galaxy is made of a group of objects in space	nongold
17	a elliptical galaxy is a kind of galaxy	nongold
18	a type of something is a kind of property of that something	nongold
19	galaxies are usually thousands of light years in diameter	nongold
20	an irregular galaxy is a kind of galaxy	nongold
21	classifying is when one sorts something by kind; type	nongold
22	galaxies are located  millions of light years from Earth	nongold
23	a typical galaxy contains billions of stars	nongold
24	galaxies can be classified  by shape	nongold
25	revolving is a kind of motion	nongold
26	liquid is a kind of state of matter	nongold
27	form means kind	nongold
28	flowing is a kind of motion	nongold
29	to create means to make	nongold
30	an increase is a kind of change	nongold
31	galaxies often contain hundreds of billions of stars	nongold
32	a motion is a kind of event; action	nongold
33	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	to add means to increase	nongold
36	matter; materials; substances are made of atoms; particles	nongold
37	to produce means to create	nongold
38	substances are made of matter	nongold
39	a kind of something is an example of that something	nongold
40	turning is a kind of motion	nongold
41	milk is a kind of food	nongold
42	milk is a kind of food	nongold
43	composed of means made of	nongold
44	a revolution occurs when something revolves around something else	nongold
45	nucleus is synonymous with core; center	nongold
46	pulling is a kind of motion	nongold
47	high is similar to increase	nongold
48	to form means to create	nongold
49	solid is a kind of state of matter	nongold
50	can be means able to be	nongold
51	breaking down is a kind of forming	nongold
52	to turn means to change	nongold
53	to generate means to create	nongold
54	turns is similar to changes	nongold
55	to make means to form	nongold
56	a halo is a part of a galaxy	nongold
57	sliding is a kind of motion	nongold
58	downward means down	nongold
59	rotate means turn	nongold
60	to generate means to form	nongold
61	travel means to move	nongold
62	matter is made of molecules	nongold
63	a component means a part of	nongold
64	creating means making	nongold
65	to change into means to form	nongold
66	if something is made of something else then that something can be broken down into that something else	nongold
67	materials are made of matter	nongold
68	particles in objects are a kind of matter	nongold
69	up means upward	nongold
70	a rock is usually a solid	nongold
71	made up of means contains; made of	nongold
72	motion; movement means moving; to move	nongold
73	gas is a kind of state of matter	nongold
74	downward is a kind of direction	nongold
75	a cluster of stars is made of stars	nongold
76	the bottom is the lowest part of something	nongold
77	down is a kind of direction	nongold
78	objects are made of materials; substances; matter	nongold
79	to cause means to make	nongold
80	low means down	nongold
81	an event is a kind of action	nongold
82	revolving is a kind of action	nongold
83	approximately means about	nongold
84	state of matter means physical state	nongold
85	generate means produce	nongold
86	to be formed by is similar to being produced by	nongold
87	slipping is a kind of motion	nongold
88	if something transfers something else then that something is a source of something else	nongold
89	an object is made of its parts	nongold
90	answering questions requires information	nongold
91	to be made of something means to be formed of that something	nongold
92	the properties of something are used for describing that something	nongold
93	to travel up means to rise	nongold
94	rotating is similar to moving	nongold
95	a solid is a kind of substance	nongold
96	make means produce	nongold
97	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
98	a liquid is a kind of substance	nongold
99	setting is a kind of motion	nongold
