Question	The smallest part of an element that retains the properties of the element is the	question
Answer	atom.	answer
0	an atom is the smallest particle; unit that has the properties of an element	gold
1	to retain means to have	gold
2	to retain means to remain	nongold
3	to retain means to not change	nongold
4	a molecule is the smallest particle; unit that has the properties of a compound	nongold
5	atom cannot be divided into smaller substances	nongold
6	an  element is a kind of atom	nongold
7	an element is made of one kind of atoms	nongold
8	largest means greatest in size	nongold
9	an part of an object is smaller than the entire object	nongold
10	greatest means largest; highest; most amount of something	nongold
11	larger; bigger is the opposite of smaller	nongold
12	an atom is exceptionally small in size	nongold
13	an atom is a kind of object	nongold
14	smaller means less; lower in size	nongold
15	a physical property is a kind of property	nongold
16	the basic unit of matter is atom	nongold
17	matter; materials; substances are made of atoms; particles	nongold
18	a  chemical property is a kind of  property	nongold
19	a chemical property is the opposite of a physical property	nongold
20	the number of parts of something is a property of that something	nongold
21	a pure substance is made of only one kind of atom; molecule	nongold
22	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
23	small is the opposite of large	nongold
24	state of matter is a kind of physical property	nongold
25	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
26	atoms are made of particles	nongold
27	a molecule is made of atoms chemically combined; bonded	nongold
28	an object has properties	nongold
29	if an element is converted into another element then that element is lost	nongold
30	substances have chemical properties	nongold
31	state of matter at room temperature is a kind of physical property	nongold
32	chemical composition is a kind of property	nongold
33	an element is a kind of  substance	nongold
34	hydrogen is a kind of element	nongold
35	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
36	substances are made of elements	nongold
37	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
38	atomic number is a property of elements	nongold
39	the structure  of an atom can be used for identifying the element	nongold
40	substances are made of matter	nongold
41	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
42	structure is a property of an object; a material; a substance	nongold
43	made up of means contains; made of	nongold
44	a structure of something is synonymous with a part of that something	nongold
45	an object is made of its parts	nongold
46	decreasing is similar to becoming smaller	nongold
47	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
48	made of is similar to contains	nongold
49	to break down means to break into smaller pieces	nongold
50	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
51	elements in the same group on the Periodic Table of Elements have similar properties	nongold
52	all elements are a kind of pure substance	nongold
53	if a substance is made of one element , then the substance is called an element	nongold
54	material composition is a kind of chemical property	nongold
55	matter is made of molecules	nongold
56	An example of a chemical property is the elements a compound is made of	nongold
57	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
58	objects are made of materials; substances; matter	nongold
59	a molecule is exceptionally small in size	nongold
60	state of matter means physical state	nongold
61	unit is similar to part	gold
62	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
63	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
64	a molecule is a kind of object	nongold
65	a bonding property is a kind of chemical property	nongold
66	to conserve means to not change	nongold
67	to be characterized by  a property means to have that property	nongold
68	composition is a property of an object; matter	nongold
69	largest amount means most	nongold
70	shortest means least; smallest in length	nongold
71	chemical compounds contain chemical bonds between atoms; between elements	nongold
72	to be made of something means to be formed of that something	nongold
73	composed of means made of	nongold
74	substances are made of molecules	nongold
75	classifying means grouping objects; materials by their properties	nongold
76	particles in objects are a kind of matter	nongold
77	nutrients are a kind of matter	nongold
78	combustibility is a kind of  chemical property	nongold
79	physical state means state of matter	nongold
80	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
81	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
82	an atom is made of protons; neutrons; electrons	nongold
83	can be means able to be	nongold
84	a whole is formed by its parts	nongold
85	carbon is a kind of element	nongold
86	a proton is a part of an atom; an element	nongold
87	the nitrogen family is a kind of group in periodic table	nongold
88	nitrogen is a kind of element	nongold
89	a living thing is a kind of object	nongold
90	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
91	materials are made of matter	nongold
92	solid is a kind of state of matter	nongold
93	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
94	larger means greater; higher; more; increase in size	nongold
95	chemical reactions do not cause the total number of atoms to change	nongold
96	as amount; size of something increases , the intensive properties of that something will not change	nongold
97	if an object is made of something then the parts of that object are made of that something	nongold
98	an element is a kind of material	nongold
99	if something is a part of something else then that something else contains that something	nongold
