Question	Sonar equipment sends waves into deep water and measures the	question
Answer	time delay of the reflected waves.	answer
0	sound wave can be used to measure distance by measuring the time delay of the reflected wave	gold
1	sonar equipment is a source of sound waves	gold
2	sonar usually is used for  locating objects underwater	nongold
3	an instrument is a piece of equipment	nongold
4	emit means send out	nongold
5	reflection is when light is reflected from one object; one place to  another object; another place	nongold
6	instrument means tool	nongold
7	instrument means device	nongold
8	a measure of time is a length of time	nongold
9	to send means to transfer	nongold
10	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
11	underwater means below water	nongold
12	a deep sea animal is a kind of marine organism	nongold
13	seconds are used to measure time	nongold
14	as the distance decreases ,  the period  of time a reflected wave uses to return will decrease	nongold
15	shallow means low  in  depth	nongold
16	sonar is used to find the location of an object by sound waves	nongold
17	to bounce back means to reflect	nongold
18	deepest means greatest in depth	nongold
19	how long something takes is a kind of measurement of time	nongold
20	instantaneously means short in time	nongold
21	reflection is when particles bounce off a surface	nongold
22	reflection is a kind of process	nongold
23	seconds are a kind of unit for measuring time	nongold
24	length of time means period of time	nongold
25	ocean wave is a kind of wave	nongold
26	the bottom of a body of water is the deepest	nongold
27	depth is a kind of distance vertically	nongold
28	an ocean is a kind of body of water	nongold
29	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
30	an ocean contains waves	nongold
31	deeper means greater in depth	nongold
32	reflecting light; sound is the opposite of absorbing light; sound	nongold
33	waves are made of moving water	nongold
34	to reflect light means to scatter light	nongold
35	a measurement is a kind of data	nongold
36	a wave is a kind of object	nongold
37	a unit for measuring time is a kind of time interval	nongold
38	a tool is a kind of object	nongold
39	days are a kind of unit for measuring time	nongold
40	device means tool	nongold
41	frequency is a property of a wave; a particel of light; an event	nongold
42	events occur at a specific place; at a specific time; with a specific frequency	nongold
43	calculation means measurement	nongold
44	period is similar to amount of time	nongold
45	minutes are a kind of unit for measuring time	nongold
46	can be means able to be	nongold
47	a meter is a kind of unit for measuring distance; measuring length	nongold
48	hours are a kind of unit for measuring time	nongold
49	reflection is a property of light	nongold
50	Tuesday is a kind of  time	nongold
51	electromagnetic wave is a kind of  wave	nongold
52	measuring sometimes requires  recording; learning an amount	nongold
53	measuring requires reading a measurement	nongold
54	recording is similar to measuring	nongold
55	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
56	answering questions requires information	nongold
57	measuring is a kind of observing	nongold
58	a device is a kind of object	nongold
59	sea means ocean	nongold
60	affected means changed	nongold
61	months are a kind of unit for measuring time	nongold
62	to slow; to slow down decreases speed	nongold
63	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
64	extreme means very high in value	nongold
65	quickly means in a short period of time	nongold
66	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
67	all waves transfer; transmit energy from one place to another	nongold
68	years are a kind of unit for measuring time	nongold
69	sound wave is a kind of wave	nongold
70	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
71	water is a kind of object	nongold
72	timing; multiplying is a kind of calculating	nongold
73	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
74	rate is similar to speed	nongold
75	to add means to increase	nongold
76	waves travel outward from the source	nongold
77	form means kind	nongold
78	shortest means the least amount of time	nongold
79	electromagnetic wave is not a mechanical wave	nongold
80	a type is synonymous with a kind	nongold
81	intense means extreme	nongold
82	the day time is part of one day	nongold
83	wavelength is a property of wave	nongold
84	high is similar to increase	nongold
85	variable means able to change	nongold
86	Doppler Effect is when the  frequency of the waves changes when the distance from the wave source changes	nongold
87	a tape measure is a kind of tool for measuring distance; measuring length	nongold
88	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
89	a motion is a kind of event; action	nongold
90	a machine is a kind of  device	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	a wave is formed by the vibration of the source spreading around from the source	nongold
93	light is a kind of wave	nongold
94	determining often requires measuring; observing	nongold
95	bouncing something back means reflecting that something	nongold
96	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
97	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	nongold
98	a surface is a part of an object	nongold
99	meters;centimeters;kilometers are used to describe distance; describe length	nongold
