Question	Which of these would best help a scientist discover a new planet?	question
Answer	looking at the night sky with a telescope	answer
0	look at means observe	gold
1	a scientist is a kind of human	nongold
2	helping something has a  positive impact on that something	nongold
3	a planet is a kind of celestial object; body	nongold
4	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
5	to help means to aid	nongold
6	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	gold
7	helping means to assist in a change	nongold
8	best means most positive	nongold
9	to help; to benefit means to be of use	nongold
10	to be used  for something means to help to do that something	nongold
11	discovering something usually requires seeing that something	gold
12	the sun is not a star in the night sky	nongold
13	to discover means to find	nongold
14	to see means to look	gold
15	to discover means to make a discovery	nongold
16	to enable is to help	nongold
17	looking is similar to observing	nongold
18	the stars in the night sky are very far away from the Earth	nongold
19	requiring is similar to needing help	nongold
20	the Sun is a kind of star	nongold
21	detailed observation of celestial objects requires a telescope	nongold
22	Earth is a kind of planet	nongold
23	sunlight is a kind of light	nongold
24	to make something easier means to help	nongold
25	a star is a kind of celestial object; celestial body	nongold
26	the sky is similar to space	nongold
27	seeing requires light	nongold
28	making discoveries requires observing	nongold
29	a human is a kind of animal	nongold
30	good means positive	nongold
31	a planet is a kind of location	nongold
32	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
33	scientists make observations	nongold
34	the night time is part of one day	nongold
35	astronomy is the study of celestial (objects, bodies)	nongold
36	to watch means to look at	nongold
37	answering questions requires information	nongold
38	night is low in light; in visibility	nongold
39	to identify means to discover	nongold
40	a planet is a kind of place	nongold
41	if it is night then the sun has set	nongold
42	helping means something can be done; completed more easily; better	nongold
43	the sun is a source of light; light energy called sunlight	nongold
44	new means different from the former one	nongold
45	better look means see better	nongold
46	help means advantage	nongold
47	finding something requires sensing that something	nongold
48	to be helpful means to help to do	nongold
49	daytime means day	nongold
50	an optical telescope is a kind of telescope	nongold
51	not looking means not seeing	nongold
52	to get a better look at means to see better	nongold
53	seeing is used for sensing visual things	nongold
54	seeking something means trying to find; searching for something	nongold
55	looking is a kind of activity	nongold
56	better means good	nongold
57	a living thing is a kind of object	nongold
58	an animal is a kind of organism	nongold
59	an optical telescope requires visible light for human to use	nongold
60	a moon is a kind of celestial object; body	nongold
61	the sun sets in the west	nongold
62	to be good for means to have a positive impact on	nongold
63	sunlight is a kind of solar energy	nongold
64	darkness occurs at night	nongold
65	an animal is a kind of living thing	nongold
66	observe means see	nongold
67	stars appear to move relative to the horizon during the night	nongold
68	astronomy is a kind of branch of science	nongold
69	curiosity means the need to know new information	nongold
70	refractions of light can be used to help a person see	nongold
71	to depend on; to rely on; to need means to require	nongold
72	all the time means at day and at night	nongold
73	setting is a kind of motion	nongold
74	solution is similar to a positive impact	nongold
75	the day time is part of one day	nongold
76	sight means to see	nongold
77	a human requires new information to invent things	nongold
78	distant means great in distance	nongold
79	cycles of day and night occur once per day	nongold
80	planets reflect the light of the sun	nongold
81	a lens is a part of a telescope	nongold
82	Mars is a kind of planet	nongold
83	can be means able to be	nongold
84	the sun rising and setting causes cycles of day and night	nongold
85	negative impact is the opposite of positive impact	nongold
86	a star is a source of light; light energy through nuclear reactions	nongold
87	high is similar to increase	nongold
88	instrument means tool	nongold
89	an event is a kind of action	nongold
90	studying  something usually requires seeing that something	nongold
91	the Sun is the  star that is closest to Earth	nongold
92	far means great in distance	nongold
93	eyes are a part of a human for seeing	nongold
94	sunlight means solar energy	nongold
95	distance is a property of space and includes ordered values of close; far	nongold
96	a type is synonymous with a kind	nongold
97	sunlight is intense in space	nongold
98	if a technology that is used to study something is still being developed then that something can not be discovered; studied	nongold
99	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
