Question	Which of the following is a common renewable resource found in deserts?	question
Answer	solar energy	answer
0	a desert is a kind of environment	nongold
1	a desert environment usually has a lot of sunlight	gold
2	solar energy is a renewable; inexhaustible resource	gold
3	a renewable resource is a kind of natural resource	nongold
4	sunlight means solar energy	nongold
5	sunlight is a kind of solar energy	nongold
6	a renewable resource is a kind of naturally replaced resource	nongold
7	a desert environment is low in availability of water; availability of food	nongold
8	a desert environment is dry	nongold
9	solar energy is a kind of energy	nongold
10	renewable is the opposite of nonrenewable	nongold
11	to be found in means to be contained in	nongold
12	solar energy is an inexhaustible resource	nongold
13	found in means existing in	nongold
14	a desert environment receives low rainfall	nongold
15	a desert environment usually is hot in temperature	nongold
16	solar energy is a kind of heat energy	nongold
17	an environment means an area	nongold
18	a desert is a kind of land feature	nongold
19	natural resources are found in nature	nongold
20	solar power means solar energy	nongold
21	fossil fuels are a kind of energy resource	nongold
22	if something requires something else then that something else may be common in that something	nongold
23	the sun is the source of solar energy called sunlight	gold
24	a grassland environment receives more rainfall than a desert	nongold
25	a  plant requires sunlight for photosynthesis	nongold
26	an energy source is a kind of resource	nongold
27	a fossil fuel is a kind of natural resource	nongold
28	fossil fuels are a nonrenewable resource	nongold
29	a forest environment receives more rainfall than a desert	nongold
30	an inexhaustible resource is a kind of renewable resource	nongold
31	plants are a kind of resource	nongold
32	contains means located in	nongold
33	Antarctica is a kind of desert	nongold
34	solar energy is a kind of light	nongold
35	if something is located  in somewhere , then something can be found in somewhere	nongold
36	sunlight produces heat	nongold
37	geothermal energy is a renewable resource	nongold
38	a renewable resource can be replaced	nongold
39	if something is a part of something then that something can be found in that something	nongold
40	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
41	solar radiation means solar energy	nongold
42	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
43	an environment is a kind of place	nongold
44	resources sometimes are used for energy	nongold
45	sunshine means sunlight	nongold
46	animals are a renewable resource	nongold
47	if something required by something else is in a place then that something else may be in that place	nongold
48	a renewable resource can be renewed	nongold
49	green plants are a kind of producer	nongold
50	wind is a renewable; inexhaustible resource	nongold
51	soil is a renewable resource for growing plants	nongold
52	a region is similar to an environment	nongold
53	water is a renewable resource	nongold
54	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
55	nature is the source of natural resources	nongold
56	trees are a renewable resource	nongold
57	a  plant requires sunlight to  grow	nongold
58	producing renewable electric energy requires renewable resources	nongold
59	oil is a nonrenewable resource	nongold
60	renewable resources are often available for many years	nongold
61	fossil fuels have high potential energy	nongold
62	renewable resources can be used over again	nongold
63	a plant is a kind of organism	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	land is a kind of resource	nongold
66	a grassland is a kind of environment	nongold
67	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
68	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
69	plants are a part of the environment	nongold
70	vegetation means plants	nongold
71	natural gas is a nonrenewable resource	nongold
72	usually something can be found  near a source in greater concentrations	nongold
73	An example of an environment is a forest; a river; a grassland; an ocean	nongold
74	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
75	organisms are a part of an environment	nongold
76	place means area	nongold
77	the sun is a source of light; light energy called sunlight	nongold
78	where something  comes from is a source of that something	nongold
79	sunlight is a kind of light	nongold
80	oil is a kind of energy resource	nongold
81	heat means heat energy	nongold
82	often soil is found in an environment	nongold
83	wave energy is a renewable resource	nongold
84	vegetable oil is a renewable resource	nongold
85	a plant is a kind of living thing	nongold
86	solar energy rarely causes pollution	nongold
87	alternative fuel is usually a renewable resource	nongold
88	a cactus lives in the desert	nongold
89	heat is a kind of energy	nongold
90	an environment is similar to an ecosystem	nongold
91	to be formed by is similar to being produced by	nongold
92	a producer is a kind of living thing	nongold
93	oil is a kind of fossil fuel	nongold
94	nature means a natural environment	nongold
95	high is similar to increase	nongold
96	tidal energy is a renewable resource	nongold
97	similar means in common	nongold
98	natural gas is a kind of fossil fuel	nongold
99	if something is located in some place , then the presence of that something can be found in that location	nongold
