Question	Down feathers are used by many sleeping bag manufacturers because down feathers are	question
Answer	good insulators.	answer
0	down feathers are a thermal; thermal energy insulator	gold
1	down feathers are a kind of material	gold
2	sleeping bags usually are made of insulators	gold
3	a sleeping bag is a kind of product	gold
4	a feather is a kind of object	nongold
5	insulator means good insulator	gold
6	down is a kind of small feather	nongold
7	feathers are a part of a bird	nongold
8	an insulator is a kind of material	nongold
9	down is soft	nongold
10	a bird is a kind of living thing	nongold
11	thick fur; thick feathers can be used for keeping warm	nongold
12	down is part of a young bird	nongold
13	low means down	nongold
14	a bird is a kind of animal	nongold
15	materials are used for making products by manufacturers	gold
16	downward means down	nongold
17	an insulator is insulated	nongold
18	if an object is made of a material then that object has the properties of that material	nongold
19	good means positive	nongold
20	being  on something; placed in something; placed over something means touching  that something	nongold
21	to be used for something means to be required by that something	nongold
22	an animal is a kind of living thing	nongold
23	objects are made of materials; substances; matter	nongold
24	manufacturing means making	nongold
25	an insulator is the opposite of a conductor	nongold
26	a living thing is a kind of object	nongold
27	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
28	an object has properties	nongold
29	manufacture means make	nongold
30	tool is similar to appliance	nongold
31	better means good	nongold
32	up means upward	nongold
33	plastic is a kind of thermal insulator	nongold
34	material means substance	nongold
35	fur is a covering around the body of an animal	nongold
36	strong means high in strength	nongold
37	air is usually a thermal; thermal energy insulator	nongold
38	a product is a kind of object	nongold
39	materials are made of matter	nongold
40	insulation requires an insulator	nongold
41	a surface is a part of a material	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	if the feathers of a bird are a color then that bird is that color	nongold
44	if one surface; one substance; one object touches something then one is exposed to that something	nongold
45	something hard; something strong can be used for protection	nongold
46	person is synonymous with human	nongold
47	if one is holding an object then one is touching that object	nongold
48	low means low in elevation; height; altitude	nongold
49	friction converts mechanical energy into heat energy	nongold
50	friction occurs when two object's surfaces move against each other	nongold
51	friction causes the temperature of an object to increase	nongold
52	best means most positive	nongold
53	high is similar to increase	nongold
54	a body part is a kind of object	nongold
55	a surface is a part of an object	nongold
56	rubber is thermal;thermal energy insulator	nongold
57	to slow; to slow down decreases speed	nongold
58	if an object is made of something then the parts of that object are made of that something	nongold
59	to be good for means to have a positive impact on	nongold
60	plastic is high in strength	nongold
61	a covering is a kind of object	nongold
62	wings are a part of a bird	nongold
63	low is similar to decrease	nongold
64	an object is made of its parts	nongold
65	a container contains objects; material; substances	nongold
66	a tool is a kind of object	nongold
67	cloth is a kind of material	nongold
68	harming something has a  negative impact on; effect on that something	nongold
69	height is a measure of length from the top of an object to the bottom of an object	nongold
70	fur is often part of an animal	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
73	friction causes speed to decrease	nongold
74	wood is an thermal; thermal energy insulator	nongold
75	leather is a kind of material	nongold
76	high-quality means positive	nongold
77	low is the opposite of high	nongold
78	wood is a thermal; thermal energy insulator	nongold
79	useful means good to use	nongold
80	a kit usually contains materials for assembling something	nongold
81	an increase is the opposite of a decrease	nongold
82	can be means able to be	nongold
83	a structure of something is synonymous with a part of that something	nongold
84	to reduce means to decrease	nongold
85	sleeping requires less energy than being awake	nongold
86	texture means how an object feels	nongold
87	feeling is when an living thing senses through touch	nongold
88	strength is a property of an object; a material	nongold
89	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
90	rest means sleep	nongold
91	a human requires sleep; rest to be healthy	nongold
92	covering something is a kind of protection	nongold
93	being in something means touching that something	nongold
94	the function of something is what that something  is used to do	nongold
95	a thermal insulator slows; prevents the transfer of heat	nongold
96	jumping off is a kind of  moving down	nongold
97	carrying something means moving that something	nongold
98	wrapping is similar to covering	nongold
99	lowest means least in value; amount; number	nongold
