Question	Which of the following is a renewable resource?	question
Answer	sunlight	answer
0	solar energy is a renewable; inexhaustible resource	gold
1	sunlight means solar energy	nongold
2	a renewable resource is a kind of natural resource	nongold
3	renewable is the opposite of nonrenewable	nongold
4	sunlight is a kind of solar energy	gold
5	solar energy is a kind of energy	nongold
6	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
7	water is a renewable resource	nongold
8	the sun is the source of solar energy called sunlight	nongold
9	trees are a renewable resource	nongold
10	a  plant requires sunlight for photosynthesis	nongold
11	green plants are a kind of producer	nongold
12	wood is a renewable resource	nongold
13	solar power means solar energy	nongold
14	fossil fuels are a nonrenewable resource	nongold
15	sunshine means sunlight	nongold
16	solar energy is a kind of light	nongold
17	plants are a kind of resource	nongold
18	oil is a nonrenewable resource	nongold
19	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
20	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
21	a source of something emits; produces; generates; provides that something	nongold
22	fossil fuels are a kind of energy resource	nongold
23	vegetable oil is a renewable resource	nongold
24	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
25	a fossil fuel is a kind of natural resource	nongold
26	the sun is a source of light; light energy called sunlight	nongold
27	renewable resources are often available for many years	nongold
28	resources sometimes are used for energy	nongold
29	oil is a kind of energy resource	nongold
30	In the food chain process a  green plant has the role of  producer	nongold
31	to be used for something means to be required by that something	nongold
32	biomass is a renewable resource	nongold
33	wood is a kind of energy resource	nongold
34	where something  comes from is a source of that something	nongold
35	an energy source is a kind of resource	nongold
36	a renewable resource can be renewed	nongold
37	to produce means to create	nongold
38	oil is a kind of fossil fuel	nongold
39	to create means to make	nongold
40	solar energy is an inexhaustible resource	nongold
41	a leaf is a part of a  green plant	nongold
42	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
43	sunlight is a kind of light	nongold
44	wind is a renewable; inexhaustible resource	nongold
45	emit means produce	nongold
46	a tree is a kind of plant	nongold
47	make means produce	nongold
48	renewable resources can be used over again	nongold
49	a renewable resource can be replaced	nongold
50	answering questions requires information	nongold
51	water is a kind of natural resource	nongold
52	water is a kind of natural resource	nongold
53	solar energy is a source of electricity	nongold
54	a component means a part of	nongold
55	creating means making	nongold
56	algae is a kind of plant	nongold
57	food is a kind of resource	nongold
58	a natural resource is a kind of environmental factor	nongold
59	a producer is a source of energy for consumers	nongold
60	a producer produces its own food	nongold
61	generate means produce	nongold
62	natural gas is a nonrenewable resource	nongold
63	nature is the source of natural resources	nongold
64	to generate means to create	nongold
65	a plant is a kind of organism	nongold
66	wood is a kind of resource	nongold
67	petroleum is a kind of fossil fuel	nongold
68	the sunlight occurs during the day	nongold
69	the solar system is a kind of system	nongold
70	plants are a source of biofuel	nongold
71	an increase is a kind of change	nongold
72	animals are a renewable resource	nongold
73	good means positive	nongold
74	to provide something means to be the source of that something	nongold
75	solar energy is a kind of heat energy	nongold
76	to form means to create	nongold
77	products are formed; are produced; are created	nongold
78	a renewable resource is a kind of naturally replaced resource	nongold
79	a producer is a kind of living thing	nongold
80	a process is a kind of event	nongold
81	converting is similar to producing	nongold
82	to increase is similar to to create	nongold
83	to produce means to provide	nongold
84	grass is a kind of green plant	nongold
85	to depend on; to rely on; to need means to require	nongold
86	trees are a kind of natural resource	nongold
87	a component of something means a part of that something	nongold
88	natural resources are found in nature	nongold
89	if something transfers something else then that something is a source of something else	nongold
90	natural gas is a kind of fossil fuel	nongold
91	to generate means to form	nongold
92	minerals are a nonrenewable resource	nongold
93	trees are a kind of resource	nongold
94	producing renewable electric energy requires renewable resources	nongold
95	global warming is a kind of environmental problem	nongold
96	geothermal energy is a renewable resource	nongold
97	if something gains something from something else then that something else is a source of that something	nongold
98	soil is a renewable resource for growing plants	nongold
99	can be means able to be	nongold
