Question	In 2004, Maryland recycled more than 35% of all of the waste the state produced. Which of these benefits does recycling provide to Maryland?	question
Answer	less trash sent to landfills	answer
0	recycling reduces; decreases the amount of waste sent to landfills	gold
1	landfills have a negative impact on the environment; communities	nongold
2	humans move waste to a  landfill for disposal;storage	nongold
3	an landfill is a source of pollution	nongold
4	recycling is similar to reusing	nongold
5	recycling reduces the resources needed to make something	nongold
6	recycling means reusing	nongold
7	Maryland is a state located in the United States of America	nongold
8	recycling has a  positive impact on the environment	gold
9	a positive impact is  a benefit	gold
10	trash is synonymous with waste	gold
11	less is similar to decrease	nongold
12	to produce means to provide	nongold
13	garbage means waste	nongold
14	recycling is a kind of method of disposal	nongold
15	less means a reduced amount	gold
16	to help; to benefit means to be of use	nongold
17	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
18	less is the opposite of more	nongold
19	replacing is similar to recycling	nongold
20	provide is similar to give; make	nongold
21	negative impact is the opposite of positive impact	nongold
22	a trashcan contains trash; garbage; waste	nongold
23	processes sometimes produce waste products	nongold
24	Maryland is a kind of region	nongold
25	most means over 50% of something	nongold
26	an increase is the opposite of a decrease	nongold
27	recyclable means a material can be recycled	nongold
28	to provide something means to be the source of that something	nongold
29	being used for is similar to providing	nongold
30	harming something has a  negative impact on; effect on that something	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	if something is required then that something must be provided	nongold
33	fewer means lower; less in number	nongold
34	decreasing something negative has a positive impact on a thing	nongold
35	increase means more	nongold
36	decreasing something positive has a negative impact on a thing	nongold
37	waste has a  negative impact on the environment	nongold
38	producing is a kind of process	nongold
39	deplete is similar to decrease	nongold
40	An example of recycling is using an object to make a new object	nongold
41	little is similar to decrease	nongold
42	low is similar to decrease	nongold
43	helping something has a  positive impact on that something	nongold
44	recycling means using over again	nongold
45	to reduce means to decrease	nongold
46	recycling is a kind of action	nongold
47	solution is similar to a positive impact	nongold
48	a producer is a kind of living thing	nongold
49	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
50	too much is similar to increase	nongold
51	to contribute is similar to produce	nongold
52	lower means less	nongold
53	to impact means to affect	nongold
54	a positive impact is a helpful effect	nongold
55	to send means to transfer	nongold
56	if something causes an increase in something else then that something produces that something else	nongold
57	as the amount of a source of something decreases , the amount of that something will decrease	nongold
58	to lower means to decrease	nongold
59	if something is required for a process then that something positively impacts that process	nongold
60	a garbage can is made of metal	nongold
61	overuse is similar to depletion	nongold
62	a garbage can is a kind of container	nongold
63	to depend on; to rely on; to need means to require	nongold
64	high is similar to increase	nongold
65	to be used for something means to be required by that something	nongold
66	emit means produce	nongold
67	if something contains something , then something is able to provide something	nongold
68	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	pollution has a negative impact on the environment; air quality; water quality; society	nongold
71	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
72	make means produce	nongold
73	providing something means making;delivering something	nongold
74	requiring something means needing that something	nongold
75	all living things eliminate waste	nongold
76	debris can cause harm to an organism	nongold
77	requiring is similar to needing help	nongold
78	as the use of something decreases , the use of the source of that something will decrease	nongold
79	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
80	a factor impacts something	nongold
81	if something is a raw material in a process then that something is required for that process	nongold
82	little means low in amount	nongold
83	as the cause of something decreases , that something will decrease	nongold
84	human waste often causes harm to an environment	nongold
85	to recycle means return	nongold
86	if something transfers something else then that something is a source of something else	nongold
87	largest amount means most	nongold
88	to add means to increase	nongold
89	emit means send out	nongold
90	producing is similar to causing	nongold
91	if something requires something else then that something requires a source of that something else	nongold
92	to provide means to supply	nongold
93	a decrease is a kind of change	nongold
94	replacing something causes that something to decrease	nongold
95	accounting for means making up some amount	nongold
96	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
97	impact means effect	nongold
98	person is synonymous with human	nongold
99	a state is a kind of place	nongold
