Question	Which list contains only nonliving things?	question
Answer	water, rocks, sunlight	answer
0	water is a kind of nonliving thing	gold
1	rock is a kind of nonliving thing	gold
2	nonliving means not living	nongold
3	nonliving; non-living; die is the opposite of living; alive; live	nongold
4	light is a kind of nonliving thing	gold
5	sunlight means solar energy	nongold
6	a rock is a kind of object	nongold
7	including means containing	nongold
8	sunlight is a kind of solar energy	nongold
9	water is a kind of substance	nongold
10	soil is a kind of nonliving thing	nongold
11	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
12	sunlight is a kind of light	gold
13	the sun is a source of light; light energy called sunlight	nongold
14	air is a kind of nonliving thing	nongold
15	all living and nonliving materials are made of elements	nongold
16	an ecosystem contains nonliving things	nongold
17	water is a kind of object	nongold
18	a living thing is a kind of object	nongold
19	nonliving things are not made of cells	nongold
20	the sun is a source of radiation; heat called sunlight	nongold
21	organisms mean life	nongold
22	an organism is a living thing	nongold
23	animals; living things require water for survival	nongold
24	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
25	sunshine means sunlight	nongold
26	survive means live	nongold
27	survive means live	nongold
28	solar radiation means solar energy	nongold
29	death means to die	nongold
30	sunlight produces heat	nongold
31	an animal is a kind of living thing	nongold
32	daylight means sunlight	nongold
33	the sun is the source of solar energy called sunlight	nongold
34	abiotic means nonliving	nongold
35	solar energy is a kind of light	nongold
36	solar energy is a kind of heat energy	nongold
37	if there is none of a thing then that thing does not exist	nongold
38	to be found in means to be contained in	nongold
39	water is a kind of liquid at room temperature	nongold
40	if a living thing dies then that living thing is dead	nongold
41	a plants; living things require water for survival; to grow	nongold
42	made up of means contains; made of	nongold
43	water is a kind of medium for light	nongold
44	life means living things	nongold
45	made of is similar to contains	nongold
46	water is a kind of matter	nongold
47	live means to be alive	nongold
48	if something is a part of something else then that something else contains that something	nongold
49	if something is made of something; a material then that something contains that something; that material	nongold
50	dying is the opposite of living; surviving	nongold
51	temperature is a measure of heat energy	nongold
52	a plant is a kind of organism	nongold
53	an animal is a member of an animal species	nongold
54	low is similar to decrease	nongold
55	heat means heat energy	nongold
56	a plant is a kind of living thing	nongold
57	water is a part of an environment	nongold
58	an insect is a kind of animal	nongold
59	greatest means largest; highest; most amount of something	nongold
60	Earth is made of rock	nongold
61	an animal is a kind of organism	nongold
62	rock means stone	nongold
63	species means a group of like organisms	nongold
64	a rock is usually a solid	nongold
65	rock is a kind of material	nongold
66	something that contains water is similar to a body of water	nongold
67	to be made of is similar to collection	nongold
68	a container contains objects; material; substances	nongold
69	an animal; living thing requires nutrients for survival	nongold
70	the sunlight occurs during the day	nongold
71	an ocean is a kind of body of water	nongold
72	a  plant requires sunlight for photosynthesis	nongold
73	lowest means least in value; amount; number	nongold
74	intensity of sunlight is similar to amount of sunlight	nongold
75	solar energy is a kind of energy	nongold
76	if something exists on a surface then that surface contains that something	nongold
77	survival means to survive	nongold
78	water absorbs light energy	nongold
79	a fungus is a kind of organism	nongold
80	a human is a kind of animal	nongold
81	if something is given , then that something is not missing	nongold
82	high is similar to increase	nongold
83	contains means located in	nongold
84	organisms; living things live in their habitat; their home	nongold
85	a bird is a kind of living thing	nongold
86	animals; living things live and feed in their habitats; near their habitats	nongold
87	sunlight can be found in the top 100 meters of the ocean	nongold
88	an object is an item	nongold
89	dead means not alive	nongold
90	a fungus is a kind of living thing	nongold
91	absorbing sunlight causes objects to heat	nongold
92	to receive sunlight means to absorb sunlight	nongold
93	an animal; bacterium requires oxygen for survival; to breathe	nongold
94	if something does not contain something else then that something lacks that something else	nongold
95	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
96	organisms are a part of an environment	nongold
97	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
98	receiving sunlight  is synonymous with absorbing sunlight	nongold
99	to lower means to decrease	nongold
