Question	Which energy transformation takes place in a gasoline lawn mower?	question
Answer	chemical energy to mechanical energy	answer
0	a lawn mower is a kind of machine	gold
1	a gasoline engine is  a part of gasoline lawn mower	gold
2	when an animal moves , chemical energy is converted to mechanical energy	nongold
3	mechanical energy is a kind of energy	nongold
4	energy transformation means one kind of energy changes into another kind of energy	gold
5	gasoline is a source of chemical energy	gold
6	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
7	chemical energy is a kind of energy	gold
8	An example of mechanical energy is an object in motion	nongold
9	mechanical energy is used to move something by animals	nongold
10	energy conversion is similar to energy transformation	nongold
11	mechanical energy can  cause objects to move	nongold
12	active transport converts chemical energy into mechanical energy	nongold
13	gasoline is a kind of chemical power source	nongold
14	gasoline is a kind of fuel	nongold
15	kinetic energy is a kind of mechanical energy	gold
16	a simple machine requires mechanical energy to function	nongold
17	take place means happen	nongold
18	to transform means to convert	gold
19	a heat engine converts heat energy into mechanical energy	nongold
20	a lawnmower is used to cut grass	nongold
21	to convert means to change	nongold
22	vehicles usually require gasoline to operate	nongold
23	friction converts mechanical energy into heat energy	nongold
24	fuel contains chemical energy	nongold
25	a lawnmower is a kind of device	nongold
26	a living thing is a kind of object	nongold
27	food is a kind of chemical energy	nongold
28	conversion is a kind of process	nongold
29	to turn means to convert	nongold
30	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	gold
31	using a gasoline engine requires burning  gasoline	nongold
32	grass is a kind of green plant	nongold
33	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
34	combustion means fire converts chemical energy into light energy and heat energy	nongold
35	an electric motor converts electrical energy into mechanical energy	nongold
36	combustion is a kind of chemical change	nongold
37	fossil fuel contains chemical energy	nongold
38	using gasoline is a source of carbon dioxide	nongold
39	burning gasoline is a source of  heat energy	nongold
40	sound is produced when mechanical energy is transformed into sound energy	nongold
41	converting is a kind of function	nongold
42	objects contain chemical energy	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	a vehicle is a kind of object	nongold
45	chemical energy is a kind of potential energy	nongold
46	chemical reactions cause chemical change	nongold
47	converting is similar to turning into	nongold
48	a plant is a kind of living thing	nongold
49	forming is similar to converting	nongold
50	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
51	substances have chemical properties	nongold
52	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
53	an event is a kind of action	nongold
54	to happen means to occur	nongold
55	chemical reactions cause new substances; different substances to form	nongold
56	an animal is a kind of living thing	nongold
57	mechanical energy exerted by an object can be used to push or pull another object	nongold
58	a process is a kind of event	nongold
59	material means substance	nongold
60	the function of something is what that something  is used to do	nongold
61	chemicals means substances	nongold
62	heat is a kind of energy	nongold
63	to turn means to change	nongold
64	a component of something means a part of that something	nongold
65	a part of a process means a stage in a process	nongold
66	if an object is made of a material then that object has the properties of that material	nongold
67	converting is similar to producing	nongold
68	heat means heat energy	nongold
69	a component means a part of	nongold
70	chemical change is a kind of chemical reaction	nongold
71	photosynthesis is a kind of chemical reaction	nongold
72	substances are made of elements	nongold
73	something that happens is a kind of event	nongold
74	An example of a chemical change is electrical energy breaking down a compound	nongold
75	a plant is a kind of organism	nongold
76	combining; mixing two substances chemically causes chemical reactions	nongold
77	if something generates energy for something else then that something powers that something else	nongold
78	a step in a process means a stage in a process	nongold
79	all elements are a kind of pure substance	nongold
80	a process usually requires all of the stages in that process	nongold
81	a vehicle for something allows; enables that something to occur	nongold
82	a power plant converts chemical energy from energy source into electricity	nongold
83	fuel is a kind of energy source	nongold
84	an engine is a part of an automobile	nongold
85	to place in is similar to to move to	nongold
86	adding heat to an object sometimes causes chemical reactions	nongold
87	electrical energy is a kind of energy	nongold
88	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
89	an organism is a living thing	nongold
90	emit means produce	nongold
91	to be used for something means to be required by that something	nongold
92	a vehicle is used for transportation	nongold
93	different substances usually have different amount of chemical energy	nongold
94	an animal is a kind of organism	nongold
95	if something causes a process then that something is required for that process	nongold
96	photosynthesis is a kind of chemical  process	nongold
97	to give off means to be the source of	nongold
98	a motion is a kind of event; action	nongold
99	to modify means to change	nongold
