Question	In a copper wire, a temperature increase is the result of which of the following?	question
Answer	an increase in the motion of the copper particles	answer
0	temperature is a measure of heat energy	gold
1	heat means temperature increases	nongold
2	an increase is a kind of change	nongold
3	to cause means to result in	nongold
4	an increase is the opposite of a decrease	nongold
5	a decrease is a kind of change	nongold
6	adding heat means increasing temperature	nongold
7	motion; movement means moving; to move	nongold
8	heat means heat energy	gold
9	to add means to increase	nongold
10	electrical current running through a wire causes that wire to heat up; to become warm	nongold
11	a wire is usually made of metal	nongold
12	a wire is a kind of object	nongold
13	temperature  rise means temperature increase	nongold
14	increase means more	nongold
15	copper is a kind of metal	nongold
16	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
17	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
18	metal is a thermal; thermal energy conductor	nongold
19	rotation is a kind of motion	nongold
20	a particle is a kind of object	gold
21	to produce means to result in	nongold
22	particles in objects are a kind of matter	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
24	copper is a kind of element	gold
25	a wire is a part of an electrical circuit for conducting electricity	nongold
26	to reduce means to decrease	nongold
27	result means outcome	nongold
28	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
29	conductivity is a property of a material; substance	nongold
30	particles in a liquid are close to each other	nongold
31	a source of something increases the amount of that something	nongold
32	high is similar to increase	nongold
33	metal is an  electrical; electrical energy conductor	nongold
34	heating means adding heat	nongold
35	matter; materials; substances are made of atoms; particles	nongold
36	a metal is usually a solid at room temperature	nongold
37	to lower means to decrease	nongold
38	particles in a liquid flows past each other	nongold
39	copper is always nonmagnetic	nongold
40	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
41	to be formed by is to be the result of	nongold
42	metal is a kind of material	nongold
43	as the temperature of a chemical reaction increases , the rate of the reaction will increase	nongold
44	a motion is a kind of event; action	nongold
45	electricity is made of moving charges; moving charged particles	nongold
46	setting is a kind of motion	nongold
47	revolving is a kind of motion	nongold
48	copper is a kind of transition metal	nongold
49	radiation is when heat is transferred through waves; particles	nongold
50	if something emits something else then that something increases the amount of that something else	nongold
51	as temperature increases , the speed of molecules will increase	nongold
52	rising is a kind of motion	nongold
53	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
54	product means result	nongold
55	conductivity is a measure of how easily electricity travels through a material	nongold
56	movement is a kind of change	nongold
57	friction causes the temperature of an object to increase	nongold
58	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
59	heat energy can change the state of matter	nongold
60	state of matter at room temperature is a kind of physical property	nongold
61	electricity means electrical energy	nongold
62	temperature is a measure of kinetic energy of molecules	nongold
63	metal is a kind of substance	nongold
64	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
65	as the temperature of an object increases , the size of that object will increase	nongold
66	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
67	cooling means temperature decreases	nongold
68	objects are made of materials; substances; matter	nongold
69	a molecule is a kind of particle	nongold
70	as the kinetic energy of a molecule increases , the temperature will increase	nongold
71	an electromagnet contains a wire; cylindrical ferrous metal	nongold
72	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
73	air temperature is a kind of temperature	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	heat means the transfer of thermal energy	nongold
76	material means substance	nongold
77	a result of something is evidence of that something	nongold
78	conductivity is a kind of physical property	nongold
79	heat is a kind of energy	nongold
80	as temperature increases , the ability of that liquid to dissolve solids will increase	nongold
81	as the temperature of something increases , the intensive properties of that something will not change	nongold
82	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
83	raising is a kind of motion	nongold
84	lowering is a kind of motion	nongold
85	hitting an object causes the particles in that object to vibrate	nongold
86	an insulator is the opposite of a conductor	nongold
87	vibration is a kind of motion	nongold
88	an element is a kind of material	nongold
89	a device is a kind of object	nongold
90	affected means changed	nongold
91	substances are made of matter	nongold
92	liquid is a kind of state of matter	nongold
93	materials are made of matter	nongold
94	an insulator is a kind of material	nongold
95	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
96	a photon is a kind of  particles	nongold
97	variable means able to change	nongold
98	a wire is a kind of path for electricity	nongold
99	An example of mechanical energy is an object in motion	nongold
