Question	Which of the following statements best explains why it is warmer at the equator than at the North Pole?	question
Answer	The equator receives more direct sunlight than the North Pole.	answer
0	the equator receives more sunlight than the poles on Earth	nongold
1	the sun is a source of radiation; heat called sunlight	nongold
2	the equator receives the most direct sunlight throughout the year	gold
3	warmer means greater; higher in temperature; warmth	nongold
4	temperature is a measure of heat energy	nongold
5	the equator is a kind of location	gold
6	the North Pole is a kind of location	gold
7	colder; cooler means lower in temperature	nongold
8	north is the opposite of south	nongold
9	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
10	as distance from the equator decreases , the climate will become warmer	nongold
11	the air around equator is warm	nongold
12	heat means temperature increases	nongold
13	increase means more	nongold
14	latitude is a property of a location; place on Earth	nongold
15	cold means low in temperature	nongold
16	cooler means colder	nongold
17	closer means lower; less; a decrease in distance	nongold
18	The North Pole is located in the northern hemisphere	nongold
19	best means most positive	nongold
20	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
21	a star is a kind of celestial object; celestial body	nongold
22	the sun is a source of light; light energy called sunlight	nongold
23	sunlight produces heat	nongold
24	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
25	heat means heat energy	nongold
26	an increase is the opposite of a decrease	nongold
27	sunlight is a kind of light	nongold
28	the average temperature in South Pole is between -52.2 to -45.8 C	nongold
29	temperature is a property of weather	nongold
30	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
31	the Sun is a kind of star	nongold
32	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
33	high is similar to increase	nongold
34	less is similar to decrease	nongold
35	hot means high in heat energy; temperature	nongold
36	a magnet contains a north pole; south pole	nongold
37	to lower means to decrease	nongold
38	receiving sunlight  is synonymous with absorbing sunlight	gold
39	cold is a kind of weather	nongold
40	near; close is the opposite of far; away	nongold
41	if one object absorbs more energy than another object , then the  object will be warmer	nongold
42	a source of something increases the amount of that something	nongold
43	an increase is a kind of change	nongold
44	The South Pole is located in the southern hemisphere	nongold
45	to add means to increase	nongold
46	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	nongold
47	warm means warm temperature	nongold
48	the water near equator is in liquid and gas state	nongold
49	heat has a great impact on weather	nongold
50	sunlight is a kind of solar energy	gold
51	low is similar to decrease	nongold
52	polar means of the pole	nongold
53	close means low in distance	nongold
54	sunlight means solar energy	nongold
55	less means a reduced amount	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	sunlight is intense in space	nongold
58	distant means great in distance	nongold
59	far is the opposite of close	nongold
60	to reduce means to decrease	nongold
61	north; northward is a kind of direction	nongold
62	a decrease is a kind of change	nongold
63	Earth is a kind of planet	nongold
64	less is the opposite of more	nongold
65	receive means get	nongold
66	astronomy is the study of celestial (objects, bodies)	nongold
67	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	nongold
68	cool means cold	nongold
69	distance is a property of space and includes ordered values of close; far	nongold
70	as the sun sets , the temperature will decrease	nongold
71	the sun rises in the east	nongold
72	intensity of sunlight is similar to amount of sunlight	nongold
73	something in a cold place becomes cold	nongold
74	warm is the opposite of cool	nongold
75	a planet is a kind of celestial object; body	nongold
76	as distance from a source of something increases , that something will decrease	nongold
77	winter has cold temperatures;weather	nongold
78	far means great in distance	nongold
79	when sunlight strikes something , that something receives sunlight	nongold
80	variable means able to change	nongold
81	the sun sets in the west	nongold
82	warm up means increase temperature	gold
83	toward is the opposite of away	nongold
84	hot is the opposite of  cold	nongold
85	opposite is a kind of different	nongold
86	as the distance of a location from the North Pole becomes smaller; closer , the amount of daylight received by that location will decrease during the winter	nongold
87	celestial bodies; celestial objects are found in space	nongold
88	heating means adding heat	nongold
89	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
90	greater means higher; more in value	nongold
91	obtain is similar to receive	nongold
92	ocean currents moves away most heat from Earth's equator	nongold
93	extreme means very high in value	nongold
94	a cause of something is a reason for that something	nongold
95	heat is a kind of energy	nongold
96	to receive sunlight means to absorb sunlight	nongold
97	if something emits something else then that something increases the amount of that something else	nongold
98	warm means medium heat energy; temperature	nongold
99	if something requires something else then that something requires a source of that something else	nongold
