Question	In which way are evaporation and condensation similar?	question
Answer	Both are caused by changes in heat energy.	answer
0	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
1	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
2	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
3	evaporation causes amount of water to decrease	nongold
4	evaporating is a kind of phase change	nongold
5	heating means adding heat	nongold
6	heat means temperature increases	nongold
7	temperature is a measure of heat energy	nongold
8	heat means heat energy	nongold
9	adding heat means increasing temperature	nongold
10	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
11	heat energy can change the state of matter	nongold
12	condensing is a kind of  phase change	nongold
13	due to means caused by	nongold
14	evaporation is a kind of process	nongold
15	heat energy is synonymous with thermal energy	nongold
16	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
17	condensing is when gasses are  cooled below their boiling point	nongold
18	condensation is a kind of process	nongold
19	boiling is a kind of phase change	nongold
20	condensing causes a liquid to form	nongold
21	evaporation can be used for separating a mixture of a liquid and a solid	nongold
22	an increase is a kind of change	gold
23	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
24	to change means to cause a change	nongold
25	heat is a kind of energy	nongold
26	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
27	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
28	liquid is a kind of state of matter	nongold
29	evaporation is when water is drawn back up into the air in the water cycle	nongold
30	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
31	to add means to increase	nongold
32	to give off means to be the source of	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	condensing is a kind of process	nongold
35	thermal energy is a kind of energy	nongold
36	temperature changing can cause phase changes	nongold
37	condensing means liquid water coming together in the air	nongold
38	boiling is when liquids are heated above their boiling point	nongold
39	both means two	nongold
40	In the water cycle , condensation always follows evaporation	nongold
41	water is a kind of liquid at room temperature	nongold
42	water is an thermal; thermal energy conductor	nongold
43	to cause means to have an effect	nongold
44	a decrease is a kind of change	gold
45	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
46	adding something is a kind of change	nongold
47	increase means more	nongold
48	to change means to have an effect	nongold
49	to change means to become different	nongold
50	combustion is a kind of chemical change	nongold
51	to be a source of something means to cause that something	nongold
52	reducing is a kind of change	nongold
53	a hot substance is a source of heat	nongold
54	if heat is added to a substance then that substance absorbs that heat	nongold
55	alteration means change	nongold
56	adding heat to an object sometimes causes chemical reactions	nongold
57	gas is a kind of state of matter	nongold
58	a liquid is a kind of substance	nongold
59	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
60	solid is a kind of state of matter	nongold
61	condensation is a stage in the water cycle process	nongold
62	if the component of something changed , then the whole thing will change	nongold
63	water is a kind of matter	nongold
64	hot means high in heat energy; temperature	nongold
65	to give is similar to to cause	nongold
66	water is a kind of substance	nongold
67	chemical reactions cause chemical change	nongold
68	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
69	material means substance	nongold
70	moisture means liquid; liquid water	nongold
71	affected means changed	nongold
72	a source of something increases the amount of that something	nongold
73	absorbing energy causes objects; materials; substances to heat	nongold
74	high is similar to increase	nongold
75	to lower means to decrease	nongold
76	if something emits something else then that something increases the amount of that something else	nongold
77	variable means able to change	nongold
78	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
79	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
80	particles in objects are a kind of matter	nongold
81	metal is a thermal; thermal energy conductor	nongold
82	if two things perform the same function then those two things are similar	nongold
83	change is a kind of process	nongold
84	producing is similar to causing	nongold
85	change is a kind of impact	nongold
86	heat means the transfer of thermal energy	nongold
87	causing is a kind of affecting	nongold
88	substances are made of matter	nongold
89	gas is a kind of material	nongold
90	warm; becoming warm means heat is added	nongold
91	if something changes , then that something is not the same	nongold
92	melting is a kind of phase change	nongold
93	a solid is a kind of substance	nongold
94	melting is when solids are heated above their melting point	nongold
95	gas is a kind of substance	nongold
96	vapor is synonymous with gas	nongold
97	an increase is the opposite of a decrease	nongold
98	condensing is similar to collecting	nongold
99	thermal conduction is when heat flows from warmer object to cooler object	nongold
