Question	Which of the following statements best explains why stars appear to move across Earth's sky each night?	question
Answer	Earth rotates on its axis.	answer
0	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
1	the Earth rotates on its axis	gold
2	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	gold
3	Earth is a kind of planet	gold
4	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
5	Earth rotating on its axis occurs once per day	nongold
6	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	gold
7	a star is a kind of celestial object; celestial body	gold
8	the Earth revolves around the sun	nongold
9	a rotation is a kind of movement	nongold
10	rotation is a kind of motion	nongold
11	a planet rotating causes cycles of day and night on that planet	nongold
12	rotating is similar to moving	nongold
13	motion; movement means moving; to move	nongold
14	the Sun is a kind of star	nongold
15	the sun is not a star in the night sky	nongold
16	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
17	stars appear to move relative to the horizon during the night	nongold
18	setting is a kind of motion	nongold
19	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
20	rotate means turn	nongold
21	the North Star does not move in the sky in the Northern Hemisphere each night	nongold
22	motion is when moves an object; something to a direction	nongold
23	the sun rising and setting causes cycles of day and night	nongold
24	revolving is a kind of motion	nongold
25	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
26	to rotate means to complete a rotation	nongold
27	moving changes position	nongold
28	cycles of day and night occur once per day	nongold
29	a planet is a kind of celestial object; body	nongold
30	Earth's angle of tilt causes the length of day and night to vary	nongold
31	rising is a kind of motion	nongold
32	occur is similar to appear	nongold
33	high is similar to increase	nongold
34	a star produces light and heat	nongold
35	the sun rises in the east	nongold
36	the sun rising; setting occurs once per day	nongold
37	a motion is a kind of event; action	nongold
38	movement is a kind of change	nongold
39	if something is caused by something else , then that something can be explained by that something else	nongold
40	Earth's rotation causes time zones	nongold
41	rising means height; altitude increases	nongold
42	an increase is a kind of change	nongold
43	movements of celestial bodies are a kind of event	nongold
44	moving is similar to travelling	nongold
45	distance moved; distance travelled is a measure of how far an object moves	nongold
46	variable means able to change	nongold
47	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
48	if it is night then the sun has set	nongold
49	revolving  around something means orbiting that something	nongold
50	the sun sets in the west	nongold
51	the stars in the night sky are very far away from the Earth	nongold
52	shift means move	nongold
53	rotate is similar to revolve	nongold
54	events occur at a specific place; at a specific time; with a specific frequency	nongold
55	speed is a measure of how fast an object is moving	nongold
56	some celestial bodies rotate in space	nongold
57	to slow; to slow down decreases speed	nongold
58	appearing is similar to seeming	nongold
59	Celestial bodies move in orbits in space around other celestial bodies	nongold
60	affected means changed	nongold
61	astronomy is the study of celestial (objects, bodies)	nongold
62	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
63	furthest; farthest means greatest; most; highest in distance	nongold
64	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
65	speed up means increase	nongold
66	travel means to move	nongold
67	rising means moving upward	nongold
68	an increase is the opposite of a decrease	nongold
69	lowering is a kind of motion	nongold
70	to add means to increase	nongold
71	low is similar to decrease	nongold
72	phase means state	nongold
73	nighttime means night	nongold
74	rotation  is  the  circular movement of an object around a center; axis	nongold
75	how something  appears is how that something  looks	nongold
76	Earth is a planet that is closer to the  Sun than Jupiter	nongold
77	distance is a property of space and includes ordered values of close; far	nongold
78	the sun setting is a kind of event	nongold
79	the sun rising is a kind of event	nongold
80	greater means higher; more in value	nongold
81	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
82	spin means rotate	nongold
83	move around means revolve	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	to turn means to change	nongold
86	the night time is part of one day	nongold
87	faster means an increase; higher in speed	nongold
88	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
89	extreme means very high in value	nongold
90	astronomical body means celestial body	nongold
91	the Sun is the  star that is closest to Earth	nongold
92	to lower means to decrease	nongold
93	something that happens is a kind of event	nongold
94	increase means more	nongold
95	to reduce means to decrease	nongold
96	to change means to cause a change	nongold
97	all the time means at day and at night	nongold
98	definite is the opposite of variable	nongold
99	constant means not changing	nongold
