Question	Earthquake waves are recorded by seismograph machines. What does an earthquake wave transmit?	question
Answer	energy	answer
0	an earthquake wave is a kind of wave	gold
1	earthquake causes seismic waves	nongold
2	a seismograph is used to measure the earthquake waves	nongold
3	a seismograph is a kind of tool for measuring the size of an earthquake	nongold
4	all waves transfer; transmit energy from one place to another	gold
5	a seismograph is used for measuring the size of an earthquake	nongold
6	earthquake  is a kind of vibration  of the ground	nongold
7	a seismometer is used to measure the strength or magnitude of an earthquake	nongold
8	a machine is a kind of  device	nongold
9	an earthquake is a kind of natural; geological event	nongold
10	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
11	a wave is a kind of object	nongold
12	a machine is a kind of object	nongold
13	to transmit means to carry to another place	nongold
14	electromagnetic energy is a kind of energy	nongold
15	sound is a kind of energy	nongold
16	answering questions requires information	nongold
17	sound wave is a kind of wave	nongold
18	electromagnetic wave is a kind of  wave	nongold
19	to send means to transfer	nongold
20	sound waves means sound energy	nongold
21	receive means get	nongold
22	emit means send out	nongold
23	electromagnetic energy travels as electromagnetic waves	nongold
24	recording is similar to measuring	nongold
25	a device is a kind of object	nongold
26	an instrument is a piece of equipment	nongold
27	an earthquake causes the ground to shake	nongold
28	sound wave is a kind of mechanical wave	nongold
29	a vehicle transmits something	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	instrument means device	nongold
32	acoustic signal is a kind of sound wave	nongold
33	sound energy is transferred by vibrational waves	nongold
34	sound waves transfer energy	nongold
35	a wave is formed by the vibration of the source spreading around from the source	nongold
36	electrical energy is a kind of energy	nongold
37	sound wave is similar to sound	nongold
38	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
39	obtain is similar to receive	nongold
40	a vibration is similar to a wave	nongold
41	sound is a kind of sound energy	nongold
42	the function of something is what that something  is used to do	nongold
43	electromagnetic wave is not a mechanical wave	nongold
44	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	nongold
45	radio signal is a kind of radio wave	nongold
46	if something is passed down to something else then that something else receives that something	nongold
47	media; medium means the material something travel through	nongold
48	an object; material; substance comes from that object or material's source	nongold
49	sound means sound energy	nongold
50	an event is a kind of action	nongold
51	data means information	nongold
52	instrument means tool	nongold
53	frequency is a property of a wave; a particel of light; an event	nongold
54	electrical signals are made of electrical energy	nongold
55	radio wave is a kind of electromagnetic wave	nongold
56	events occur at a specific place; at a specific time; with a specific frequency	nongold
57	a living thing is a kind of object	nongold
58	a rock is a kind of object	nongold
59	a component of something means a part of that something	nongold
60	vibration is a kind of motion	nongold
61	waves contain mechanical energy	nongold
62	can be means able to be	nongold
63	electromagnetic waves can be  used to transmit information  through space	nongold
64	a device requires energy to operate	nongold
65	where something  comes from is a source of that something	nongold
66	device means tool	nongold
67	if something is transported to something else then that something else receives that something	nongold
68	material means substance	nongold
69	if something comes from something else then that something else is a source of that something	nongold
70	emit means produce	nongold
71	a component means a part of	nongold
72	waves travel outward from the source	nongold
73	intense means high in intensity	nongold
74	if something transfers something else then that something is a source of something else	nongold
75	mechanical energy is a kind of energy	nongold
76	a motion is a kind of event; action	nongold
77	rock is a kind of material	nongold
78	generate means produce	nongold
79	radiation is when electromagnetic waves transfers heat and light energy	nongold
80	a tool is a kind of object	nongold
81	recording data is similar to showing data	nongold
82	if something generates energy for something else then that something powers that something else	nongold
83	wave motion is transferred from the source to matter to produce sound	nongold
84	an earthquake changes Earth's surface quickly	nongold
85	waves can travel through matter	nongold
86	if a seismograph has different readings , then the wave it measured travel differently	nongold
87	oscillation means physical vibration	nongold
88	intense means extreme	nongold
89	form means kind	nongold
90	the radio receives radio waves	nongold
91	a radio is a kind of electrical device	nongold
92	a portable radio is a kind of radio	nongold
93	waves travel differently in different media	nongold
94	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
95	to provide something means to be the source of that something	nongold
96	tectonic plates being pushed together causes earthquakes	nongold
97	if something is a raw material then that something comes directly from a source	nongold
98	seconds are a kind of unit for measuring time	nongold
99	an image transmits visual information	nongold
