Question	Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?	question
Answer	They can live only where there is light.	answer
0	algae is a kind of living thing	nongold
1	an algae is a kind of organism	nongold
2	sunlight can be found in the top 100 meters of the ocean	gold
3	algae is a kind of plant	nongold
4	algae is found in bodies of water	nongold
5	aquatic animals; plants live in bodies of water	nongold
6	a restriction can be used to limit something; keep something low	nongold
7	sunlight is a kind of light	gold
8	an aquatic animal is a kind of animal	nongold
9	green marine algae are a kind of producer	gold
10	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
11	meters;centimeters;kilometers are used to describe distance; describe length	nongold
12	marine is similar to water	nongold
13	a body of water is a kind of environment	nongold
14	aquatic animal means water animal	nongold
15	an ocean is a kind of body of water	nongold
16	an animal; living thing requires nutrients for survival	nongold
17	an organism is a living thing	nongold
18	life means living things	nongold
19	sunlight is a kind of solar energy	nongold
20	sunlight means solar energy	gold
21	not allowed to means can not	nongold
22	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
23	an environment means an area	nongold
24	an animal is a kind of living thing	nongold
25	a meter is a kind of unit for measuring distance; measuring length	nongold
26	solar energy is a kind of light	nongold
27	an animal is a kind of organism	nongold
28	surroundings means environment	nongold
29	animals; living things require water for survival	nongold
30	light means light energy	nongold
31	coral is a kind of aquatic animal	nongold
32	the water at the surface of the ocean absorbs more sunlight than the water at the bottom of the ocean	nongold
33	water is a part of an environment	nongold
34	ocean animal is similar to water animal	nongold
35	an environment is a kind of place	nongold
36	a living thing is a kind of object	nongold
37	organisms are a part of an environment	nongold
38	a requirement is a kind of limitation	nongold
39	light is a kind of nonliving thing	nongold
40	a deep sea animal is a kind of marine organism	nongold
41	survive means live	nongold
42	survive means live	nongold
43	visible light is a kind of  light	nongold
44	an ocean is a kind of habitat	nongold
45	nonliving; non-living; die is the opposite of living; alive; live	nongold
46	the bottom is the lowest part of something	nongold
47	at the top of a place means at the highest point of the place	nongold
48	high is similar to increase	nongold
49	sea means ocean	nongold
50	usually a body of water is located outside	nongold
51	low is the opposite of high	nongold
52	a body of water is a source of water	nongold
53	death means to die	nongold
54	best means most positive	nongold
55	if something required by something else is in a place then that something else may be in that place	nongold
56	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
57	a plant; living thing requires food for survival	gold
58	cannot is the opposite of  can	nongold
59	the sun is a source of light; light energy called sunlight	nongold
60	dying is the opposite of living; surviving	nongold
61	if a living thing requires something then that something has a positive impact on that living thing	nongold
62	green algae are a source of food for fungi in a lichen	nongold
63	lack is similar to low; little	nongold
64	dark means a low amount of light	nongold
65	low is similar to decrease	nongold
66	far means great in distance	nongold
67	a plant is a kind of living thing	nongold
68	if there is none of a thing then that thing does not exist	nongold
69	low means low in elevation; height; altitude	nongold
70	animals; living things live and feed in their habitats; near their habitats	gold
71	low means down	nongold
72	can means having the ability to	nongold
73	to limit means to decrease	nongold
74	oceans cover 70% of the surface of the earth	nongold
75	area is similar to location	nongold
76	near; close is the opposite of far; away	nongold
77	a body of water contains water	nongold
78	live is similar to stay	nongold
79	organisms lived in the water when they first appeared on Earth	nongold
80	a plant is a kind of organism	nongold
81	survival means to survive	nongold
82	toward is the opposite of away	nongold
83	greatest means largest; highest; most amount of something	nongold
84	can be means able to be	nongold
85	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
86	dark is the opposite of light	nongold
87	organisms; living things live in their habitat; their home	nongold
88	a population is made of one type of organism in an area	nongold
89	most predators live in; live near the same environment as their prey	nongold
90	an environment is similar to an ecosystem	nongold
91	coral lives in the ocean	nongold
92	closer means lower; less; a decrease in distance	nongold
93	organisms mean life	nongold
94	to lower means to decrease	nongold
95	a lack of something that a living thing requires prevents the survival of that living thing	nongold
96	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
97	close means low in distance	nongold
98	objects in an environment are a part of that environment	nongold
99	usually means most of the time	nongold
