Question	How does a tiger get stripes?	question
Answer	from its parents	answer
0	a tiger is a kind of animal	gold
1	a tiger is big in size	nongold
2	striped is a kind of color pattern	gold
3	a father is a kind of male parent	nongold
4	leopard is a kind of animal	nongold
5	the colors of parts of an organism are inherited characteristics	gold
6	a lion is a kind of animal	nongold
7	a mother is a kind of female parent	nongold
8	an animal is a kind of living thing	nongold
9	coloration means a pattern of colors	gold
10	coloration means a thing's color	nongold
11	trait is synonymous with characteristic	nongold
12	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
13	a living thing is a kind of object	nongold
14	a baby is the offspring of a parent	nongold
15	a baby is the offspring of a parent	nongold
16	to reproduce means to have; to produce offspring	nongold
17	an animal is a kind of organism	gold
18	an organism is a living thing	nongold
19	one can get something from a source	nongold
20	parents produce offspring	nongold
21	a cheetah is a kind of animal	nongold
22	color is a property of  an object; a material	nongold
23	children; young is synonymous with offspring	nongold
24	an inherited characteristic is a kind of characteristic	nongold
25	coloration is a kind of adaptation for hiding;camouflage	nongold
26	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
27	An example of camouflage is when something is; has the same color as its environment	nongold
28	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
29	receive means get	nongold
30	if something comes from something else then that something else is a source of that something	nongold
31	an object; material; substance comes from that object or material's source	nongold
32	reproduction produces; produce offspring	nongold
33	the color of; coloration of fur is an inherited characteristic	gold
34	a panther is a kind of predator	nongold
35	living things can all reproduce	nongold
36	white is a kind of color	nongold
37	where something  comes from is a source of that something	nongold
38	a lion is a kind of mammal	nongold
39	species is an inherited characteristic	nongold
40	an animal is a member of an animal species	nongold
41	a part of something means a characteristic of something	nongold
42	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
43	cub is a kind of offspring	nongold
44	a mother births offspring	nongold
45	black is a kind of color	nongold
46	a puppy is a young; baby dog	nongold
47	camouflage is a kind of protection against predators; from predators; against consumers	nongold
48	fur is a part of a monkey	nongold
49	an part of an object is smaller than the entire object	nongold
50	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
51	a cat is a kind of animal	nongold
52	coloration is used to find a mate by some animals	nongold
53	lion eat zebras	nongold
54	a baby is a kind of young animal	nongold
55	baby is similar to immature	nongold
56	An example of camouflage is when an organism looks like its environment	nongold
57	baby animals become adult animals	nongold
58	a child is a kind of young human	nongold
59	a son is a kind of male offspring	nongold
60	offspring receives half of the genes from each parent	nongold
61	the color of an environment means the color of the things that environment contains	nongold
62	a type is synonymous with a kind	nongold
63	getting something increases the amount of that something	nongold
64	parents are a part of a generation	nongold
65	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
66	an animal; living thing requires nutrients for survival	nongold
67	animals learn some behaviors from watching their parents	nongold
68	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
69	an asexually produced offspring is genetically identical to its parent	nongold
70	an animal needs to attract a mate to reproduce	nongold
71	what an object is made of is a kind of characteristic	nongold
72	young means immature	nongold
73	diet means what an animal eats	nongold
74	a strip is a kind of object	nongold
75	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
76	spotted is a kind of color pattern	nongold
77	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
78	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
79	answering questions requires information	nongold
80	black is dark in color	nongold
81	the  diet of an animal is an inherited characteristic	nongold
82	a monkey is a kind of mammal	nongold
83	the size of an organism is an inherited characteristic	nongold
84	living things eat their food source	nongold
85	to breed is similar to to reproduce	nongold
86	reproductive behavior is an inherited characteristic	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	the body is a part of an organism	nongold
89	a cat is a kind of mammal	nongold
90	a mammal is a kind of animal	nongold
91	high is similar to increase	nongold
92	mammals birth; give birth to live young	nongold
93	trait means property	nongold
94	a human is a kind of animal	nongold
95	looking like is similar to camouflaging as	nongold
96	food is what an animal eats	nongold
97	a kitten is a young; baby cat	nongold
98	become prey means get eaten	nongold
99	color is an intensive property	nongold
