Question	Plants have special tissues that transport food, water, and minerals throughout the plant. What are these tissues similar to in animals?	question
Answer	arteries and veins	answer
0	arteries; veins transport nutrients; water; minerals throughout the body	gold
1	the body of an animal contains arteries; veins	gold
2	special tissues in plants transport food; water; minerals throughout the plant	gold
3	transporting nutrients, water, and minerals is a kind of function	gold
4	some minerals are nutrients	nongold
5	a food contains nutrients for living things	gold
6	to carry means to transport	nongold
7	an animal is a kind of living thing	gold
8	an animal is a kind of organism	nongold
9	a mammal is a kind of animal	nongold
10	a plant is a kind of living thing	nongold
11	organs are made of different types of  cellular tissues	nongold
12	a plant is a kind of organism	nongold
13	food contains carbohydrates	nongold
14	transport means to move; to make travel	nongold
15	an organism is a living thing	nongold
16	throughout means over	nongold
17	an animal; living thing requires nutrients for survival	nongold
18	to transfer is similar to transport	nongold
19	transporting is a kind of function	nongold
20	if two things perform the same function then those two things are similar	gold
21	a plant; living thing requires food for survival	nongold
22	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	nongold
23	an animal needs to eat food for nutrients	nongold
24	food is what an animal eats	nongold
25	plants are a source of fibers	nongold
26	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
27	transporting materials through a plant is a kind of function	nongold
28	animals; living things require water for survival	nongold
29	identical is the opposite of different	nongold
30	food is a kind of substance	nongold
31	nutrients are a kind of substance	nongold
32	a plant is made of plant cells	nongold
33	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
34	a plant stem contains a system of tubes for transporting water and nutrients to other parts of the plant	nongold
35	water is a kind of substance	nongold
36	digestion is when food is absorbed into the blood stream	nongold
37	in common is similar to the same	nongold
38	not is similar to the opposite of	nongold
39	different is the opposite of the same	nongold
40	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
41	a leaf is a part of a  green plant	nongold
42	made of is similar to contains	nongold
43	living things eat their food source	nongold
44	plant parts are made of plants	nongold
45	a leaf is a kind of plant organ	nongold
46	if two objects are similar , then the two objects share properties	nongold
47	a living thing is made of cells	nongold
48	the digestive system is a kind of body; organ system	nongold
49	similar means in common	nongold
50	a vegetable is a kind of food	nongold
51	a cell absorbs nutrients	nongold
52	a leaf is a kind of plant	nongold
53	to carry something means to contain something	nongold
54	to carry means to move something	nongold
55	a vegetable is a kind of plant	nongold
56	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
57	vegetation means plants	nongold
58	a worm is a kind of animal	nongold
59	the digestive system breaks down food into nutrients for  the body	nongold
60	veins; arteries are a part of the circulatory system	nongold
61	to eat means to consume food	nongold
62	same means identical; equal in value; amount; number; quantity	nongold
63	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
64	the digestive system is a kind of body; human system	nongold
65	if something is copied then that something will be the same; similar; identical	nongold
66	animals are a part of the biological kingdom Animalia	nongold
67	a stem is often a part of plant	nongold
68	a living thing is a kind of object	nongold
69	a structure of something is synonymous with a part of that something	nongold
70	a plant cell is a kind of cell	nongold
71	the breaking down of food into simple substances occurs in the digestive system	nongold
72	unique  is the opposite of diverse	nongold
73	a human is a kind of animal	nongold
74	carrier means the ones that carry	nongold
75	an animal cell is a kind of cell	nongold
76	a plants; living things require water for survival; to grow	nongold
77	made up of means contains; made of	nongold
78	a vehicle is used for transportation	nongold
79	roots are a part of a plant; tree	nongold
80	digestion is when stomach acid breaks down food	nongold
81	carbohydrates are a vehicle for storing;transporting energy	nongold
82	a worm is a kind of living thing	nongold
83	aspect of something is similar to part of something	nongold
84	if something changes , then that something is not the same	nongold
85	opposite is a kind of different	nongold
86	carbohydrates are used for storing;transporting energy	nongold
87	if a living thing requires something then that something has a positive impact on that living thing	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	a body system is a part of the body; an animal	nongold
90	if two things are made from the same objects; material then those two things are similar	nongold
91	to digest means to break down food	nongold
92	a reptile is a kind of animal	nongold
93	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
94	green plants are a kind of producer	nongold
95	In the food chain process a  green plant has the role of  producer	nongold
96	the digestive system digests food for the body	nongold
97	usually plants store the food they produce for future use	nongold
98	composed of means made of	nongold
99	a human is a kind of mammal	nongold
