Question	Two elements in the same group on the Periodic Table of the Elements are most similar in their	question
Answer	chemical reactivity.	answer
0	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	gold
1	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
2	elements in the same group on the Periodic Table of Elements have similar properties	nongold
3	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
4	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
5	the Periodic Table is a table displays elements	nongold
6	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
7	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
8	if two objects are similar , then the two objects share properties	nongold
9	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
10	different is the opposite of the same	nongold
11	metals are found on the left side of the periodic table of elements	nongold
12	same means identical; equal in value; amount; number; quantity	nongold
13	both means two	nongold
14	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
15	the most reactive metals are located on the column at the far left side of the periodic table	nongold
16	to belong to a group means to be a kind of something	nongold
17	in common is similar to the same	nongold
18	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
19	a group; family in the periodic table means a column in the periodic table	nongold
20	the nitrogen family is a kind of group in periodic table	nongold
21	to group means to separate	nongold
22	hydrogen is located on the left side; first column on the periodic table	nongold
23	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
24	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
25	the  property of something is the same for the things of same kind	nongold
26	alkali metals are located on the left side; first column on the periodic table	nongold
27	identical is the opposite of different	nongold
28	if something changes , then that something is not the same	nongold
29	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
30	the periodic table is arranged in rows and columns	nongold
31	chemical reactions cause chemical change	nongold
32	an element is a kind of  substance	nongold
33	hydrogen is a kind of element	nongold
34	an  element is a kind of atom	nongold
35	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
36	all elements are a kind of pure substance	nongold
37	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
38	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
39	noble gases are located on the rightmost side   of the periodic table	nongold
40	a table is a kind of object	nongold
41	chemical compounds contain chemical bonds between atoms; between elements	nongold
42	if a substance is made of one element , then the substance is called an element	nongold
43	combining; mixing two substances chemically causes chemical reactions	nongold
44	substances are made of elements	nongold
45	pair means two	nongold
46	a chemical property is the opposite of a physical property	nongold
47	not is similar to the opposite of	nongold
48	to change means to become different	nongold
49	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
50	the  elements in the chemical reaction stays the same after the reaction	nongold
51	an element is made of one kind of atoms	nongold
52	if something is copied then that something will be the same; similar; identical	nongold
53	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
54	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
55	similar means in common	nongold
56	together means in a group	nongold
57	opposite is a kind of different	nongold
58	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
59	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
60	carbon is a kind of element	nongold
61	stay the same means not changing	nongold
62	similarity means the same property	nongold
63	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
64	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
65	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
66	substances have chemical properties	nongold
67	an alkaline earth metal is a kind of element	nongold
68	chemical reactions cause new substances; different substances to form	nongold
69	substances are made of matter	nongold
70	a compound can be chemically separated into the elements that it is made of	nongold
71	a  chemical property is a kind of  property	nongold
72	to belong to a group means to be classified in that group	nongold
73	An example of a chemical property is the elements a compound is made of	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
76	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
77	a pure substance is made of only one kind of atom; molecule	nongold
78	nitrogen is a kind of element	nongold
79	matter; materials; substances are made of atoms; particles	nongold
80	the majority of the elements on the periodic table are metals	nongold
81	a compound is made of two or more elements that have been chemically combined	nongold
82	an atom is a kind of object	nongold
83	a physical property is a kind of property	nongold
84	to match means to be the same	nongold
85	if two things are made from the same objects; material then those two things are similar	nongold
86	can be means able to be	nongold
87	to be made of something means to be formed of that something	nongold
88	chemicals means substances	nongold
89	chemical change is a kind of chemical reaction	nongold
90	oxygen  is a kind of element	nongold
91	An example of a chemical property is how a material reacts chemically	nongold
92	chemical reaction means chemical bonds change	nongold
93	classifying means grouping objects; materials by their properties	nongold
94	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
95	state of matter is a kind of physical property	nongold
96	made up of means contains; made of	nongold
97	alkaline earth metals are highly reactive	nongold
98	identical means copy	nongold
99	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
