Question	Earth rotates on its north-south axis. Which statement best describes one complete rotation?	question
Answer	It takes 24 hours and causes night and day.	answer
0	a planet rotating causes cycles of day and night on that planet	gold
1	to rotate means to complete a rotation	nongold
2	a Rotation of the Earth on Earth's axis; itself takes 1; one day	gold
3	the Earth rotates on its axis	gold
4	1 day is equal to 24 hours	gold
5	hours are a kind of unit for measuring time	nongold
6	cycles of day and night occur once per day	nongold
7	rotation is a kind of motion	nongold
8	Earth rotating on its axis occurs once per day	nongold
9	a rotation is a kind of movement	nongold
10	north is the opposite of south	nongold
11	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
12	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
13	Earth is a kind of planet	gold
14	the moon rotates on its axis	nongold
15	the sun rising and setting causes cycles of day and night	nongold
16	Earth's rotation causes time zones	nongold
17	the night time is part of one day	nongold
18	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
19	rotating is similar to moving	nongold
20	rotate means turn	nongold
21	Earth's angle of tilt causes the length of day and night to vary	nongold
22	a motion is a kind of event; action	nongold
23	rotate is similar to revolve	nongold
24	revolving is a kind of motion	nongold
25	incomplete is the opposite of complete	nongold
26	the day time is part of one day	nongold
27	all the time means at day and at night	nongold
28	how long something takes is a kind of measurement of time	nongold
29	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
30	a cycle happens; occurs repeatedly	nongold
31	daytime means day	nongold
32	motion; movement means moving; to move	nongold
33	setting is a kind of motion	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	a rotation of the moon takes 1; one month	nongold
36	a planet is a kind of celestial object; body	nongold
37	the Earth revolves around the sun	nongold
38	Earth's revolution is a kind of cycle	nongold
39	an event is a kind of action	nongold
40	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
41	if it is night then the sun has set	nongold
42	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
43	rising is a kind of motion	nongold
44	best means most positive	nongold
45	the moon orbits the Earth	nongold
46	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
47	some celestial bodies rotate in space	nongold
48	to be a source of something means to cause that something	nongold
49	a moon is a kind of celestial object; body	nongold
50	a hemisphere is a part of Earth	nongold
51	a human is a kind of animal	nongold
52	days are a kind of unit for measuring time	nongold
53	rotation  is  the  circular movement of an object around a center; axis	nongold
54	to give is similar to to cause	nongold
55	affected means changed	nongold
56	nighttime means night	nongold
57	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
58	a phase of the moon is a kind of state	nongold
59	the sun rises in the east	nongold
60	to drive means to cause	nongold
61	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
62	can be means able to be	nongold
63	both means two	nongold
64	producing is similar to causing	nongold
65	a process is a kind of event	nongold
66	the sun sets in the west	nongold
67	daily means every day; once per day	nongold
68	to change means to cause a change	nongold
69	events occur at a specific place; at a specific time; with a specific frequency	nongold
70	to happen means to occur	nongold
71	a full moon is a kind of phase of the moon	nongold
72	a revolution of the moon around the Earth takes 1; one month	nongold
73	revolving  around something means orbiting that something	nongold
74	determine is similar to cause	nongold
75	motion is when moves an object; something to a direction	nongold
76	the sun rising; setting occurs once per day	nongold
77	sunlight is a kind of light	nongold
78	something that happens is a kind of event	nongold
79	the properties of something are used for describing that something	nongold
80	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
81	length of time means period of time	nongold
82	a change is a kind of event	nongold
83	north; northward is a kind of direction	nongold
84	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
85	causing means influencing	nongold
86	a star is a kind of celestial object; celestial body	nongold
87	variable means able to change	nongold
88	Tuesday is a kind of  time	nongold
89	if something causes an increase in something else then that something produces that something else	nongold
90	revolving is a kind of action	nongold
91	an animal is a kind of living thing	nongold
92	vibration is a kind of motion	nongold
93	gravity causes orbits	nongold
94	person is synonymous with human	nongold
95	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	if something is caused by something else , then that something can be explained by that something else	nongold
98	a half of Earth is a hemisphere of Earth	nongold
99	a cycle is a kind of process	nongold
