Question	Which of these is the chemical symbol for magnesium?	question
Answer	Mg	answer
0	the chemical symbol for magnesium is Mg	gold
1	magnesium is a kind of substance	nongold
2	magnesium fluoride; MgF2 is a kind of substance	nongold
3	magnesium fluoride; MgF2 is made of magnesium metal and fluorine	nongold
4	magnesium is a kind of alkaline earth metal	nongold
5	magnesium oxide is a kind of compound	nongold
6	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
7	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
8	the  chemical symbol for copper is Cu	nongold
9	potassium is a kind of element	nongold
10	calcium is a kind of element	nongold
11	the chemical symbol for iron is Fe	nongold
12	the  chemical symbol for argon is Ar	nongold
13	magnesium is less dense than iron	nongold
14	zinc is a kind of metal	nongold
15	Fe is the chemical symbol for iron	nongold
16	a metal is a kind of element	nongold
17	the chemical symbol for tellurium is Te	nongold
18	sodium is a kind of metal	nongold
19	chromium is a kind of metal	nongold
20	substances are made of elements	nongold
21	the chemical symbol for helium is He	nongold
22	K means potassium	nongold
23	metal is a kind of substance	nongold
24	iron is a kind of element	nongold
25	sodium is a kind of element	nongold
26	tungsten is a kind of metal	nongold
27	magnesium is less dense than nickel	nongold
28	the chemical symbol for antimony is Sb	nongold
29	chemicals means substances	nongold
30	an alkaline earth metal is a kind of element	nongold
31	an element is a kind of  substance	nongold
32	substances have chemical properties	nongold
33	P means phosphorus	nongold
34	all elements are a kind of pure substance	nongold
35	a halogen is a kind of element	nongold
36	metalloid is a kind of element	nongold
37	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
38	to be formed by is similar to being produced by	nongold
39	ferrous metals contain iron	nongold
40	zinc is always nonmagnetic	nongold
41	O is the chemical symbol for oxygen	nongold
42	argon is a kind of element	nongold
43	the  chemical symbol for oxygen is O	nongold
44	form means kind	nongold
45	to be made of something means to be formed of that something	nongold
46	helium is a kind of element	nongold
47	if a substance is made of one element , then the substance is called an element	nongold
48	metals are made of metal	nongold
49	copper is a kind of element	nongold
50	composed of means made of	nongold
51	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
52	iron is a kind of metal	nongold
53	chemical reactions cause new substances; different substances to form	nongold
54	carbon is a kind of element	nongold
55	can be means able to be	nongold
56	manganese is a kind of metal	nongold
57	compound is a kind of chemical	nongold
58	a nutrient is a kind of chemical compound	nongold
59	to cause means to make	nongold
60	chlorine is a kind of element	nongold
61	the  chemical symbol for neon is Ne	nongold
62	to give is similar to to cause	nongold
63	Na means sodium	nongold
64	an element is a kind of material	nongold
65	aluminum is a kind of element	nongold
66	mL means milliliters	nongold
67	zinc is a kind of mineral	nongold
68	Cadmium is always magnetic	nongold
69	made of is similar to contains	nongold
70	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	chemical reactions cause chemical change	nongold
73	iron is a kind of solid	nongold
74	both means two	nongold
75	nonmetal means not metal	nongold
76	make means produce	nongold
77	to emit means to release	nongold
78	emit means produce	nongold
79	concentration means amount	nongold
80	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
81	an element is made of one kind of atoms	nongold
82	calcium carbonate is made of calcium, carbon, and oxygen	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	a carbohydrate is a kind of compound	nongold
85	answering questions requires information	nongold
86	a chemical compound is a kind of compound	nongold
87	provide is similar to give; make	nongold
88	copper is a kind of metal	nongold
89	chromium is always nonmagnetic	nongold
90	sodium carbonate is made of sodium, carbon, oxygen	nongold
91	mercury is a kind of element	nongold
92	an element is not an alloy	nongold
93	made up of means contains; made of	nongold
94	material means substance	nongold
95	a type is synonymous with a kind	nongold
96	metal is a kind of material	nongold
97	a molecule is the smallest particle; unit that has the properties of a compound	nongold
98	to give off means to be the source of	nongold
99	each is simiar to one	nongold
