Question	In order to record the passing of a distant comet, which instruments would be the most useful?	question
Answer	telescope with camera attachment and camera	answer
0	useful means good to use	nongold
1	useful means able to be used	gold
2	a comet is a kind of celestial object	gold
3	a camera is used for recording images	gold
4	a camera is a kind of tool for recording images	gold
5	a comet is a kind of celestial body	nongold
6	instrument means device	nongold
7	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
8	instrument means tool	nongold
9	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	gold
10	detailed observation of celestial objects requires a telescope	nongold
11	distant means great in distance	nongold
12	optical tools are used for observing materials up close; in greater detail	nongold
13	distant means far away	nongold
14	an instrument is a piece of equipment	nongold
15	to pass means to travel	nongold
16	an optical telescope is a kind of telescope	nongold
17	an optical telescope requires visible light for human to use	nongold
18	astronomy is the study of celestial (objects, bodies)	nongold
19	to pass means to occur	nongold
20	passing is a kind of action	nongold
21	passage is passing	nongold
22	a lens is a part of a telescope	nongold
23	device means tool	nongold
24	a device is a kind of object	nongold
25	binoculars are a kind of instrument for observing distant objects	nongold
26	recording an observation sometimes requires measuring	nongold
27	binoculars are used for observing distant objects	nongold
28	a tool is a kind of object	nongold
29	a comet orbit occurs usually once per 1000.0 years	nongold
30	a magnifying glass is a kind of tool for observing small things	nongold
31	comet orbits are elliptical	nongold
32	a human is a kind of animal	nongold
33	astronomy is a kind of branch of science	nongold
34	an asteroid is a kind of celestial object	nongold
35	an event is a kind of action	nongold
36	a living thing is a kind of object	nongold
37	a motion is a kind of event; action	nongold
38	events occur at a specific place; at a specific time; with a specific frequency	nongold
39	a radio telescope is a kind of telescope	nongold
40	look at means observe	nongold
41	recording is similar to measuring	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	to observe means to gather information	nongold
44	comets reflect the light of the sun	nongold
45	tool is similar to appliance	nongold
46	a machine is a kind of  device	nongold
47	a reflecting telescope is a kind of telescope	nongold
48	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies	nongold
49	person is synonymous with human	nongold
50	good means positive	nongold
51	a comet is made of ice, gases, and dust	nongold
52	best means most positive	nongold
53	capturing an animal can be used for studying that animal	nongold
54	moons; comets; planets are part of the solar system	nongold
55	answering questions requires information	nongold
56	to be required means to be necessary	nongold
57	a machine is a kind of object	nongold
58	astronomical body means celestial body	nongold
59	better means good	nongold
60	observe means see	nongold
61	getting information sometimes requires observing; observation	nongold
62	both means two	nongold
63	recording data is similar to showing data	nongold
64	an animal is a kind of living thing	nongold
65	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
66	a moon is a kind of celestial object; body	nongold
67	if something performs a task then that task is that something's function	nongold
68	helping something has a  positive impact on that something	nongold
69	to be used for something means to be required by that something	nongold
70	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
71	viewing means observing light	nongold
72	a vehicle is a kind of object	nongold
73	looking is similar to observing	nongold
74	to depend on; to rely on; to need means to require	nongold
75	scientists make observations	nongold
76	a planet is a kind of celestial object; body	nongold
77	studying  something usually requires seeing that something	nongold
78	measuring is a kind of observing	nongold
79	if something requires something else then that something else is important to that something	nongold
80	to pass through means to move through	nongold
81	magnifying glass is used to see  small things by making objects appear bigger	nongold
82	lab equipment is often used for measuring; observing	nongold
83	a process is a kind of event	nongold
84	the moon orbits the Earth	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	something is used for that something's purpose	nongold
87	requiring is similar to needing help	nongold
88	a simple machine is a kind of tool	nongold
89	the function of something is what that something  is used to do	nongold
90	can be means able to be	nongold
91	movements of celestial bodies are a kind of event	nongold
92	furthest; farthest means greatest; most; highest in distance	nongold
93	a type is synonymous with a kind	nongold
94	to help; to benefit means to be of use	nongold
95	an animal is a kind of organism	nongold
96	essential means required	nongold
97	a satellite is a kind of instrument for observing Earth's surface	nongold
98	an object is an item	nongold
99	a convex lens is used in camera	nongold
