Question	Which technology used to generate electrical power involves a trade-off between economical electricity and long-term waste disposal problems?	question
Answer	nuclear reactor	answer
0	nuclear reactor can cause long-term waste disposal problems	gold
1	the disposal of nuclear waste products is a controversial issue associated with the use of nuclear power	nongold
2	nuclear reactor generates electrical power	gold
3	trade-off means balancing  the negative impact and the positive impact	gold
4	problem is similar to issue	nongold
5	a problem has a negative impact on a thing	nongold
6	generate means produce	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	electricity means electrical energy	nongold
9	generating power is a kind of positive impact	gold
10	causing problems is a kind of negative impact	gold
11	a concern; a problem is a possible negative impact	nongold
12	waste must be removed	nongold
13	causing is similar to generating	nongold
14	recycling is a kind of method of disposal	nongold
15	humans move waste to a  landfill for disposal;storage	nongold
16	to depend on; to rely on; to need means to require	nongold
17	nuclear energy is a kind of energy	nongold
18	to generate means to form	nongold
19	to be used for something means to be required by that something	nongold
20	address a problem means reduce a problem	nongold
21	electrical energy is a kind of energy	nongold
22	an event is a kind of action	nongold
23	to cause an event is similar to being involved in that event	nongold
24	if something generates energy for something else then that something powers that something else	nongold
25	if something causes a process then that something is required for that process	nongold
26	to generate means to create	nongold
27	if a human discards an object then that object will become waste	nongold
28	the function of something is what that something  is used to do	nongold
29	if something requires something else then that something requires a source of that something else	nongold
30	electricity is used as an energy source by electrical devices	nongold
31	converting is similar to generating	nongold
32	dumping something in an environment means adding that something to that environment	nongold
33	to power means to provide energy for	nongold
34	to provide something means to be the source of that something	nongold
35	if something is a raw material in a process then that something is required for that process	nongold
36	if something is a raw material then that something comes directly from a source	nongold
37	something that happens is a kind of event	nongold
38	if an event is required for a process then that event must occur before that process can occur	nongold
39	answering questions requires information	nongold
40	a process is a kind of event	nongold
41	a material is a kind of resource	nongold
42	a source of something increases the amount of that something	nongold
43	if something is powered by something else then that something requires a source of that something else	nongold
44	a renewable resource is a kind of natural resource	nongold
45	something is used for that something's purpose	nongold
46	an inexhaustible resource is a kind of renewable resource	nongold
47	high is similar to increase	nongold
48	solution is similar to a positive impact	nongold
49	removing waste is a kind of function	nongold
50	using raw materials increases waste	nongold
51	to give off means to be the source of	nongold
52	material means substance	nongold
53	an object; material; substance comes from that object or material's source	nongold
54	where something  comes from is a source of that something	nongold
55	if something transfers something else then that something is a source of something else	nongold
56	an energy source is a kind of resource	nongold
57	opposite is a kind of different	nongold
58	metal is a kind of natural resource	nongold
59	if something comes from something else then that something else is a source of that something	nongold
60	if something releases something else then that something is the source of that something else	nongold
61	if something is required for a process then that something positively impacts that process	nongold
62	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
63	to be formed by is similar to being produced by	nongold
64	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
65	an increase is a kind of change	nongold
66	a nuclear reaction can be found in a nuclear power plant	nongold
67	a component means a part of	nongold
68	a fossil fuel is a kind of natural resource	nongold
69	dead organisms are a kind of waste	nongold
70	an element is a kind of material	nongold
71	a component of something means a part of that something	nongold
72	if something emits something else then that something increases the amount of that something else	nongold
73	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
74	can be means able to be	nongold
75	events occur at a specific place; at a specific time; with a specific frequency	nongold
76	emit means produce	nongold
77	if something is made of something; a material then that something contains that something; that material	nongold
78	recycling reduces; decreases the amount of waste sent to landfills	nongold
79	a process usually requires all of the stages in that process	nongold
80	if something causes an increase in something else then that something produces that something else	nongold
81	to happen means to occur	nongold
82	a part of a process means a stage in a process	nongold
83	a change is a kind of event	nongold
84	renewable is the opposite of nonrenewable	nongold
85	requiring something means needing that something	nongold
86	processes sometimes produce waste products	nongold
87	both means two	nongold
88	uranium is a kind of energy resource	nongold
89	waste has a  negative impact on the environment	nongold
90	all living things eliminate waste	nongold
91	fossil fuels are a kind of energy resource	nongold
92	nuclear fusion is a kind of process	nongold
93	nuclear fusion is a kind of process	nongold
94	not is similar to the opposite of	nongold
95	good means positive	nongold
96	an increase is the opposite of a decrease	nongold
97	pollution is a kind of environmental problem	nongold
98	metal is an  electrical; electrical energy conductor	nongold
99	resources sometimes are used for energy	nongold
