Question	Which equipment will best separate a mixture of iron filings and black pepper?	question
Answer	magnet	answer
0	black pepper is  always nonmagnetic	gold
1	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	gold
2	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
3	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
4	a magnet is a kind of object	nongold
5	pepper is a kind of solid	nongold
6	iron filings are made of small pieces of iron	gold
7	pepper is a kind of substance	nongold
8	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
9	filings are a kind of object	nongold
10	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
11	magnetism is a kind of physical property	nongold
12	soft iron; iron is always ferromagnetic; magnetic	gold
13	a horseshoe magnet is a kind of magnet	nongold
14	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
15	stainless steel is always magnetic; nonmagnetic	nongold
16	steel; carbon steel is always ferromagnetic; magnetic	nongold
17	instrument means tool	nongold
18	Magnetite is always magnetic	nongold
19	an electromagnet is a kind of electric magnet	nongold
20	iron is always magnetic	nongold
21	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
22	if something contains a large amount of magnetic material then that something will attract magnets	nongold
23	alloy is a kind of mixture	nongold
24	magnetic force means magnetism	nongold
25	magnetism can cause objects to repel each other	nongold
26	a magnet contains a north pole; south pole	nongold
27	metal is sometimes magnetic	nongold
28	a paper clip is often made of magnetic metals; ferromagnetic metals	nongold
29	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
30	instrument means device	nongold
31	an mixture is formed by two or more substances combined together physically	nongold
32	an instrument is a piece of equipment	nongold
33	a mixture of solids can be easily separated	nongold
34	a mixture usually is made of objects with different physical properties	nongold
35	iron is a kind of metal	gold
36	magnetism is a kind of force	nongold
37	magnetism can affect objects that are not touching	nongold
38	a mixture is a kind of substance	nongold
39	device means tool	nongold
40	a device is a kind of object	nongold
41	An example of a mixture is salt shaken with pepper	nongold
42	spices are a kind of material	nongold
43	a tool is a kind of object	nongold
44	metal is a kind of material	gold
45	plastic is always nonmagnetic	nongold
46	metal is a kind of substance	nongold
47	magnetic attraction pulls two objects together	nongold
48	aluminum is a kind of metal	nongold
49	if something is insoluble in something , then they will remain separated	nongold
50	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
51	a bar of copper is a kind of object	nongold
52	if an object is made of a material then that object has the properties of that material	nongold
53	steel is a kind of metal	nongold
54	an electromagnet contains a wire; cylindrical ferrous metal	nongold
55	to be a combination of means to be made of	nongold
56	aluminum is always nonmagnetic	nongold
57	combining; mixing two substances chemically causes chemical reactions	nongold
58	a sheet of copper is a kind of object	nongold
59	Cadmium is always magnetic	nongold
60	a powder mix is a kind of substance	nongold
61	a magnet moving in a coil of copper wire can cause an electric current	nongold
62	an electromagnet is a kind of device	nongold
63	passing a magnet through a closed loop of wire generates an electric current	nongold
64	wax is always nonmagnetic	nongold
65	a liquid is a kind of substance	nongold
66	a solution is a kind of mixture	nongold
67	iron is a kind of solid	nongold
68	plastic is a kind of electrical insulator	nongold
69	magnetism is a kind of energy	nongold
70	objects are made of materials; substances; matter	nongold
71	paper is always nonmagnetic	nongold
72	mixture means solids combined together that maintain their physical properties	nongold
73	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
74	lead is always nonmagnetic	nongold
75	a machine is a kind of  device	nongold
76	iron is a kind of element	nongold
77	material means substance	nongold
78	brass is always nonmagnetic	nongold
79	an insulator is a kind of material	nongold
80	conductivity is a property of a material; substance	nongold
81	plastic is usually an electrical insulator	nongold
82	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
83	Magnetoplumbite is always magnetic	nongold
84	a metal is a kind of element	nongold
85	zinc is always nonmagnetic	nongold
86	a machine is a kind of object	nongold
87	electromagnets generate magnetic fields	nongold
88	rust is a kind of compound	nongold
89	copper is a kind of metal	nongold
90	a type is synonymous with a kind	nongold
91	glass is always nonmagnetic	nongold
92	a metal rod is a kind of object	nongold
93	electrocution causes harm to an organism	nongold
94	best means most positive	nongold
95	if two things are made from the same objects; material then those two things are similar	nongold
96	conductivity is a kind of physical property	nongold
97	an element is a kind of material	nongold
98	mercury  is a kind of metal	nongold
99	a physical property is a kind of property	nongold
