Question	Which will most likely happen to a solid substance that is heated?	question
Answer	It will melt.	answer
0	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
1	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
2	heating means adding heat	gold
3	solid is a kind of state of matter	gold
4	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
5	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
6	liquid is a kind of state of matter	gold
7	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
8	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
9	a solid is a kind of substance	nongold
10	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
11	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
12	to add means to increase	nongold
13	melting is a kind of phase change	nongold
14	water is a kind of liquid at room temperature	nongold
15	melting is when solids are heated above their melting point	nongold
16	a liquid is a kind of substance	nongold
17	adding heat means increasing temperature	nongold
18	frozen means solid	nongold
19	temperature is a measure of heat energy	nongold
20	water is a kind of matter	nongold
21	water is a kind of substance	nongold
22	if one surface; one substance; one object touches something then one is exposed to that something	nongold
23	gas is a kind of state of matter	nongold
24	heat energy can change the state of matter	nongold
25	hot means high in heat energy; temperature	nongold
26	heat means heat energy	gold
27	an increase is a kind of change	nongold
28	ice is a kind of solid	nongold
29	warm means medium heat energy; temperature	nongold
30	substances are made of matter	nongold
31	an increase is the opposite of a decrease	nongold
32	freezing is a kind of phase change	nongold
33	to happen means to occur	nongold
34	temperature changing can cause phase changes	nongold
35	freezing causes a solid to form	nongold
36	if liquid is boiling then that liquid is hot	nongold
37	when a cooler object touches a warmer object , thermal conduction occurs	nongold
38	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
39	mass has no impact on boiling; melting; freezing point	nongold
40	phase means state	nongold
41	to reduce means to decrease	nongold
42	boiling is a kind of phase change	nongold
43	materials are made of matter	nongold
44	objects are made of materials; substances; matter	nongold
45	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
46	evaporating is a kind of phase change	nongold
47	if heat is conducted to an object then that object will become hot	nongold
48	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
49	material means substance	nongold
50	warm means warm temperature	nongold
51	cold means low in temperature	nongold
52	a decrease is a kind of change	nongold
53	heat energy is synonymous with thermal energy	nongold
54	boiling is when liquids are heated above their boiling point	nongold
55	high is similar to increase	nongold
56	ice is a kind of water phase	nongold
57	a container contains objects; material; substances	nongold
58	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
59	heating is the opposite of cooling	nongold
60	volume has no impact on boiling; melting; freezing point	nongold
61	warmer means greater; higher in temperature; warmth	nongold
62	matter; materials; substances are made of atoms; particles	nongold
63	melting point means temperature at which a solid melts; above which a solid melts	nongold
64	water is a kind of object	nongold
65	cool means cold	nongold
66	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
67	ice is a kind of object	nongold
68	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
69	warm is similar to hot	nongold
70	a hot; warm something is a source of heat	nongold
71	liquid; solid means nongaseous	nongold
72	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
73	if heat is added to a substance then that substance absorbs that heat	nongold
74	a metal is usually a solid at room temperature	nongold
75	to change means to cause a change	nongold
76	state means form	nongold
77	to lower means to decrease	nongold
78	formation of a state of matter is a kind of process	nongold
79	a hot substance is a source of heat	nongold
80	water is a kind of water phase	nongold
81	hot is the opposite of  cold	nongold
82	a liquid is a kind of fluid	nongold
83	thermal conduction is when heat flows from warmer object to cooler object	nongold
84	ability to undergo a phase change is a property of a substance; material	nongold
85	liquid water cooling causes that liquid water to freeze	nongold
86	warm; becoming warm means heat is added	nongold
87	warm is the opposite of cool	nongold
88	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
89	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
90	a change is a kind of event	nongold
91	if an object is made of a material then that object has the properties of that material	nongold
92	absorbing energy causes objects; materials; substances to heat	nongold
93	a rock is usually a solid	nongold
94	adding something is a kind of change	nongold
95	moisture means liquid; liquid water	nongold
96	temperature is a kind of condition	nongold
97	melting is a kind of process	nongold
98	water is an thermal; thermal energy conductor	nongold
99	if a container contains something then that container touches that something	nongold
