Question	Which is needed for both boiling and melting to occur?	question
Answer	heat	answer
0	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
1	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
2	boiling is when liquids are heated above their boiling point	nongold
3	to happen means to occur	nongold
4	boiling is a kind of event	nongold
5	boiling is a kind of phase change	nongold
6	heating means adding heat	nongold
7	to depend on; to rely on; to need means to require	gold
8	melting is when solids are heated above their melting point	nongold
9	requiring something means needing that something	nongold
10	if an event is required for a process then that event must occur before that process can occur	nongold
11	temperature is a measure of heat energy	nongold
12	melting is a kind of phase change	nongold
13	melting is a kind of process	nongold
14	to be required means to be necessary	nongold
15	if something causes a process then that something is required for that process	nongold
16	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
17	heat means heat energy	gold
18	both means two	nongold
19	heat means temperature increases	nongold
20	to be used for something means to be required by that something	nongold
21	to pass means to occur	nongold
22	event is similar to occurrence	nongold
23	if liquid is boiling then that liquid is hot	nongold
24	if something is a raw material in a process then that something is required for that process	nongold
25	to add means to increase	gold
26	if an event occurs by adding something then that event requires that something	gold
27	adding heat means increasing temperature	nongold
28	occur is similar to appear	nongold
29	mass has no impact on boiling; melting; freezing point	nongold
30	events occur at a specific place; at a specific time; with a specific frequency	nongold
31	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	an event is a kind of action	nongold
34	to give off means to be the source of	nongold
35	water is a kind of liquid at room temperature	nongold
36	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
37	solid is a kind of state of matter	nongold
38	a process is a kind of event	nongold
39	something that happens is a kind of event	nongold
40	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
41	combustion is a kind of chemical change	nongold
42	a change is a kind of event	gold
43	liquid is a kind of state of matter	nongold
44	a vehicle for something allows; enables that something to occur	nongold
45	take place means happen	nongold
46	to cause means to result in	nongold
47	needing something means depending on that something	nongold
48	to lower means to decrease	nongold
49	hot means high in heat energy; temperature	nongold
50	if something is required for a process then that something positively impacts that process	nongold
51	volume has no impact on boiling; melting; freezing point	nongold
52	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
53	high is similar to increase	nongold
54	an increase is a kind of change	nongold
55	evaporating is a kind of phase change	nongold
56	to keep something occurring means to cause that something to occur	nongold
57	boiling means the volume of a liquid decreases	nongold
58	to add means to combine	nongold
59	heat energy is synonymous with thermal energy	nongold
60	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
61	increase means more	nongold
62	a liquid is a kind of substance	nongold
63	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
64	an increase is the opposite of a decrease	nongold
65	a solid is a kind of substance	nongold
66	a part of a process means a stage in a process	nongold
67	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
68	phase means state	nongold
69	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
70	to produce means to result in	nongold
71	change is a kind of process	nongold
72	gas is a kind of state of matter	nongold
73	a motion is a kind of event; action	nongold
74	if something requires something else then that something requires a source of that something else	nongold
75	a source of something increases the amount of that something	nongold
76	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
77	a process usually requires all of the stages in that process	nongold
78	a reaction is a kind of process	nongold
79	a decrease is a kind of change	nongold
80	water is a kind of matter	nongold
81	variable means able to change	nongold
82	a step in a process means a stage in a process	nongold
83	heat is a kind of energy	nongold
84	combining; mixing two substances chemically causes chemical reactions	nongold
85	to cause an event is similar to being involved in that event	nongold
86	material means substance	nongold
87	to reduce means to decrease	nongold
88	a cycle happens; occurs repeatedly	nongold
89	temperature changing can cause phase changes	nongold
90	less is similar to decrease	nongold
91	to give is similar to to cause	nongold
92	if something is required for something else then that something allows that something else	nongold
93	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
94	to make possible means to be required	nongold
95	combustion is a kind of exergonic reaction	nongold
96	adding heat to an object sometimes causes chemical reactions	nongold
97	a component of something means a part of that something	nongold
98	a hot substance is a source of heat	nongold
99	melting point means temperature at which a solid melts; above which a solid melts	nongold
