Question	The most effective way to show a change happening over time is to display your results using a	question
Answer	line graph.	answer
0	a line graph is used for showing change; data over time	gold
1	a line graph is a kind of graph of connected data points	nongold
2	to show means to display	nongold
3	a graph is used for organizing quantitative information over time	nongold
4	a change is a kind of event	nongold
5	to change means to cause a change	nongold
6	to happen means to occur	nongold
7	to cause means to result in	nongold
8	an event is a kind of action	nongold
9	result means outcome	nongold
10	change is a kind of impact	nongold
11	a circle graph; pie graph is used to describe how part of the data is related to all of the data	nongold
12	affected means changed	nongold
13	an increase is a kind of change	nongold
14	events occur at a specific place; at a specific time; with a specific frequency	nongold
15	image means visual depiction of an object	nongold
16	observations; data are a part of the results of an experiment	nongold
17	if something used to be in the past then that something  has changed	nongold
18	something that happens is a kind of event	nongold
19	a human is a kind of animal	nongold
20	a motion is a kind of event; action	nongold
21	a circle graph; pie graph can be used to display percents; ratios	nongold
22	variable means able to change	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	a cycle happens; occurs repeatedly	nongold
25	action can cause change	nongold
26	a decrease is a kind of change	nongold
27	to show means to present	nongold
28	change is a kind of process	nongold
29	a result of something is evidence of that something	nongold
30	event is similar to occurrence	nongold
31	a process is a kind of event	nongold
32	to be formed by is to be the result of	nongold
33	a unit for measuring time is a kind of time interval	nongold
34	to change means to have an effect	nongold
35	changed is the opposite of unchanged	nongold
36	a landform is a kind of object	nongold
37	a surface is a part of an object	nongold
38	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
39	to produce means to result in	nongold
40	a table is a kind of object	nongold
41	an animal is a kind of organism	nongold
42	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
43	person is synonymous with human	nongold
44	to report means to show	nongold
45	answering questions requires information	nongold
46	forming something is a kind of change	nongold
47	an part of an object is smaller than the entire object	nongold
48	a measure of time is a length of time	nongold
49	a machine is a kind of object	nongold
50	adding something is a kind of change	nongold
51	if the component of something changed , then the whole thing will change	nongold
52	a surface is a kind of object	nongold
53	independent variables are usually placed on the x-axis; horizontal axis of a graph	nongold
54	length of time means period of time	nongold
55	to cause something means to contribute to that something happening	nongold
56	can be means able to be	nongold
57	to vary means to change	nongold
58	usual means happens frequently over long periods of time	nongold
59	to display means to exhibit	nongold
60	an image transmits visual information	nongold
61	movement is a kind of change	nongold
62	the properties of something are used for describing that something	nongold
63	length is a measure of distance from one end of an object to the other end of that object	nongold
64	An example of observing things is taking a picture	nongold
65	unchanged means not changed	nongold
66	product means result	nongold
67	a part of a process means a stage in a process	nongold
68	seeing is used for sensing visual things	nongold
69	measuring is used for describing an object	nongold
70	dependent variables are usually placed on the y-axis; vertical axis of a graph	nongold
71	a tool is a kind of object	nongold
72	a tree is a kind of matter	nongold
73	chemical change is a kind of chemical reaction	nongold
74	Tuesday is a kind of  time	nongold
75	a living thing is a kind of object	nongold
76	the effects of something is a property of that something	nongold
77	desirable result means positive impact	nongold
78	an animal is a kind of living thing	nongold
79	how long something takes is a kind of measurement of time	nongold
80	causing is a kind of affecting	nongold
81	objects are made of materials; substances; matter	nongold
82	chemical change is the opposite of physical change	nongold
83	quickly means in a short period of time	nongold
84	a type is synonymous with a kind	nongold
85	a panel is a kind of object	nongold
86	may happen means having a chance of happening	nongold
87	the eyes are part of the head used for seeing	nongold
88	chemical reactions cause chemical change	nongold
89	the function of something is what that something  is used to do	nongold
90	take place means happen	nongold
91	according to is similar to be determined by	nongold
92	to modify means to change	nongold
93	a physical property is a kind of property	nongold
94	occur is similar to appear	nongold
95	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
96	if something is made by something else then that something is affected by that something else	nongold
97	best means most positive	nongold
98	eyes are a part of a human for seeing	nongold
99	a vehicle for something allows; enables that something to occur	nongold
