Question	Which rapid changes can be caused by storms?	question
Answer	landslides and flooding	answer
0	erosion; storms can cause a landslide	gold
1	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	gold
2	wind and rain; storms cause erosion	nongold
3	storms;rain cause bodies of water to increase amount of water they contain	gold
4	flooding is a kind of change	gold
5	heavy rains cause flooding	nongold
6	a landslide is a kind of natural event	nongold
7	landslides often occur on mountains	nongold
8	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
9	rain causes erosion	nongold
10	rainstorm means rain storm	nongold
11	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
12	a river is a kind of flowing body of water	nongold
13	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
14	An example of stormy weather is rain	nongold
15	erosion is a kind of change	nongold
16	when a body of water receives more water than it can hold , a flood occurs	gold
17	a storm is a source of precipitation	nongold
18	an earthquake changes Earth's surface quickly	nongold
19	soil erosion means soil loss through wind;water; animals	nongold
20	soil erosion is a kind of slow; natural process	nongold
21	when a river floods , that river deposits soil; sediment in flood plains	nongold
22	a storm is usually a source of strong winds	nongold
23	weathering; erosion usually occurs over a period of many years	nongold
24	weathering is a kind of erosion	nongold
25	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
26	an earthquake wave is a kind of wave	nongold
27	an earthquake is a kind of natural; geological event	nongold
28	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
29	soil erosion is a kind of event	nongold
30	storm is a kind of weather; weather event	nongold
31	a thunderstorm is a kind of storm	nongold
32	erosion is a kind of process	nongold
33	rain is a kind of precipitation	nongold
34	to reduce means to decrease	nongold
35	to wash away is a kind of movement by moving water	nongold
36	flood plains are located near rivers	nongold
37	wind causes erosion	nongold
38	to change means to cause a change	nongold
39	rain is a kind of water	nongold
40	a hurricane is a kind of storm	nongold
41	flowing is a kind of motion	nongold
42	erosion is a kind of destructive force	nongold
43	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
44	break down means change from a whole into pieces	nongold
45	rainfall means precipitation	nongold
46	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
47	extreme means very high in value	nongold
48	to happen means to occur	nongold
49	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
50	an earthquake causes the ground to shake	nongold
51	to lower means to decrease	nongold
52	due to means caused by	nongold
53	earthquake causes seismic waves	nongold
54	precipitation is a kind of natural occurrence; cause	nongold
55	a decrease is a kind of change	nongold
56	a change is a kind of event	nongold
57	erosion of soil has a  negative impact on the environment; soil quality	nongold
58	an increase is a kind of change	nongold
59	as elevation of a place decreases , how much a flood will affect that place will increases	nongold
60	rapidly means quickly	nongold
61	weathering is a kind of process	nongold
62	precipitation is when water falls from the sky	nongold
63	damming a river can cause a lake to form	nongold
64	high is similar to increase	nongold
65	a body of water contains water	nongold
66	breaking down is a kind of forming	nongold
67	low is similar to decrease	nongold
68	buildings collapsing often causes death	nongold
69	erosion causes a river to become deeper and wider	nongold
70	weathering occurs at the surface of the Earth	nongold
71	lightning occurs during lightning storms; thunderstorms	nongold
72	a body of water is a kind of environment	nongold
73	affected means changed	nongold
74	rainfall means the amount of precipitation	nongold
75	a stream is a kind of body of water	nongold
76	to slow; to slow down decreases speed	nongold
77	events occur at a specific place; at a specific time; with a specific frequency	nongold
78	to add means to increase	nongold
79	quickly means in a short period of time	nongold
80	loss means reduction	nongold
81	erosion usually causes harm to the environment	nongold
82	to cause the formation of means to form	nongold
83	rain is a source of water	nongold
84	loss is a kind of change	nongold
85	An example of movement is washing away	nongold
86	fast means quickly	nongold
87	a body of water is a source of water	nongold
88	a floodplain is a kind of land; landform	nongold
89	most canyons are formed by flowing rivers through erosion over long periods of time	nongold
90	rainwater is a kind of water	nongold
91	creating is similar to causing	nongold
92	to cause an event is similar to being involved in that event	nongold
93	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
94	impact means effect	nongold
95	soil is formed by rocks eroding	nongold
96	to limit means to decrease	nongold
97	a type is synonymous with a kind	nongold
98	to cause is similar to bring	nongold
99	sinkholes; caves are formed by precipitation; infiltration	nongold
