Question	Which feature of some young birds helps them avoid becoming prey before they learn to fly?	question
Answer	speckled brown coloring that looks like leaves	answer
0	feature is synonymous with characteristic	nongold
1	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
2	speckled is a kind of color pattern	gold
3	avoiding  predators is synonymous with avoiding being eaten	nongold
4	An example of camouflage is an organism looking like leaves	gold
5	leaves are sometimes brown in color	gold
6	a leaf is often green in color	nongold
7	escape means avoid	nongold
8	a speck is a kind of solid object	nongold
9	brown is a kind of color	gold
10	become prey means get eaten	gold
11	a leaf is a kind of plant	nongold
12	a leaf is a part of a  green plant	nongold
13	a leaf is a kind of object	nongold
14	An example of camouflage is when an organism looks like its environment	nongold
15	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
16	some birds are predators	nongold
17	coloration means a thing's color	nongold
18	a bird is a kind of living thing	nongold
19	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
20	predators eat prey	gold
21	to look like means to have the visual properties of	nongold
22	a predator avoiding some types of prey is a learned behavior	nongold
23	coloration means a pattern of colors	gold
24	an animal is a kind of living thing	nongold
25	coloration is a kind of adaptation for hiding;camouflage	nongold
26	a plant; living thing requires food for survival	nongold
27	brown is dark in color	nongold
28	avoiding is similar to preventing	nongold
29	green is a kind of color	nongold
30	a leaf performs photosynthesis; gas exchange	nongold
31	resemble means look like	nongold
32	An example of camouflage is when something is; has the same color as its environment	gold
33	avoiding something requires sensing that something	nongold
34	a property of something is a feature of that something	gold
35	a structure is a kind of feature	nongold
36	camouflage is a kind of protection against predators; from predators; against consumers	gold
37	a predator is a kind of animal	nongold
38	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
39	color is a kind of physical; visual property	nongold
40	a predator eats other animals for food	nongold
41	prey  is a kind of animal	nongold
42	avoiding means doing something less	nongold
43	color is a property of  an object; a material	gold
44	a plant is a kind of living thing	nongold
45	a leaf is a part of a tree	nongold
46	a bird is a kind of animal	gold
47	a living thing is a kind of object	gold
48	trait is synonymous with characteristic	nongold
49	an animal; living thing requires nutrients for survival	nongold
50	helping something has a  positive impact on that something	nongold
51	appearance is a property of objects; materials	nongold
52	a fly is a kind of insect	nongold
53	looking like is similar to camouflaging as	nongold
54	adult birds usually fly	nongold
55	a land feature is a kind of physical characteristic	nongold
56	an insect is a kind of prey	nongold
57	eating prey requires catching prey	nongold
58	an animal is a kind of organism	gold
59	a learned characteristic is a kind of acquired characteristic	nongold
60	characteristic means property	nongold
61	camouflage can be used for hunting for prey; food	nongold
62	prey is a kind of food for predators	nongold
63	killing means harming something causing death	nongold
64	how something  appears is how that something  looks	nongold
65	to be used  for something means to help to do that something	nongold
66	the colors of parts of an organism are inherited characteristics	nongold
67	trait means property	nongold
68	a plant is a kind of organism	nongold
69	if a living thing requires something then that something has a positive impact on that living thing	nongold
70	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
71	an organism is a living thing	gold
72	birds sometimes eat insects	nongold
73	the color of an environment means the color of the things that environment contains	nongold
74	to help; to benefit means to be of use	nongold
75	an adaptation is an adaptive feature	nongold
76	a leaf is small in size	nongold
77	to prey on an animal means to eat that animal	nongold
78	avoiding is a kind of conditioned behavior	nongold
79	what an object is made of is a kind of characteristic	nongold
80	most predators live in; live near the same environment as their prey	nongold
81	yellow is a kind of color	nongold
82	flying is a kind of locomotion	nongold
83	blue is a kind of color	nongold
84	resemble means similar characteristics	nongold
85	a part of something means a characteristic of something	nongold
86	a structure of something is synonymous with a part of that something	nongold
87	spotted is a kind of color pattern	nongold
88	eating an animal; a plant means killing that animal; that plant	gold
89	flying is a kind of motion through air; space	nongold
90	if two things have the same features then those two things are alike	nongold
91	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal	nongold
92	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
93	avoiding is a kind of defense	nongold
94	leaves changing color is a kind of process	nongold
95	colorless means no color	nongold
96	shape is a kind of characteristic	nongold
97	orange is a kind of color	nongold
98	dark means dark in color	nongold
99	survive means live	nongold
