Question	Plants use nutrients found in soil. Which of these can break down in soil and become nutrients?	question
Answer	leaves	answer
0	a leaf is a kind of plant	nongold
1	soil contains nutrients for plants	nongold
2	a leaf performs photosynthesis; gas exchange	nongold
3	a leaf is a part of a  green plant	nongold
4	a plant; living thing requires nutrients to grow	nongold
5	found in means existing in	nongold
6	to be found in means to be contained in	nongold
7	often soil is found in an environment	nongold
8	a plant is a kind of living thing	nongold
9	a leaf is a part of a tree	gold
10	vegetation means plants	nongold
11	a plant requires soil for survival; to grow	nongold
12	an animal; living thing requires nutrients for survival	nongold
13	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
14	a plant is a kind of organism	gold
15	if something is a part of something then that something can be found in that something	nongold
16	a leaf absorbs sunlight to perform photosynthesis	nongold
17	a plant; living thing requires food for survival	nongold
18	weeds use up nutrients	nongold
19	roots are a part of a plant; tree	nongold
20	dissolving is similar to breaking down	nongold
21	to depend on; to rely on; to need means to require	nongold
22	a food contains nutrients for living things	nongold
23	a leaf is a kind of object	nongold
24	to be used for something means to be required by that something	nongold
25	a leaf is a kind of plant organ	nongold
26	crumble means break down	nongold
27	breaking down is a kind of forming	nongold
28	soil is found on the surface of the Earth	nongold
29	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
30	green plants are a kind of producer	nongold
31	nutrients are a kind of substance	nongold
32	nutrients are a kind of matter	nongold
33	nutrients are a kind of material	nongold
34	soil is a kind of material	nongold
35	a tree is a kind of plant	gold
36	separating is similar to breaking	nongold
37	an organism is a living thing	nongold
38	if something breaks , then that something cannot be used	nongold
39	life means living things	nongold
40	to digest means to break down food	nongold
41	soil is usually part of an environment	nongold
42	if something causes a process then that something is required for that process	nongold
43	to break down means to break into smaller pieces	nongold
44	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
45	answering questions requires information	nongold
46	breaking down is a kind of function	nongold
47	nutrients are a kind of resource	nongold
48	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
49	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
50	plants are a kind of resource	nongold
51	becoming is similar to changing	nongold
52	to split means to break down	nongold
53	roots anchor plants into the soil	nongold
54	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	gold
55	can be means able to be	nongold
56	consumption means use	nongold
57	break down means change from a whole into pieces	nongold
58	if a living thing requires something then that something has a positive impact on that living thing	nongold
59	a plant requires photosynthesis to grow; survive	nongold
60	made of is similar to contains	nongold
61	separate is similar to break down	nongold
62	a plants; living things require water for survival; to grow	nongold
63	break down is the opposite of put together	nongold
64	contains means located in	nongold
65	if something is made of something else then that something can be broken down into that something else	nongold
66	if some nutrients are in the soil then those nutrients are in the food chain	nongold
67	crops are a kind of edible plant for eating	nongold
68	plant and animal matter means organic matter	nongold
69	renewing soil increases nutrients in the soil	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	an animal is a kind of living thing	nongold
72	a plant's  roots slowly break down rocks as the roots grow	nongold
73	crops grow in soil	nongold
74	nitrogen is a kind of nutrient for plant growth	nongold
75	most chloroplasts are found in the leaves of a plant	nongold
76	to be formed by is similar to being produced by	nongold
77	erosion sometimes decreases the amount of nutrients in soil	nongold
78	a nutrient is a kind of object	nongold
79	dead plants means dead plant material	nongold
80	high is similar to increase	nongold
81	material means substance	nongold
82	if something is made of something; a material then that something contains that something; that material	nongold
83	the function of something is what that something  is used to do	nongold
84	to give is similar to to cause	nongold
85	all living things grow	nongold
86	In the erosion process roots of plants are an inhibitor	nongold
87	becoming is a kind of action	nongold
88	becoming is similar to forming	nongold
89	can means having the ability to	nongold
90	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
91	a living thing is a kind of object	nongold
92	if something is required for a process then that something positively impacts that process	nongold
93	crops; farming cause nutrients in the soil to decrease	nongold
94	break apart means break down	nongold
95	a tree is a kind of matter	nongold
96	a component means a part of	nongold
97	soil is a kind of nonliving thing	nongold
98	an animal is a kind of organism	nongold
99	made up of means contains; made of	nongold
