Question	Which of the following represents the velocity of a moving object?	question
Answer	40 m/s north	answer
0	a velocity is a measure of a speed in a direction	gold
1	motion; movement means moving; to move	nongold
2	motion is when moves an object; something to a direction	nongold
3	moving is similar to travelling	nongold
4	distance moved; distance travelled is a measure of how far an object moves	nongold
5	speed is a measure of how fast an object is moving	nongold
6	travel means to move	nongold
7	setting is a kind of motion	nongold
8	rotation is a kind of motion	nongold
9	speed is a property of an object and includes values of slow; fast	nongold
10	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	gold
11	a motion is a kind of event; action	nongold
12	movement is a kind of change	nongold
13	moving changes position	nongold
14	revolving is a kind of motion	nongold
15	m/s means meters per second	gold
16	a rotation is a kind of movement	nongold
17	affected means changed	nongold
18	measuring is used for describing an object	nongold
19	high is similar to increase	nongold
20	rising is a kind of motion	nongold
21	objects are made of materials; substances; matter	nongold
22	an increase is a kind of change	nongold
23	to add means to increase	nongold
24	a surface is a part of an object	nongold
25	variable means able to change	nongold
26	movements of celestial bodies are a kind of event	nongold
27	furthest; farthest means greatest; most; highest in distance	nongold
28	a vehicle is a kind of object	nongold
29	to slow; to slow down decreases speed	nongold
30	sliding is a kind of motion	nongold
31	rotating is similar to moving	nongold
32	north is the opposite of south	nongold
33	lowering is a kind of motion	nongold
34	rolling is a kind of motion	nongold
35	distance is a property of space and includes ordered values of close; far	nongold
36	faster means an increase; higher in speed	nongold
37	vibration is a kind of motion	nongold
38	a planet is a kind of celestial object; body	nongold
39	pulling is a kind of motion	nongold
40	answering questions requires information	nongold
41	a star is a kind of celestial object; celestial body	nongold
42	as an object is moving down , the speed of the object  will increase	nongold
43	a surface is a kind of object	nongold
44	a force continually acting on an object in the same direction that the object is moving can cause that object's speed to increase in a forward motion	nongold
45	raising is a kind of motion	nongold
46	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
47	greater means higher; more in value	nongold
48	walking is a kind of motion	nongold
49	a rock is a kind of object	nongold
50	counter means reduce; stop; resist	nongold
51	an part of an object is smaller than the entire object	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	turning is a kind of motion	nongold
54	south; southward is a kind of direction	nongold
55	a force acting on an object in the opposite direction that the object is moving can cause that object's speed to decrease in a forward motion	nongold
56	north; northward is a kind of direction	gold
57	a particle is a kind of object	nongold
58	low means low in elevation; height; altitude	nongold
59	if an object accelerates then that object will go faster	nongold
60	far means great in distance	nongold
61	flowing is a kind of motion	nongold
62	an object is made of its parts	nongold
63	a landform is a kind of object	nongold
64	when an object moves , that object loses its relative fixed position	nongold
65	calculating speed requires knowing distance travelled	nongold
66	a change is a kind of event	nongold
67	constant means not changing	nongold
68	an event is a kind of action	nongold
69	increase means more	nongold
70	extreme means very high in value	nongold
71	the properties of something are used for describing that something	nongold
72	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
73	to reduce means to decrease	nongold
74	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
75	deflection is when something changes its moving direction	nongold
76	as force exerted on an object increases , distance travelled will increase	nongold
77	an increase is the opposite of a decrease	nongold
78	sliding is a kind of movement	nongold
79	a moving object continues to move in the same direction at constant speed unless additional forces are applied	nongold
80	phase means state	nongold
81	skidding is a kind of motion	nongold
82	pushing is a kind of motion	nongold
83	matter; materials; substances are made of atoms; particles	nongold
84	a living thing is a kind of object	nongold
85	force causes the speed of an object to increase; to decrease	nongold
86	shaking is a kind of motion	nongold
87	upward is a kind of direction	nongold
88	falling means moving downward	nongold
89	to lower means to decrease	nongold
90	motion is a source of kinetic energy in an object	nongold
91	particles in objects are a kind of matter	nongold
92	hitting is a kind of motion	nongold
93	downward is a kind of direction	nongold
94	far is the opposite of close	nongold
95	flying is a kind of motion through air; space	nongold
96	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
97	toward is a kind of direction	nongold
98	speed up means increase	nongold
99	a wave is a kind of object	nongold
