Question	Which best describes two organ systems working together to help maintain homeostasis?	question
Answer	The muscles of the chest tighten to push carbon dioxide out of the lungs.	answer
0	the lungs are a part of the respiratory system	gold
1	a lung is a kind of organ for breathing air	nongold
2	the respiratory system is a kind of human; organ; body system	gold
3	the muscular system is a kind of body; organ system	gold
4	an organ system is made of different parts of the body working together	nongold
5	push out means expel	gold
6	muscles push; pull bones to move the bones	nongold
7	tightening muscles in the chest can be used to exhale	gold
8	maintaining homeostasis requires respiration	gold
9	the lungs are a part of the body of an animal used for breathing air	nongold
10	breathing out is when animals exhale carbon dioxide from their lungs into the air	gold
11	the muscular system contains muscles	gold
12	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
13	the respiratory system takes in oxygen from the air	nongold
14	exhaling  is when an animal expels air from the lungs	gold
15	carbon dioxide is a kind of gas	nongold
16	to exhale means to release	nongold
17	the respiratory system performs respiration	gold
18	pushing is a kind of motion	nongold
19	organ system means body system	nongold
20	carbon dioxide can be found in the air	nongold
21	a heart is a kind of organ	nongold
22	homeostasis is the stable condition of an organism's internal environment	gold
23	pulling is a kind of motion	nongold
24	blood absorbs oxygen in the lungs	nongold
25	animals are a source of carbon dioxide by exhaling	nongold
26	breathing is a kind of process	nongold
27	to breathe in means to absorb air	nongold
28	atmosphere means  air	nongold
29	breathing in is when animals inhale air into their lungs	nongold
30	breathing is when animals convert oxygen into carbon dioxide	nongold
31	air is a kind of gas	nongold
32	carbon dioxide is more dense than air	nongold
33	a body system is a part of the body; an animal	nongold
34	a heart is a part of the body	nongold
35	the diaphragm is a part of the respiratory system	nongold
36	the mouth is a part of the respiratory system	nongold
37	breathing is a kind of  function	nongold
38	pushing something can cause that something  to move	nongold
39	the stomach is a kind of organ	nongold
40	to work means to function	nongold
41	push is a kind of force; application of force	nongold
42	helping something has a  positive impact on that something	nongold
43	converting is similar to releasing	nongold
44	oxygen is a kind of gas at room temperature	nongold
45	muscle tissue is a kind of tissue	nongold
46	the body is a part of an organism	nongold
47	the absorption of oxygen through the blood occurs in the lungs	nongold
48	the skeletal system is a kind of body system	nongold
49	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
50	helping bodily processes has a positive impact on an animal; an animal's health	nongold
51	the respiratory system transfers oxygen to the circulatory system	nongold
52	the atmosphere contains gases; liquids; solids	nongold
53	the nervous system is a kind of body; organ system	nongold
54	being pushed together is similar to colliding	nongold
55	the integumentary system is a kind of body; organ system	nongold
56	the properties of something are used for describing that something	nongold
57	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
58	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
59	an increase is the opposite of a decrease	nongold
60	to emit means to release	nongold
61	the bladder is a part of the body	nongold
62	high is similar to increase	nongold
63	bringing oxygen to the body is a kind of function	nongold
64	internal organs are a part of the body	nongold
65	to add means to increase	nongold
66	producing is similar to releasing	nongold
67	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
68	both means two	nongold
69	the muscular and nervous systems working together causes a reflex	nongold
70	to be used  for something means to help to do that something	nongold
71	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
72	the heart is mostly made of muscle	nongold
73	an animal; bacterium requires oxygen for survival; to breathe	nongold
74	oxygen has a positive impact on air quality	nongold
75	an animal is a kind of living thing	nongold
76	an animal is a kind of organism	nongold
77	a skeletal system is a part of an animal	nongold
78	a body system is a kind of object	nongold
79	an organism is a living thing	nongold
80	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
81	oxygenated means having oxygen	nongold
82	best means most positive	nongold
83	lungs are used for breathing air by land animals; birds	nongold
84	an animal requires air for survival	nongold
85	CO2 means carbon dioxide	nongold
86	gas is a kind of substance	nongold
87	to maintain means to not change	nongold
88	helping means something can be done; completed more easily; better	nongold
89	the air is a kind of substance	nongold
90	muscle cells are a part of muscles	nongold
91	a human is a kind of animal	nongold
92	the circulatory system is a kind of human; organ; body system	nongold
93	the endocrine system is a kind of body; organ system	nongold
94	a component means a part of	nongold
95	breath contains water vapor	nongold
96	a skeletal system is a part of an animal for providing support; providing shape; providing protection	nongold
97	maintain is similar to control	nongold
98	to slow; to slow down decreases speed	nongold
99	motion; movement means moving; to move	nongold
