Question	Cells that conduct messages are known as	question
Answer	nerve cells	answer
0	nerve cells conduct messages in the body	gold
1	a nerve cell is a kind of cell	gold
2	nerves carry messages from sensory organs to the brain	nongold
3	nerves are made of nerve cells	nongold
4	conducting is a kind of function	nongold
5	carrying is similar to conducting	nongold
6	to conduct is similar to to transfer	nongold
7	a neuron is a kind of nervous system cell	nongold
8	a cell is a kind of object	nongold
9	electrical signals are made of electrical energy	nongold
10	sensory organs are used for sensing	nongold
11	a vehicle transmits something	nongold
12	a cell nucleus is a part of a cell	nongold
13	a living thing is made of cells	nongold
14	the endocrine system carries messages from the body to the brain	nongold
15	cells are a part of the body	nongold
16	the nervous system contains nerves	nongold
17	nervous system is an electrical; electric conductor	nongold
18	the function of something is what that something  is used to do	nongold
19	a cell is very small	nongold
20	answering questions requires information	nongold
21	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
22	the nervous system sends observations in the form of electrical signals to the rest of the body	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	cells are a smaller level of organization than tissues in living things	nongold
25	cell activity means cell process	nongold
26	the nervous system is a part of the body of an animal	nongold
27	talking is when a human produces sound to communicate	nongold
28	a brain is a kind of internal organ	nongold
29	a telephone is a kind of electrical device for communication	nongold
30	a plant cell is a kind of cell	nongold
31	conduction is a kind of process	nongold
32	emit means send out	nongold
33	the nervous system is a kind of body; organ system	nongold
34	organs are made of different types of  cellular tissues	nongold
35	cells working together requires cells to specialize	nongold
36	a telephone is used for communication by humans over long distances	nongold
37	if something transfers something else then that something is a source of something else	nongold
38	an animal is a kind of living thing	nongold
39	transporting is a kind of function	nongold
40	can be means able to be	nongold
41	if something is passed down to something else then that something else receives that something	nongold
42	a brain is a part of an animal	nongold
43	the cell membrane is a part of a cell	nongold
44	to send means to transfer	nongold
45	the cell nucleus controls many of the functions of the cell	nongold
46	a human cell is a kind of cell	nongold
47	electrical impulses are a kind of electrical energy	nongold
48	sound can be used for communication by animals	nongold
49	the nucleus is a kind of cell organelle	nongold
50	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
51	if something is transported to something else then that something else receives that something	nongold
52	electrical energy is a kind of energy	nongold
53	something that is used for communication increases communication	nongold
54	conducting is similar to exchanging	nongold
55	a mechanism is a kind of system that performs a function	nongold
56	an event is a kind of action	nongold
57	receive means get	nongold
58	a process is a kind of event	nongold
59	obtain is similar to receive	nongold
60	communicating means sharing information	nongold
61	a plant is made of plant cells	nongold
62	the brain is a part of the body	nongold
63	muscle cells are a part of muscles	nongold
64	the brain is a part of the central nervous system	nongold
65	a telephone is a kind of technology	nongold
66	all living things are made of cells according to the cell theory	nongold
67	speaking is a kind of communication	nongold
68	to provide something means to be the source of that something	nongold
69	a human is a kind of animal	nongold
70	all cells perform cellular respiration	nongold
71	electricity means electrical energy	nongold
72	an animal cell is a kind of cell	nongold
73	an organism is a living thing	nongold
74	a body cell means a somatic cell	nongold
75	an image transmits visual information	nongold
76	telephones are used for communication by two people by transmitting sound	nongold
77	the neuron is the smallest functional unit; structural unit of the nervous system	nongold
78	plants are a source of fibers	nongold
79	a cell absorbs nutrients	nongold
80	providing is a kind of function	nongold
81	conductivity is a measure of how easily electricity travels through a material	nongold
82	electrocution causes harm to an organism	nongold
83	communication has a positive impact on a person's life	nongold
84	to be a vehicle for is a kind of function	nongold
85	internal organs are a part of the body	nongold
86	a wire is a part of an electrical circuit for conducting electricity	nongold
87	a device is a kind of object	nongold
88	hearing is used for sensing sound by animals	nongold
89	an insulator is the opposite of a conductor	nongold
90	ringing is a kind of action	nongold
91	where something  comes from is a source of that something	nongold
92	a cell membrane is a kind of cell structure	nongold
93	language is a kind of communication	nongold
94	a radio is used for communication	nongold
95	a type is synonymous with a kind	nongold
96	conductivity is a property of a material; substance	nongold
97	the body is a part of an organism	nongold
98	emit means produce	nongold
99	a living thing is a kind of object	nongold
