Question	Joel made some measurements and recorded this data: Sample 1 - 45 mL Sample 2 - 15 mL Sample 3 - 30 mL Sample 4 - 20 mL Which of these tools would most likely have been used to obtain these measurements?	question
Answer	graduated cylinder	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	instrument means tool	gold
3	a graduated cylinder is a kind of container	nongold
4	to gain means to obtain	nongold
5	to obtain means to get	nongold
6	an instrument is a piece of equipment	nongold
7	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
8	a rain gauge is a kind of graduated cylinder	nongold
9	recording an observation sometimes requires measuring	nongold
10	a tool is a kind of object	nongold
11	device means tool	nongold
12	a measurement is a kind of data	nongold
13	instrument means device	nongold
14	length is a part of size	nongold
15	measuring sometimes requires  recording; learning an amount	nongold
16	recording is similar to measuring	nongold
17	density is a measure of mass of an object over volume; divided by volume	nongold
18	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
19	mL means milliliters	gold
20	calculation means measurement	nongold
21	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
22	measuring requires reading a measurement	gold
23	a human is a kind of animal	nongold
24	a meter is a kind of unit for measuring distance; measuring length	nongold
25	something is used for that something's purpose	nongold
26	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
27	John is a name for a human	nongold
28	recording data is similar to showing data	nongold
29	to measure means to calculate	nongold
30	length is a property of the shape of an object	nongold
31	length is a measure of distance from one end of an object to the other end of that object	nongold
32	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
33	a simple machine is a kind of tool	nongold
34	obtain is similar to receive	nongold
35	height is a property of the size of an object	nongold
36	the volume of an object can be used to describe  the size of that object	nongold
37	mass is a measure of the amount of matter in an object	nongold
38	a machine is a kind of object	nongold
39	height is a measure of length from the top of an object to the bottom of an object	nongold
40	to be used for something means to be required by that something	nongold
41	mass is similar to size	nongold
42	experimentation requires measuring	nongold
43	mass; weight is a property of matter; objects; materials	nongold
44	an part of an object is smaller than the entire object	nongold
45	an event is a kind of action	nongold
46	mass is a property of objects; matter	nongold
47	can be means able to be	nongold
48	catching something is synonymous with obtaining that something	nongold
49	measuring is used for describing an object	nongold
50	sample is similar to small amount of substance; matter	nongold
51	lab equipment is often used for measuring; observing	nongold
52	observations; data are a part of the results of an experiment	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
55	objects are made of materials; substances; matter	nongold
56	often is similar to likely	nongold
57	a centimeter is used for measuring short lengths; short distances	nongold
58	meters;centimeters;kilometers are used to describe distance; describe length	nongold
59	if something performs a task then that task is that something's function	nongold
60	a centimeter is a kind of unit of measurement	nongold
61	a measure of time is a length of time	nongold
62	determining often requires measuring; observing	nongold
63	thickness is  a measure of how thick an object  is	nongold
64	a tape measure is a kind of tool for measuring distance; measuring length	nongold
65	a kilogram is a kind of unit for measuring mass	nongold
66	an animal is a kind of living thing	nongold
67	data means information	nongold
68	an animal is a kind of organism	nongold
69	if an object is made of a material then that object has the properties of that material	nongold
70	the function of something is what that something  is used to do	nongold
71	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
72	variable means able to change	nongold
73	a living thing is a kind of object	nongold
74	a calculator is a kind of tool	nongold
75	Jonny is a name for a human	nongold
76	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
77	structure is a property of an object; a material; a substance	nongold
78	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
79	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
80	useful means able to be used	nongold
81	a magnifying glass is a kind of tool for observing small things	nongold
82	inventing a tool allows; enables that tool to be used	nongold
83	volume is a property of matter	nongold
84	density is a kind of physical property	nongold
85	a process is a kind of event	nongold
86	a gram  is a kind of unit for measuring mass	nongold
87	the number of parts of something is a property of that something	nongold
88	a type is synonymous with a kind	nongold
89	an object is made of its parts	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	mass is a kind of information	nongold
92	affected means changed	nongold
93	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
94	a meter stick is a kind of tool for measuring length; measuring distance	nongold
95	answering questions requires information	nongold
96	measures of length; measures of distance are used to measure the amount of rainfall	nongold
97	length of time means period of time	nongold
98	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
99	distance moved; distance travelled is a measure of how far an object moves	nongold
