Question	Which type of force requires contact between two objects for one to push or pull the other?	question
Answer	frictional forces slowing down a rolling soccer ball	answer
0	pushing an object requires force	nongold
1	a soccer ball is a kind of ball	nongold
2	a type is synonymous with a kind	gold
3	push is a kind of force; application of force	nongold
4	friction is a kind of force	gold
5	friction occurs when two object's surfaces move against each other	nongold
6	to slow; to slow down decreases speed	gold
7	a roll is a kind of movement	nongold
8	rolling is a kind of motion	gold
9	friction exerts force on moving objects	nongold
10	rolling down is similar to falling	nongold
11	a force is a kind of push or pull on an object	nongold
12	pushing is a kind of motion	gold
13	friction acts to counter the motion of two objects when their surfaces are touching	gold
14	a pull is a kind of force	nongold
15	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
16	if an object slides across another object then those objects are touching	nongold
17	rolling over is a kind of action	nongold
18	mechanical energy exerted by an object can be used to push or pull another object	nongold
19	a ball is a kind of object	gold
20	friction causes the speed of an object to decrease	nongold
21	skidding causes friction	nongold
22	friction causes speed to decrease	nongold
23	requiring something means needing that something	nongold
24	an object being pushed across another object causes their surfaces to move against each other	nongold
25	pushing something can cause that something  to move	nongold
26	requiring is similar to needing help	nongold
27	a surface is a part of an object	gold
28	a softball is a kind of ball	nongold
29	pulling is a kind of motion	gold
30	a surface is a kind of object	nongold
31	motion; movement means moving; to move	nongold
32	reducing is similar to slowing	nongold
33	friction causes an object to lose energy	nongold
34	to touch means to contact	gold
35	hitting is a kind of motion	nongold
36	force causes the speed of an object to increase; to decrease	nongold
37	a kick is a kind of push	nongold
38	to be required means to be necessary	nongold
39	an increase is a kind of change	nongold
40	if an object is kicked then force is exerted on that object	nongold
41	counter means reduce; stop; resist	gold
42	stopping a moving object changes kinetic energy into potential energy	nongold
43	as the mass of an object increases , the force required to push that object will increase	nongold
44	mechanical force is a kind of mechanical energy	nongold
45	to be used for something means to be required by that something	nongold
46	rubbing against something is a kind of contact	nongold
47	force requires energy	nongold
48	a motion is a kind of event; action	nongold
49	friction converts mechanical energy into heat energy	nongold
50	a surface is a part of a material	nongold
51	sliding is a kind of motion	nongold
52	non-contact forces can affect objects that are not touching	nongold
53	sliding is a kind of movement	nongold
54	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
55	motion is a source of kinetic energy in an object	nongold
56	downward means down	nongold
57	objects are made of materials; substances; matter	nongold
58	touching is when a body part makes contact with the surface of an object	nongold
59	An example of mechanical energy is an object in motion	nongold
60	if an object accelerates then that object will go faster	nongold
61	low means down	nongold
62	hitting something causes harm to that something	nongold
63	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
64	mechanical energy can  cause objects to move	nongold
65	as an object is moving down , the speed of the object  will increase	nongold
66	kinetic energy is a kind of mechanical energy	nongold
67	to reduce means to decrease	gold
68	speed is a measure of how fast an object is moving	nongold
69	movement is a kind of change	nongold
70	skidding is a kind of motion	nongold
71	round objects roll	nongold
72	An example of hitting something is dropping an object onto that something	nongold
73	speed up means increase	nongold
74	a type of something is a kind of property of that something	nongold
75	as an object moves faster , the kinetic energy of that object will increase	nongold
76	change is a kind of impact	nongold
77	high is similar to increase	nongold
78	additional force is similar to outside force	nongold
79	An example of an object with kinetic energy is an object in motion	nongold
80	rubbing  is a kind of motion	nongold
81	gravity accelerates an object while that object falls by pulling on it	nongold
82	a slide is a kind of object	nongold
83	if one is holding an object then one is touching that object	nongold
84	if something strikes an object then that something may bounce off of that object	nongold
85	colliding is a kind of touching	nongold
86	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
87	pull is similar to attract	nongold
88	being pushed together is similar to colliding	nongold
89	friction is used for stopping a vehicle by brakes	nongold
90	as roughness of a surface increases , friction will increase	nongold
91	tossing  a ball in the air cannot form a source of vibration	nongold
92	a decrease is a kind of change	nongold
93	exerting force on an object means a force acts on an object	nongold
94	gravitational fore is a kind of non-contact force	nongold
95	to depend on; to rely on; to need means to require	nongold
96	when a force is applied to an object , that force is acting on that object	nongold
97	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
98	both means two	nongold
99	lowering is a kind of motion	nongold
