Question	Which relationship results in the highest level of evaporation from Earth's water reservoirs?	question
Answer	greatest surface area and most direct sunlight	answer
0	greatest means largest; highest; most amount of something	gold
1	a water reservoir contains; stores water	nongold
2	a reservoir is a kind of body of water	gold
3	lowest means least in value; amount; number	nongold
4	as the surface area of a body of water increases , evaporation of that body of water will increase	gold
5	least is the opposite of greatest	nongold
6	higher means greater; above in value; amount; number	nongold
7	furthest; farthest means greatest; most; highest in distance	nongold
8	highest means largest; greatest; most in height	nongold
9	largest means greatest in size	nongold
10	greater means higher; more in value	nongold
11	to receive sunlight means to absorb sunlight	nongold
12	less is similar to decrease	nongold
13	sunlight means solar energy	nongold
14	high is similar to increase	gold
15	sunlight produces heat	nongold
16	an increase is the opposite of a decrease	nongold
17	receiving sunlight  is synonymous with absorbing sunlight	nongold
18	evaporation causes amount of water to decrease	nongold
19	sunlight is a kind of solar energy	nongold
20	sunlight is a kind of light	nongold
21	water is a kind of liquid at room temperature	gold
22	to lower means to decrease	nongold
23	level is similar to amount; quantity	nongold
24	lower means less	nongold
25	to cause means to result in	nongold
26	increase means more	gold
27	low is similar to decrease	nongold
28	a source of something increases the amount of that something	nongold
29	intensity of sunlight is similar to amount of sunlight	nongold
30	temperature is a measure of heat energy	gold
31	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
32	if something emits something else then that something increases the amount of that something else	nongold
33	a surface is a part of a material	nongold
34	evaporation is a kind of process	nongold
35	heat means heat energy	nongold
36	an environment means an area	nongold
37	water is a kind of substance	nongold
38	to reduce means to decrease	nongold
39	sunshine means sunlight	nongold
40	the water at the surface of the ocean absorbs more sunlight than the water at the bottom of the ocean	nongold
41	solar energy is a kind of heat energy	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	absorbing sunlight causes objects to heat	nongold
44	low is the opposite of high	nongold
45	less is the opposite of more	nongold
46	to add means to increase	gold
47	Earth is a kind of planet	nongold
48	most means over 50% of something	nongold
49	an increase is a kind of change	nongold
50	where something  comes from is a source of that something	nongold
51	if two or more things are in a relationship then those things impact each other	nongold
52	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
53	bodies of water are located on Earth's surface	nongold
54	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
55	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
56	the sun causes water to evaporate more quickly by adding heat	nongold
57	a wall is a kind of surface	nongold
58	if something comes from something else then that something else is a source of that something	nongold
59	a liquid is a kind of substance	nongold
60	a surface is a part of an object	nongold
61	water is a kind of natural resource	nongold
62	water is a kind of natural resource	nongold
63	high means a lot of something	nongold
64	evaporation is a stage in the water cycle process	nongold
65	a decrease is a kind of change	nongold
66	as the amount of water in a body of water increases , the amount of water  evaporated from the body of water will increase	nongold
67	a relationship occurs when two or more things interact with one another	nongold
68	extreme means very high in value	nongold
69	a surface is a kind of object	nongold
70	when sunlight strikes something , that something receives sunlight	nongold
71	area is similar to location	nongold
72	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
73	to produce means to result in	nongold
74	if something exists on a surface then that surface contains that something	nongold
75	a body of water contains water	nongold
76	an object; material; substance comes from that object or material's source	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	to limit means to decrease	nongold
79	evaporation is when water is drawn back up into the air in the water cycle	nongold
80	a body of water is a source of water	nongold
81	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
82	the sun is a source of radiation; heat called sunlight	nongold
83	glaciers are a kind of major reservoir for fresh water	nongold
84	if something transfers something else then that something is a source of something else	nongold
85	the ground means Earth's surface	nongold
86	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
87	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
88	largest amount means most	nongold
89	affected means changed	nongold
90	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
91	if one surface; one substance; one object touches something then one is exposed to that something	nongold
92	heat means temperature increases	nongold
93	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
94	as the amount of water in a body of water increases , the water levels will rise; increase especially at the edge of that body of water	nongold
95	the atmosphere is a kind of area	nongold
96	if sunlight is blocked from an area then that area lacks sunlight	nongold
97	less means a reduced amount	nongold
98	larger means greater; higher; more; increase in size	nongold
99	the sun is the source of solar energy called sunlight	nongold
