Question	Which type of energy conversion occurs in a flashlight?	question
Answer	chemical to light	answer
0	a flashlight converts electrical energy; electricity into light energy	gold
1	a type is synonymous with a kind	nongold
2	energy conversion is similar to energy transformation	nongold
3	a flashlight is a kind of electrical device	nongold
4	a flashlight is a kind of battery-operated device	nongold
5	a flashlight emits light	nongold
6	a flashlight is a kind of tool	nongold
7	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
8	a flashlight requires a source of electricity to produce light	nongold
9	energy transformation means one kind of energy changes into another kind of energy	nongold
10	batteries convert chemical energy to electrical energy	nongold
11	to transform means to convert	nongold
12	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
13	chemical energy is a kind of energy	nongold
14	convert is similar to transfer	nongold
15	light means light energy	nongold
16	light is a kind of energy	nongold
17	light is a kind of energy	nongold
18	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
19	a battery contains chemical energy	nongold
20	a lit candle converts chemical energy into light energy; heat energy	nongold
21	to convert means to change	nongold
22	to happen means to occur	nongold
23	sunlight is a kind of light	nongold
24	to turn means to convert	nongold
25	electrical energy is a kind of energy	nongold
26	a type of something is a kind of property of that something	nongold
27	forming is similar to converting	nongold
28	a device is a kind of object	nongold
29	a light bulb is a part of a  lamp	nongold
30	converting is a kind of function	nongold
31	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
32	a battery is a source of electrical energy; electricity	nongold
33	conversion is a kind of process	nongold
34	objects are made of materials; substances; matter	nongold
35	a firecracker converts chemical energy into sound energy and light energy and heat energy	nongold
36	form means kind	nongold
37	objects contain chemical energy	nongold
38	a light bulb is a kind of electrical device	nongold
39	converting is similar to producing	nongold
40	electricity means electrical energy	nongold
41	to illuminate means to light up	nongold
42	UV light is a kind of light	nongold
43	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
44	to convert means to exchange	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	a molecule is made of atoms chemically combined; bonded	nongold
47	wood is a light material	nongold
48	converting is similar to generating	nongold
49	food is a kind of chemical energy	nongold
50	if an object is made of a material then that object has the properties of that material	nongold
51	substances have chemical properties	nongold
52	matter; materials; substances are made of atoms; particles	nongold
53	different substances usually have different amount of chemical energy	nongold
54	substances are made of matter	nongold
55	to shine means to emit light	nongold
56	materials are made of matter	nongold
57	chemical reactions cause chemical change	nongold
58	visible light is a kind of  light	nongold
59	device means tool	nongold
60	if something transfers something else then that something is a source of something else	nongold
61	answering questions requires information	nongold
62	can be means able to be	nongold
63	an animal is a kind of living thing	nongold
64	converting is similar to releasing	nongold
65	a kind of something is an example of that something	nongold
66	a tool is a kind of object	nongold
67	a battery is a kind of object	nongold
68	metal is a kind of material	nongold
69	electricity is used as an energy source by electrical devices	nongold
70	substances are made of molecules	nongold
71	heat is a kind of energy	nongold
72	solar energy is a kind of light	nongold
73	a battery-operated device is a kind of electrical device	nongold
74	a laser is used for producing light	nongold
75	metal is an  electrical; electrical energy conductor	nongold
76	a laser is a kind of device for producing light	nongold
77	chemicals means substances	nongold
78	combustion means fire converts chemical energy into light energy and heat energy	nongold
79	cellular energy is a kind of chemical energy	nongold
80	instrument means device	nongold
81	if an object undergoes chemical change then that object will have new chemical properties	nongold
82	an object; material; substance comes from that object or material's source	nongold
83	a light bulb is a kind of tool for seeing in the dark	nongold
84	transfer is a kind of change	nongold
85	compound is a kind of chemical	nongold
86	to create means to make	nongold
87	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
88	a living thing is a kind of object	nongold
89	composed of means made of	nongold
90	matter is made of molecules	nongold
91	chemical change is a kind of chemical reaction	nongold
92	chemical reactions cause new substances; different substances to form	nongold
93	An example of a chemical property is how a material reacts chemically	nongold
94	chemical energy is a kind of potential energy	nongold
95	to produce means to create	nongold
96	emit means produce	nongold
97	classifying is when one sorts something by kind; type	nongold
98	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
99	an increase is a kind of change	nongold
