Question	Blood absorbs oxygen in the	question
Answer	lungs.	answer
0	blood absorbs oxygen in the lungs	gold
1	a lung is a kind of organ for breathing air	nongold
2	the absorption of oxygen through the blood occurs in the lungs	gold
3	to breathe in means to absorb air	nongold
4	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
5	the lungs are a part of the respiratory system	nongold
6	the lungs are a part of the body of an animal used for breathing air	nongold
7	exhaling  is when an animal expels air from the lungs	nongold
8	air is a kind of gas	nongold
9	the respiratory system is a kind of human; organ; body system	nongold
10	if something absorbs something else then that something will contain that something else	nongold
11	the respiratory system takes in oxygen from the air	nongold
12	the mouth is a part of the respiratory system	nongold
13	breath contains water vapor	nongold
14	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
15	the respiratory system performs respiration	nongold
16	oxygen is a kind of gas at room temperature	nongold
17	the air is a kind of substance	nongold
18	a heart is a kind of organ	nongold
19	an animal; bacterium requires oxygen for survival; to breathe	nongold
20	the diaphragm is a part of the respiratory system	nongold
21	carbon dioxide can be found in the air	nongold
22	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
23	breathing in is when animals inhale air into their lungs	nongold
24	a heart is a part of the body	nongold
25	lungs are used for breathing air by land animals; birds	nongold
26	air is a kind of matter	nongold
27	gaseous means of gas	nongold
28	oxygenated means having oxygen	nongold
29	absorbing something from the air decreases the  amount of  that something in the air	nongold
30	atmosphere means  air	nongold
31	gas is a kind of substance	nongold
32	absorption is a kind of process	nongold
33	breathing is a kind of  function	nongold
34	breathing is a kind of process	nongold
35	if something transfers energy to something else then that something else absorbs that energy	nongold
36	water is made of hydrogen and oxygen	nongold
37	all animals breathe	nongold
38	absorption is a kind of event	nongold
39	absorbing is a kind of function	nongold
40	breathing is when animals convert oxygen into carbon dioxide	nongold
41	answering questions requires information	nongold
42	oxygen gas is made of only  oxygen element	nongold
43	the stomach is a kind of organ	nongold
44	if something transfers something else then that something is a source of something else	nongold
45	carbon dioxide is a kind of gas	nongold
46	water contains dissolved oxygen	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	converting is similar to releasing	nongold
49	the heart pumps blood to the rest of the body	nongold
50	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
51	to emit means to release	nongold
52	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
53	take in means absorb	nongold
54	to add means to increase	nongold
55	the body of an animal contains arteries; veins	nongold
56	to exhale means to release	nongold
57	gas is a kind of material	nongold
58	the air is a kind of mixture	nongold
59	the nervous system is a kind of body; organ system	nongold
60	the nose is a part of the respiratory system	nongold
61	high is similar to increase	nongold
62	Earth has air	nongold
63	hydrogen is a kind of gas at room temperature	nongold
64	digestion is when food is absorbed into the blood stream	nongold
65	the blood vessels are a part of the body	nongold
66	the atmosphere contains gases; liquids; solids	nongold
67	absorbing something from the air means removing that something from Earth's atmosphere	nongold
68	can be means able to be	nongold
69	O2 means oxygen	nongold
70	O is the chemical symbol for oxygen	nongold
71	the  chemical symbol for oxygen is O	nongold
72	to give off means to be the source of	nongold
73	oxygen  is a kind of element	nongold
74	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
75	life means living things	nongold
76	death means to die	nongold
77	organs are made of different types of  cellular tissues	nongold
78	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
79	air pressure is a property of air; the atmosphere	nongold
80	the respiratory system transfers oxygen to the circulatory system	nongold
81	an animal is a kind of living thing	nongold
82	taking in something means receiving; absorbing; getting something	nongold
83	deplete is similar to decrease	nongold
84	nitrogen is a kind of gas	nongold
85	if something releases something else then that something is the source of that something else	nongold
86	an increase is the opposite of a decrease	nongold
87	concentration means amount	nongold
88	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
89	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
90	a  gas is a kind of  element	nongold
91	an animal requires air for survival	nongold
92	to be filled with means to contain	nongold
93	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
94	the heart is mostly made of muscle	nongold
95	absorbing is similar to obtaining	nongold
96	matter in the liquid state drips	nongold
97	internal organs are a part of the body	nongold
98	affected means changed	nongold
99	transferring is similar to supplying	nongold
