Question	Wire was looped several times around an iron nail, and the wire's ends were connected to a battery. For which of these will this device most likely be used?	question
Answer	to create a magnetic field	answer
0	a nail is a kind of object	nongold
1	nails are often made of iron	nongold
2	iron nails are made of iron	nongold
3	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	gold
4	looping is similar to wrapping	gold
5	a conducting metal loop is a kind of electromagnet	nongold
6	a battery is a kind of object	nongold
7	device means tool	nongold
8	instrument means device	nongold
9	electric currents produce magnetic fields	nongold
10	a device is a kind of object	nongold
11	passing a magnet through a closed loop of wire generates an electric current	nongold
12	electromagnets generate magnetic fields	gold
13	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic	nongold
14	iron is always magnetic	nongold
15	a battery is a source of electrical energy; electricity	nongold
16	a wire is usually made of metal	nongold
17	a magnet is a kind of object	nongold
18	a wire is a kind of object	nongold
19	metal is sometimes magnetic	nongold
20	soft iron; iron is always ferromagnetic; magnetic	nongold
21	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
22	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
23	to generate means to create	gold
24	moving a coil of wire in the magnetic field generates electrical current	nongold
25	iron is a kind of metal	nongold
26	an electromagnet contains a wire; cylindrical ferrous metal	nongold
27	an electromagnet is a kind of device	nongold
28	to produce means to create	nongold
29	metal is an  electrical; electrical energy conductor	nongold
30	a battery-operated device is a kind of electrical device	nongold
31	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
32	using an object often requires creating that object	nongold
33	iron is a kind of solid	nongold
34	metal is a kind of material	nongold
35	an electromagnet is a kind of electric magnet	nongold
36	a magnetic field is a kind of force	nongold
37	to form means to create	nongold
38	to create means to make	nongold
39	a  battery  is a kind of electrical power source	nongold
40	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
41	electricity is made of moving charges; moving charged particles	nongold
42	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
43	magnetic energy is a kind of energy	nongold
44	creating a simple circuit requires a wire; battery	gold
45	a magnet moving in a coil of copper wire can cause an electric current	nongold
46	to be used for something means to be required by that something	nongold
47	steel; carbon steel is always ferromagnetic; magnetic	nongold
48	creating means making	nongold
49	a tool is a kind of object	nongold
50	to increase is similar to to create	nongold
51	metal is a kind of substance	nongold
52	batteries can be used to power electrical devices	nongold
53	instrument means tool	nongold
54	a wire is a part of an electrical circuit for conducting electricity	nongold
55	if something contains a large amount of magnetic material then that something will attract magnets	nongold
56	the function of something is what that something  is used to do	nongold
57	if an object is made of a material then that object has the properties of that material	nongold
58	magnetic force means magnetism	nongold
59	objects are made of materials; substances; matter	nongold
60	steel is a kind of metal	nongold
61	magnetism is a kind of energy	nongold
62	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
63	an instrument is a piece of equipment	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	to cause means to make	nongold
66	materials are made of matter	nongold
67	a battery contains chemical energy	nongold
68	a device requires energy to operate	nongold
69	creating is similar to causing	nongold
70	copper is always nonmagnetic	nongold
71	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
72	battery-powered is similar to battery-operated	nongold
73	can be means able to be	nongold
74	substances are made of matter	nongold
75	something is used for that something's purpose	nongold
76	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
77	answering questions requires information	nongold
78	generate means produce	nongold
79	a machine is a kind of  device	nongold
80	lead is always nonmagnetic	nongold
81	electric devices require electrical energy to function	nongold
82	stainless steel is always magnetic; nonmagnetic	nongold
83	copper is a kind of metal	nongold
84	aluminum is always nonmagnetic	nongold
85	a wire is a kind of path for electricity	nongold
86	inventing a tool allows; enables that tool to be used	nongold
87	magnetism is a kind of physical property	nongold
88	to make means to invent	nongold
89	magnetism is a kind of force	nongold
90	electricity means electrical energy	nongold
91	matter; materials; substances are made of atoms; particles	nongold
92	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
93	an invention is a kind of tool	nongold
94	Magnetite is always magnetic	nongold
95	to generate means to form	nongold
96	to be formed by is similar to being produced by	nongold
97	aluminum is a kind of metal	nongold
98	a  rubber eraser is made of rubber	nongold
99	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
